gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
POLB,2.72036584768542,13873,0.08245172751353423,0.030309048461267984,0.023976023976023976,0.037447739314675085,True,False,False
POLD1,4.302272460345019,5631,0.09980870726167844,0.02319905704692392,0.000999000999000999,0.0038441402319931888,True,True,False
POLD2,8.511755300925557,5630,0.2548498458888642,0.029940917209356238,0.000999000999000999,0.003844823027771518,True,True,False
POLD3,8.653977591977998,5629,0.22392277340948796,0.025875117480923714,0.000999000999000999,0.003845506066149164,True,True,False
POLD4,2.3822824139011285,14355,0.043115011735108025,0.018098185026552135,0.027972027972027972,0.042222076077875446,True,False,False
POLDIP2,1.8816733080640948,16668,0.011271641596269573,0.005990212398311041,0.07892107892107893,0.10259550864302486,False,False,False
POLDIP3,6.429003580768798,5628,0.06158085353658156,0.009578589974775181,0.000999000999000999,0.003846189347255445,True,True,False
POLE2,2.3240254256261412,14436,0.022497751937517435,0.00968050024289292,0.028971028971028972,0.043484639494614556,True,False,False
POLE3,7.976715732070403,5627,0.15107807591312852,0.018939874657756924,0.000999000999000999,0.00384687287121977,True,True,False
POLE4,2.0815012063158727,14434,0.046999113663920934,0.022579421384095345,0.028971028971028972,0.04349066480145876,True,False,False
POLG,6.862871974812924,11861,0.05355084974523407,0.007802969560418483,0.013986013986013986,0.02555003381240629,True,False,False
POLG2,4.313155189487919,5626,0.04884588596981838,0.011324851690315767,0.000999000999000999,0.00384755663817164,True,True,False
POLH,2.80521013665785,13090,0.03189175988940443,0.011368749677804576,0.017982017982017984,0.029765803333412198,True,False,False
POLI,1.8436473947563763,16631,0.07819084194431875,0.042410942423281056,0.07692307692307693,0.1002206259857634,False,False,False
POLK,1.8894726370347108,16630,0.11787261106331885,0.062383857727402,0.07692307692307693,0.1002266524816134,False,False,False
POLL,4.086217158693815,5625,0.021857553974534195,0.005349082602195694,0.000999000999000999,0.003848240648240648,True,True,False
POLM,3.361990708686476,10966,0.13443430888937227,0.03998651005254813,0.00999000999000999,0.01973951636545107,True,False,False
POLN,2.230562030121639,15350,0.05616915606020545,0.02518160579982709,0.04395604395604396,0.062048179833196125,False,False,False
POLQ,5.824134503354073,5607,0.1851918802408116,0.0317973120113926,0.000999000999000999,0.0038605945508032183,True,True,False
POLR1A,6.3616402048946465,5606,0.04121082118100114,0.006478008223868356,0.000999000999000999,0.0038612832048436755,True,True,False
POLR1B,1.4629969441851065,18443,0.02962325166335905,0.02024832461279667,0.16883116883116883,0.19835350898626938,False,False,False
POLR1C,3.5677028989759982,8711,0.04018019999438628,0.011262194598347805,0.002997002997002997,0.007454834225583852,True,True,False
