gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
FXYD6,16.152642367827326,916,1.1221410219190153,0.06947103977412766,0.000999000999000999,0.023631390443617516,True,False,True
VIPR1,21.946354079743468,927,2.081745794868109,0.0948561008284298,0.000999000999000999,0.023350974807285485,True,False,True
VIP,29.241124363577395,954,2.4257231794230094,0.08295586916737151,0.000999000999000999,0.022690098161796273,True,False,True
FAM163B,14.89805002081902,984,1.6746071554615107,0.11240444247004543,0.000999000999000999,0.021998326876375655,True,False,True
ATG7,14.157084753439047,994,0.23979468300787007,0.016938129962015765,0.000999000999000999,0.021777015740798437,True,False,True
USP43,13.757536182402966,1040,1.084581828670616,0.07883545983201007,0.000999000999000999,0.02081380158303235,True,False,True
ATP4A,34.701979336450606,1068,4.277087479010242,0.12325196469406688,0.000999000999000999,0.020268121391716895,True,False,True
FAM131B,23.81731273815842,1091,0.43971838971354094,0.018462122758119898,0.000999000999000999,0.019840837439370894,True,False,True
ATRNL1,23.92985924821972,1116,1.9991677392270542,0.08354280228694581,0.000999000999000999,0.01939637423508391,True,False,True
GABBR2,11.114990579933364,1119,0.9642609651596001,0.08675318679536616,0.000999000999000999,0.019344373231772696,True,False,True
BAIAP2L2,22.785935906491797,1193,1.3845778205170893,0.06076456979163445,0.000999000999000999,0.01814447078487313,True,False,True
TWIST1,43.384293935256096,1282,4.870415799948065,0.11226217887453505,0.000999000999000999,0.01688483123740534,True,False,True
BEND5,25.786088127177376,1295,0.5699238951508414,0.02210198128847959,0.000999000999000999,0.016715331001045285,True,False,True
BMPER,22.516358674463923,1356,0.7843159120193767,0.03483314945348121,0.000999000999000999,0.015963387644803574,True,False,True
ETV5,57.95804183099609,1466,0.5229984320247482,0.009023732271172582,0.000999000999000999,0.014765589117567288,True,False,True
TSHZ3,18.413392869869824,1480,1.0184417958144,0.055309829040087785,0.000999000999000999,0.014625914625914626,True,False,True
ETS2,45.95666503363198,1507,0.8726897441342145,0.018989395421293367,0.000999000999000999,0.014363871032749598,True,False,True
TRHDE,23.22930921757221,1621,1.461631321026419,0.06292184907623731,0.000999000999000999,0.013353703668324272,True,False,True
CA10,28.423579528581463,1736,1.797937485561049,0.06325512940822002,0.000999000999000999,0.012469097722553944,True,False,True
GFRA2,29.25479623666386,1749,1.6026234629718181,0.054781552995927296,0.000999000999000999,0.012376417179161605,True,False,True
CADPS2,16.77237705859772,1818,3.1724031352807303,0.18914450566389743,0.000999000999000999,0.011906685174011906,True,False,True
CAMK2G,28.944559783478272,1827,1.045099234675608,0.03610692140588571,0.000999000999000999,0.01184803155246505,True,False,True
EPHA3,32.80139475714288,1881,3.094929750281612,0.09435359213174033,0.000999000999000999,0.01150789667536079,True,False,True
CBLN4,37.84389754955398,1944,2.1718659373373432,0.0573901130573155,0.000999000999000999,0.011134955579400023,True,False,True
TMEM266,22.723200496163876,1953,0.5108245648836769,0.022480298835452737,0.000999000999000999,0.011083642420047949,True,False,True
GJD4,16.236231468804075,1972,0.7166991132902352,0.04414195204749141,0.000999000999000999,0.010976852761842619,True,False,True
TMEM155,21.51042716863381,2053,3.629879838435439,0.16874976935019703,0.000999000999000999,0.010543766997736797,True,False,True
CCDC83,20.496033759825014,2093,0.9026562622911143,0.04404052354266239,0.000999000999000999,0.010342261656165143,True,False,True
CCK,41.34397406187685,2128,5.402356446863639,0.130668523188858,0.000999000999000999,0.010172158668399269,True,False,True
