gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
NCALD,80.10271257581161,42,6.083672306043623,0.07594838313694718,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ST8SIA5,79.9773323681834,43,7.129173416253688,0.08913991509069755,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RGS4,79.95839131308875,44,5.62531278929028,0.07035299106606131,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000031052,79.92386914173908,45,9.49995615418875,0.11886255579171963,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000030025,78.97172129800967,46,6.970937131252089,0.08827129796537138,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MAFB,78.90145441836016,47,5.748720466820951,0.07285948934888957,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000046456,78.73380546374354,48,7.240533156274299,0.09196217973066816,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
OLFM1,78.6520513841031,49,3.5894347897446783,0.045636877106928826,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ENSMFAG00000032887,78.44719187669881,50,7.6644292988599165,0.0977017574629662,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KCNIP3,77.60803799484997,51,3.041879528470189,0.039195408503841664,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
YPEL4,77.32965413610566,52,1.1939057014612973,0.015439160326042567,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NT5C1A,76.75808075032262,53,2.648898961221823,0.03450969810276141,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
RFTN1,76.74270153583835,54,6.696889526990858,0.08726417790278648,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
MAPK13,76.68250760526855,55,2.6251691274946243,0.034234252930053936,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ADAMTSL3,76.25306619533114,56,3.902523054602167,0.051178562211186863,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PPL,75.73771297463634,58,8.13803903987147,0.10745027758125829,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FBLN7,75.73698472307652,59,8.355560204425506,0.11032337077593982,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
NLRP6,75.55649684168738,60,8.861757147234046,0.11728649106425633,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PCP4,75.47074172831215,61,12.957898529960914,0.1716943212496938,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CBLN4,75.35128558261944,62,6.588747519574293,0.0874404028427247,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
