gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
ENSMFAG00000039146,6.268658413871502,9727,0.1639749693149071,0.026157894688514798,1,0.0003999200159968006,0.0006602763567981313,True,True,False,False
ENSMFAG00000039150,2.3018855909374345,16491,0.02460260575723952,0.010688012834019392,59,0.01199760047990402,0.01617999671367152,True,False,False,False
ENSMFAG00000039164,9.780819920884651,6847,0.11942691022939167,0.012210306844131182,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039168,2.3623789805344866,16336,0.06231815660302707,0.026379396994608305,86,0.01739652069586083,0.022889714017361697,True,False,False,False
ENSMFAG00000039170,1.0736726021279481,20014,0.0014937317850246836,0.0013912258218550105,1668,0.33373325334933013,0.3617836768847951,False,False,False,False
ENSMFAG00000039174,1.3141896447234467,19282,0.0029251809089307595,0.0022258338275446344,1106,0.22135572885422916,0.24723381096976482,False,False,False,False
ENSMFAG00000039180,23.455625844033683,2070,0.9572006523160498,0.04080899073529819,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039181,12.820411467321673,5125,0.3715197049592507,0.028978756079874133,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039182,13.490144969511592,4832,0.34765449927810477,0.02577098801846618,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039183,3.1409874227566994,14471,0.011825407373498877,0.0037648593808268307,9,0.001999600079984003,0.0029984314555773963,True,True,False,False
ENSMFAG00000039190,13.791269094975194,4711,0.024197963806986758,0.0017545757194392076,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039191,4.407736596411549,12136,0.05934196525521667,0.013463127816249835,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039196,0.339978932688914,21594,0.0007061709776478763,0.002077092166486397,4756,0.9512097580483904,0.9538951745912215,False,False,False,False
