run_id	sample_name	library_name	scientific_name	platform	monkey_id	hemisphere	brain_region_raw	replicate	include	notes	brain_region	region_full_name	lobe	regional_map	roi173	neocortex_flag	meta_lobe	region_group
SRR22506846	19R632	34_L_10o_rep1	Macaca fascicularis	ILLUMINA	34	L	10o	rep1	1		10o	frontal polar anterior part,area 10o	Frontal	PFCpol	10o	Yes	Frontal	Frontal
SRR22507198	19R633	34_L_9m	Macaca fascicularis	ILLUMINA	34	L	9m		1		9m	area 9, medial subdivision	Frontal	PFCdm	9m	Yes	Frontal	Frontal
SRR22507209	19R634	34_L_9d	Macaca fascicularis	ILLUMINA	34	L	9d		1		9d	area 9, dorsal subdivision	Frontal	PFCdl	9d	Yes	Frontal	Frontal
SRR22506459	19R635	34_L_12l	Macaca fascicularis	ILLUMINA	34	L	12l		1		12l	lateral prefrontal cortex,area 12l,lateral part	Frontal	PFCvl	12l	Yes	Frontal	Frontal
SRR22507267	19R636	34_L_12m	Macaca fascicularis	ILLUMINA	34	L	12m		1		12m	lateral prefrontal cortex,area 12m,medial part	Frontal	PFCol	12m	Yes	Frontal	Frontal
SRR22507062	19R637	34_L_13b	Macaca fascicularis	ILLUMINA	34	L	13b		1		13b	orbitomedial prefrontal cortex,area 13b	Frontal	PFCom	13b	Yes	Frontal	Frontal
SRR22506797	19R638	34_L_14r_rep1	Macaca fascicularis	ILLUMINA	34	L	14r	rep1	1		14r	orbitomedial prefrontal area,14r	Frontal	PFCom	14r	Yes	Frontal	Frontal
SRR22507027	19R639	34_L_32	Macaca fascicularis	ILLUMINA	34	L	32		1		32	orbitomedial prefrontal cortex,area 32	Frontal	PFCm	32	Yes	Frontal	Frontal
SRR22506541	19R640	34_L_8Bm	Macaca fascicularis	ILLUMINA	34	L	8Bm		1		8Bm	area 8B,medial subdivision	Frontal	PFCdm	8Bm	Yes	Frontal	Frontal
SRR22506552	19R641	34_L_8Bd	Macaca fascicularis	ILLUMINA	34	L	8Bd		1		8Bd	area 8B,dorsal subdivision	Frontal	PFCdl	8Bd	Yes	Frontal	Frontal
SRR22506989	19R642	34_L_45	Macaca fascicularis	ILLUMINA	34	L	45		1		45	area 45[45A+45B]	Frontal	PFCvl	45	Yes	Frontal	Frontal
SRR22506604	19R643	34_L_24b	Macaca fascicularis	ILLUMINA	34	L	24b		1		24b	anterior cingulate cortex,area 24b	Cingulate	CCa	24b	Yes	Cingulate	Cingulate
SRR22506593	19R644	34_L_24c	Macaca fascicularis	ILLUMINA	34	L	24c		1		24c	anterior cingulate cortex,area 24c	Cingulate	CCa	24c	Yes	Cingulate	Cingulate
SRR22506715	19R645	34_L_F6	Macaca fascicularis	ILLUMINA	34	L	F6		1		F6	agranular frontal area F6,PreSMA (presupplementary motor area)	Frontal	PFCdm	F6	Yes	Frontal	Frontal
SRR22506704	19R646	34_L_F7	Macaca fascicularis	ILLUMINA	34	L	F7		1		F7	agranular frontal area F7,PMdr (dorsal premotor cortex, rostral)	Frontal	PMCdl	F7	Yes	Frontal	Frontal
SRR22506530	19R647	34_L_8Bs	Macaca fascicularis	ILLUMINA	34	L	8Bs		1		8Bs	area 8B in the arcuate sulcus(“s” stands for sulcus)	Frontal	FEF	8Bs	Yes	Frontal	Frontal
SRR22506930	19R648	34_L_8A	Macaca fascicularis	ILLUMINA	34	L	8A		1		8A	area 8A[8Ad+8Av]	Frontal	FEF	8Av	Yes	Frontal	Frontal
SRR22507256	19R649	34_L_12o	Macaca fascicularis	ILLUMINA	34	L	12o		1		12o	lateral prefrontal cortex,area 12o,orbital part	Frontal	PFCol	12o	Yes	Frontal	Frontal
SRR22506808	19R650	34_L_14c	Macaca fascicularis	ILLUMINA	34	L	14c		1		14c	orbitomedial prefrontal area,14c	Frontal	PFCom	14c	Yes	Frontal	Frontal
SRR22507162	19R651	34_L_F3_rep1	Macaca fascicularis	ILLUMINA	34	L	F3	rep1	1		F3	agranular frontal area F3,SMA (supplementary motor area)	Frontal	PMCm	F3	Yes	Frontal	Frontal
SRR22507185	19R652	34_L_F2_rep1	Macaca fascicularis	ILLUMINA	34	L	F2	rep1	1		F2	agranular frontal area F2,PMdc (dorsal premotor cortex, caudal)	Frontal	PMCdl	F2	Yes	Frontal	Frontal
SRR22506912	19R653	34_L_F4	Macaca fascicularis	ILLUMINA	34	L	F4		1		F4	agranular frontal area F4,PMv (ventral premotor cortex)	Frontal	PMCvl	F4	Yes	Frontal	Frontal
SRR22507000	19R654	34_L_3a/b	Macaca fascicularis	ILLUMINA	34	L	3a/b		1		3a/b	somatosensory areas 3a and 3b	Parietal	S1	3a/b	Yes	Parietal	Parietal
SRR22506641	19R655	34_L_1-2_rep1	Macaca fascicularis	ILLUMINA	34	L	1-2	rep1	1		1-2	somatosensory areas 1 and 2	Parietal	S1	1-2	Yes	Parietal	Parietal
SRR22506882	19R656	34_L_STG_rep1	Macaca fascicularis	ILLUMINA	34	L	STG	rep1	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22506891	19R657	34_L_pu_rep1	Macaca fascicularis	ILLUMINA	34	L	pu	rep1	1		pu				Striatum	No	Subcortical	Subcortical
SRR22506527	19R658	34_L_cd_rep1	Macaca fascicularis	ILLUMINA	34	L	cd	rep1	1		Cd	caudate	Subcortical	Cau	Striatum	No	Subcortical	Subcortical
SRR22506883	19R659	34_L_SII	Macaca fascicularis	ILLUMINA	34	L	SII		1		SII	secondary somatosensory area (S2)	Parietal	S2	SII	Yes	Parietal	Parietal
SRR22506887	19R660	34_L_RM	Macaca fascicularis	ILLUMINA	34	L	RM		1		RM	rostromedial, belt region of the auditory cortex	Temporal 	TCs	RM	Yes	Temporal	Temporal
SRR22506888	19R661	34_L_R	Macaca fascicularis	ILLUMINA	34	L	R		1		R	rostral, core region of the auditory cortex	Temporal 	A1	R	Yes	Temporal	Temporal
SRR22506879	19R662	34_L_TEav	Macaca fascicularis	ILLUMINA	34	L	TEav		1		TEav	ventral subregion of anterior TE	Temporal 	TCi	TEav	Yes	Temporal	Temporal
SRR22507226	19R663	34_L_5_rep1	Macaca fascicularis	ILLUMINA	34	L	5	rep1	1		5	somatosensory area 5 (complex)[PE+PEa+PEc]	Parietal	PCs	5	Yes	Parietal	Parietal
SRR22506586	19R664	34_L_7b	Macaca fascicularis	ILLUMINA	34	L	7b		1		7b	visual area 7b	Parietal	PCi	7b_(PFG/PF)	Yes	Parietal	Parietal
SRR22506952	19R665	34_L_7op_rep1	Macaca fascicularis	ILLUMINA	34	L	7op	rep1	1		7op	area 7op (parietal operculum)	Parietal	S2	7op	Yes	Parietal	Parietal
SRR22507187	19R666	34_L_AI	Macaca fascicularis	ILLUMINA	34	L	AI		1		Ia	agranular insula	Insula	Ia	Ia	Yes	Insula	Insula
SRR22507123	19R667	34_L_ML	Macaca fascicularis	ILLUMINA	34	L	ML		1		ML	middle lateral, belt region of the auditory cortex	Temporal 	TCs	ML	Yes	Temporal	Temporal
SRR22506881	19R668	34_L_STG_rep2	Macaca fascicularis	ILLUMINA	34	L	STG	rep2	1		STG	superior temporal gyrus	Temporal 	TCs	STG	Yes	Temporal	Temporal
SRR22506874	19R669	34_L_Tepd_rep1	Macaca fascicularis	ILLUMINA	34	L	Tepd	rep1	1		TEpd	dorsal subregion of posterior TE	Temporal 	TCi	TEpd	Yes	Temporal	Temporal
SRR22506872	19R670	34_L_TEpv	Macaca fascicularis	ILLUMINA	34	L	TEpv		1		TEpv	ventral subregion of posterior TE	Temporal 	TCi	TEpv	Yes	Temporal	Temporal
SRR22506849	19R671	34_L_VIP	Macaca fascicularis	ILLUMINA	34	L	VIP		1		VIP	ventral intraparietal area	Parietal	PCip	VIP	Yes	Parietal	Parietal
