sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
20R265,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,1,200
20R270,xq,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,0,200
20R271,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R272,xq,Subcortical,Subcortical,Subcortical | Frontal (agranular frontal motor areas) | Hippocampal formation,1,1,200
20R273,xq,Temporal,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
20R274,xq,"Parietal, and Parieto-occipital region",Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,0,200
20R275,xq,Subcortical,Subcortical,"Subcortical | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
20R276,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Temporal,1,1,200
20R277,xq,"Parietal, and Parieto-occipital region",Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
20R278,xq,"Parietal, and Parieto-occipital region",Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,0,0,200
20R279,xq,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,200
20R280,xq,Temporal,Temporal,Temporal | Operculum/Insula | Cingulate gyrus,1,1,200
20R281,xq,Occipital/Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,1,200
20R282,xq,Occipital/Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
20R283,xq,Occipital/Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
20R284,xq,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,200
20R285,xq,Subcortical,Subcortical,Subcortical | Occipital/Temporal | Temporal,1,1,200
20R286,xq,Subcortical,Subcortical,Subcortical | Hippocampal formation | Occipital/Temporal,1,1,200
20R287,xq,Cingulate gyrus,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus,0,1,200
20R288,xq,Cingulate gyrus,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
20R289,xq,Cingulate gyrus,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
20R290,xq,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R504,xq,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,"Temporal | Parietal, and Parieto-occipital region | Orbitomedial Prefrontal Cortex (OMPFC)",0,1,200
20R360,xq,Operculum/Insula,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,0,200
20R361,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Temporal",0,1,200
20R362,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,1,200
20R366,xq,Subcortical,Subcortical,Subcortical | Orbitomedial Prefrontal Cortex (OMPFC) | Hippocampal formation,1,1,200
20R367,xq,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,0,200
20R368,xq,Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,1,200
20R369,xq,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R370,xq,Cingulate gyrus,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,0,200
20R371,xq,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R372,xq,Temporal,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
20R373,xq,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas),1,1,200
20R374,xq,Cingulate gyrus,Cingulate gyrus,Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,200
20R375,xq,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
20R380,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,200
20R381,xq,Occipital/Temporal,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Occipital/Temporal",0,1,200
20R386,xq,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R387,xq,Cingulate gyrus,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC)",0,0,200
20R388,xq,Cingulate gyrus,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
20R506,xq,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
20R507,xq,Operculum/Insula,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,1,1,200
20R508,xq,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
20R510,xq,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
20R523,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R524,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R611,xq,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
20R612,xq,Lateral Prefrontal Cortex,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,1,200
20R616,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R617,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R618,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R622,xq,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R640,xq,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Temporal",1,1,200
20R641,xq,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
20R642,xq,Operculum/Insula,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",0,0,200
xz-L-10m-10o_BRRL200004691-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,0,200
xz-L-10m_BRRL200004692-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
xz-L-10o_BRRL200004693-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",1,1,200
xz-L-11m_BRRL200004694-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,0,200
xz-L-11l_BRRL200004695-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
xz-R-10o_BRRL200004706-1A,xz,Lateral Prefrontal Cortex,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Occipital/Temporal,0,0,200
xz-R-11l_BRRL200004707-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Occipital/Temporal,Occipital/Temporal | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
xz-L-Prco_BRRL200006258-1A,xz,Operculum/Insula,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,0,200
xz-L-Ial_BRRL200004697-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
xz-R-F4_BRRL200004709-1A,xz,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,200
xz-R-G_BRRL200004710-1A,xz,Operculum/Insula,Occipital/Temporal,Occipital/Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,0,200
xz-R-Ial_BRRL200004711-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,0,200
xz-R-24b_BRRL200004712-1A,xz,Cingulate gyrus,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Temporal,0,0,200
xz-R-24c_BRRL200004713-1A,xz,Cingulate gyrus,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
xz-L-Ig_BRRL200004699-1A,xz,Operculum/Insula,Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,0,1,200
xz-L-Id_BRRL200004700-1A,xz,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,1,200
xz-L-RM_BRRL200004701-1A,xz,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
xz-L-AL_BRRL200004702-1A,xz,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
xz-L-TPO_BRRL200004703-1A,xz,Temporal,Temporal,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",1,1,200
xz-L-PGa_BRRL200004704-1A,xz,Temporal,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,200
xz-R-F1-7-28_BRRL200004923-1A,xz,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
xz-R-3a-b-7-28_BRRL200004924-1A,xz,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Temporal",1,1,200
xz-R-1-2-7-28_BRRL200004925-1A,xz,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
xz-R-SII-7-28_BRRL200004926-1A,xz,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,0,200
xz-R-Ig-7-28_BRRL200004927-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
xz-R-Id-7-28_BRRL200004928-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
xz-R-RM-7-28_BRRL200004929-1A,xz,Temporal,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
xz-R-R-7-28_BRRL200004930-1A,xz,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
xz-R-TAa-7-28_BRRL200004931-1A,xz,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus,1,1,200
xz-R-TPO-7-28_BRRL200004932-1A,xz,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
xz-R-PGa-7-28_BRRL200004933-1A,xz,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
xz-R-Ipa-7-28_BRRL200004934-1A,xz,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
xz-R-TEa-7-28_BRRL200004935-1A,xz,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
xz-R-TEm-7-28_BRRL200004936-1A,xz,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
xz-R-24a-7-28_BRRL200004937-1A,xz,Cingulate gyrus,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,0,0,200
xz-R-7m-7-30_BRRL200004947-1A,xz,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",1,1,200
xz-R-VIP-7-30_BRRL200004948-1A,xz,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",1,1,200
xz-R-LIpd-7-30_BRRL200004949-1A,xz,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",0,1,200
xz-R-LIpv-7-30_BRRL200004950-1A,xz,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",1,1,200
xz-R-7a-7-30_BRRL200004951-1A,xz,"Parietal, and Parieto-occipital region",Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
xz-R-MST-7-30_BRRL200004952-1A,xz,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
xz-R-V2-7-30_BRRL200004953-1A,xz,Occipital/Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
xz-L-F1-8-2_BRRL200004960-1A,xz,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
xz-L-3a-b-8-2_BRRL200004961-1A,xz,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
xz-L-1-2-8-2_BRRL200004962-1A,xz,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,0,200
xz-L-F2-8-2_BRRL200004964-1A,xz,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Frontal (agranular frontal motor areas),0,1,200
xz-L-24c-8-11_BRRL200004974-1A,xz,Cingulate gyrus,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Cingulate gyrus | Frontal (agranular frontal motor areas),0,1,200
xz-L-9m-8-12_BRRL200004975-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Cingulate gyrus | Parietal, and Parieto-occipital region",1,1,200
xz-L-9d-8-12_BRRL200004976-1A,xz,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Frontal (agranular frontal motor areas)",0,0,200
xz-L-46d-8-12_BRRL200004977-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
xz-L-46v-8-12_BRRL200004978-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
xz-L-12r-8-12_BRRL200004979-1A,xz,Lateral Prefrontal Cortex,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
xz-L-12m-8-12_BRRL200004980-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Temporal,0,0,200
xz-L-13b-8-12_BRRL200004981-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,1,1,200
xz-L-14r-8-12_BRRL200004982-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),"Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Parietal, and Parieto-occipital region",1,1,200
xz-L-32-8-12_BRRL200004983-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Operculum/Insula,1,1,200
xz-L-24c-8-12_BRRL200004984-1A,xz,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Temporal,0,1,200
xz-L-F4-8-17_BRRL200006266-1A,xz,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,0,200
xz-L-G-8-17_BRRL200006267-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
xz-L-Iapl-8-17_BRRL200006268-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Subcortical,0,1,200
xz-L-Iapm-8-17_BRRL200006269-1A,xz,Operculum/Insula,Subcortical,Subcortical | Operculum/Insula | Temporal,0,1,200
xz-R-F6-8-20_BRRL200006279-1A,xz,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,200
xz-R-F7-8-20_BRRL200006280-1A,xz,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
xz-R-8Bd-8-20_BRRL200006281-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",1,1,200
xz-R-8Bs-8-20_BRRL200006282-1A,xz,Lateral Prefrontal Cortex,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
xz-R-8A-8-20_BRRL200006283-1A,xz,Lateral Prefrontal Cortex,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
xz-R-46d-8-20_BRRL200006284-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",1,1,200
xz-R-46v-8-20_BRRL200006285-1A,xz,Lateral Prefrontal Cortex,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
xz-R-45-8-20_BRRL200006286-1A,xz,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas),0,1,200
xz-R-14c-8-20_BRRL200006287-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,1,1,200
xz-L-5-8-25_BRRL200007494-1A,xz,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,200
xz-L-VIP-8-25_BRRL200007847-1A,xz,"Parietal, and Parieto-occipital region",Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
xz-L-LIdv-8-25_BRRL200007541-1A,xz,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Temporal",1,1,200
xz-L-7b-8-25_BRRL200007542-1A,xz,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Lateral Prefrontal Cortex,0,0,200
xz-L-7op-8-25_BRRL200007543-1A,xz,"Parietal, and Parieto-occipital region",Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,0,200
xz-L-CM-8-25_BRRL200007544-1A,xz,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
xz-L-AI-8-25_BRRL200007545-1A,xz,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
xz-L-CL-8-25_BRRL200007546-1A,xz,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
xz-L-TEa-8-25_BRRL200007547-1A,xz,Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",1,1,200
xz-L-TEo-8-25_BRRL200007548-1A,xz,Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",0,1,200
xz-L-TEpv-8-25_BRRL200007549-1A,xz,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
xz-L-TFO-8-25_BRRL200007550-1A,xz,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,0,1,200
xz-R-Pi-8-26_BRRL200007553-1A,xz,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Subcortical | Operculum/Insula,0,1,200
xz-R-AL-8-26_BRRL200007554-1A,xz,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
xz-R-STGr-8-26_BRRL200007555-1A,xz,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
xz-R-TEad-8-26_BRRL200007556-1A,xz,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
xz-L-F6-9-1_BRRL200008306-1A,xz,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
xz-L-F7-9-1_BRRL200008307-1A,xz,Frontal (agranular frontal motor areas),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Temporal,0,1,200
xz-L-8Bd-9-1_BRRL200008308-1A,xz,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
xz-L-8Bs-9-1_BRRL200008309-1A,xz,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,200
xz-L-8A-9-1_BRRL200008310-1A,xz,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Temporal",0,0,200
xz-L-45-9-1_BRRL200008311-1A,xz,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Temporal,1,1,200
xz-L-12o-9-1_BRRL200008312-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
xz-L-13l-9-1_BRRL200008313-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
xz-L-13m-9-1_BRRL200008314-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
xz-L-14c-9-1_BRRL200008315-1A,xz,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,1,1,200
xz-R-TEav-9-3_BRRL200008321-1A,xz,Temporal,Temporal,"Temporal | Operculum/Insula | Parietal, and Parieto-occipital region",1,1,200
xz-R-24c-9-3_BRRL200008323-1A,xz,Cingulate gyrus,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
20R291,zs,Subcortical,Subcortical,Subcortical | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R293,zs,Operculum/Insula,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
20R294,zs,Operculum/Insula,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,1,200
20R300,zs,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Lateral Prefrontal Cortex",0,0,200
20R301,zs,Operculum/Insula,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,0,200
20R302,zs,Operculum/Insula,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
