sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
19R606,92,Lateral Prefrontal Cortex,Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
19R607,92,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",1,1,200
19R608,92,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",1,1,200
19R609,92,Orbitomedial Prefrontal Cortex (OMPFC),Operculum/Insula,Operculum/Insula | Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R610,92,Cingulate gyrus,Cingulate gyrus,Cingulate gyrus | Operculum/Insula | Temporal,1,1,200
19R611,92,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",0,1,200
19R612,92,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
19R613,92,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,200
19R614,92,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R880,92,Temporal,Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,1,1,200
19R881,92,Temporal,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,1,200
19R885,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Operculum/Insula,1,1,200
19R886,92,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
19R888,92,Orbitomedial Prefrontal Cortex (OMPFC),Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
19R889,92,Orbitomedial Prefrontal Cortex (OMPFC),Cingulate gyrus,Cingulate gyrus | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
20R048,92,Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R051,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Operculum/Insula,1,1,200
20R055,92,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,1,200
20R056,92,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Temporal",1,1,200
20R057,92,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,200
20R058,92,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Operculum/Insula",1,1,200
20R061,92,Temporal,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Lateral Prefrontal Cortex,0,1,200
20R070,92,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",0,1,200
20R076,92,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Temporal",0,1,200
20R079,92,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Temporal",1,1,200
20R092,92,Temporal,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,1,1,200
20R094,92,Operculum/Insula,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Temporal,0,0,200
20R316,92,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Lateral Prefrontal Cortex,1,1,200
20R363,92,Operculum/Insula,Temporal,Temporal | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex,0,0,200
20R364,92,Temporal,Temporal,Temporal | Lateral Prefrontal Cortex | Operculum/Insula,1,1,200
20R365,92,Temporal,Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",1,1,200
20R626,92,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R627,92,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,200
20R628,92,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
20R629,92,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula | Temporal,0,0,200
20R630,92,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R631,92,Occipital/Temporal,Occipital/Temporal,"Occipital/Temporal | Temporal | Parietal, and Parieto-occipital region",1,1,200
20R632,92,Subcortical,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,1,1,200
20R633,92,Subcortical,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,1,1,200
20R634,92,Subcortical,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,1,1,200
20R635,92,Subcortical,Subcortical,Subcortical | Hippocampal formation | Operculum/Insula,1,1,200
qbt-L-10o_BRRL200004689-1A,qbt,Lateral Prefrontal Cortex,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,0,200
