route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,route_family
top3_network_beam_local_region_candidates,qbt-R-F4-8-19_BRRL200006274-1A,F4,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",0,0,LIPd,TEa,3a/b,111,0,0,outside_network_beam,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",Temporal::PGa + RT + RTL + RTM + STG + TAa + TEa,3a/b,111,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,1-2 | 5 | 7a | 7b | 7op | LIPd | LIPv | VIP,outside_network_beam,,46,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-R-Prco-8-19_BRRL200006275-1A,PrCo,Operculum/Insula,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,0,TEa,LIPd,7a,111,0,0,outside_network_beam,Temporal::PGa + RT + RTL + RTM + STG + TAa + TEa,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",Temporal::A1 + CL + CM + IPa + ML + TPO + Tpt,111,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,PGa | RT | RTL | RTM | STG | TAa | TEa,outside_network_beam,,46,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-R-G-8-19_BRRL200006276-1A,G,Operculum/Insula,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,PrCo,PGa,TEav,5,0,0,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,PrCo,Temporal::IPa + PGa + TEO + TEad + TEav + TEm + TEpd + TEpv,TAa,4,0,0,low_resolution,nearest_centroid_corr>=0.95,PrCo,low_resolution,G | Iapl | Id | Ig | Ri | SII,51,17,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,qbt-R-Iapl-8-19_BRRL200006277-1A,Iapl,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,Id,Iapl,G,2,0,1,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Operculum/Insula::G + Iapl + Id + Ig + Ri + SII,Operculum/Insula::Ia + Ial + Iapm + Pi,PrCo,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,G | Iapl | Id | Ig | Ri | SII,low_resolution,G | Iapl | Id | Ig | Ri | SII,51,16,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-F6-8-20_BRRL200006279-1A,F6,Frontal (agranular frontal motor areas),"Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region",0,1,8Bd,F7,F6,3,0,1,F6,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,F7,F6,3,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bd | 8Bs,low_resolution,F6,30,12,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-F7-8-20_BRRL200006280-1A,F7,Frontal (agranular frontal motor areas),"Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas)",0,1,F7,8Bd,8Bs,1,1,1,F7,F7,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,F4,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,F7,low_resolution,F7,30,12,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-8Bd-8-20_BRRL200006281-1A,8Bd,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,8Bs,F7,8A,8,0,0,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 8Bd + 8Bm + 9m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bs,Frontal (agranular frontal motor areas)::F6 + F7,F4,6,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bs,low_resolution,10o | 12l | 12r | 46d | 46v | 8Bd | 8Bm | 9m,30,11,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-8Bs-8-20_BRRL200006282-1A,8Bs,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Frontal (agranular frontal motor areas)",0,1,8A,45,F4,14,0,0,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bs,F4,F7,1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,44 | 45 | 8A | 8Bd | 8Bs,low_resolution,44 | 45 | 8A | 8Bd | 8Bs,30,11,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-8A-8-20_BRRL200006283-1A,8A,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC)",0,1,46d,46v,45,12,0,0,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d,Lateral Prefrontal Cortex::10o + 12l + 12r + 46d + 46v + 9m,Lateral Prefrontal Cortex::44 + 45 + 8A + 8Bd + 8Bm + 8Bs + 9d,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 13l + 13m,2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12l | 12r | 46d | 46v | 9m,low_resolution,44 | 45 | 8A | 8Bd | 8Bm | 8Bs | 9d,36,11,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-46d-8-20_BRRL200006284-1A,46d,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex | Temporal",0,1,8A,46d,45,2,0,1,Lateral Prefrontal Cortex::10o + 12l + 12r + 44 + 45 + 46d + 46v,Lateral Prefrontal Cortex::8A + 8Bd + 8Bm + 8Bs + 9d + 9m,Lateral Prefrontal Cortex::10o + 12l + 12r + 44 + 45 + 46d + 46v,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPd + LIPv + VIP",2,0,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,8A | 8Bd | 8Bm | 8Bs | 9d | 9m,low_resolution,10o | 12l | 12r | 44 | 45 | 46d | 46v,50,16,hybrid_projected_network_logcpm_exact
