route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,monkey_id,route_family
top3_network_beam_local_region_candidates,xz-R-24a-7-28_BRRL200004937-1A,24a,Cingulate gyrus,"Parietal, and Parieto-occipital region | Temporal | Orbitomedial Prefrontal Cortex (OMPFC)",0,0,7a,PGa,7op,111,0,0,outside_network_beam,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",Temporal::A1 + CL + CM + IPa + ML + PGa + Tpt,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,111,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,1-2 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,outside_network_beam,,50,19,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-7m-7-30_BRRL200004947-1A,7m,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",1,1,TEa,LIPd,7a,17,0,0,"Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",TEa,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",Temporal::A1 + CL + CM + ML + TPO + Tpt,5,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95,TEa,low_resolution,3a/b | 5 | 7m | LIPv | VIP,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-VIP-7-30_BRRL200004948-1A,VIP,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,MT,MST,FST,4,0,0,"Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",MT,Occipital/Temporal::FST + MST + V3d,"Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,MT,low_resolution,3a/b | 5 | 7m | LIPv | VIP,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-LIpd-7-30_BRRL200004949-1A,LIPd,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",1,1,TEa,LIPd,VIP,2,0,1,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",TEa,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd","Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,TEa,low_resolution,1-2 | 7a | 7b | 7op | LIPd,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-LIpv-7-30_BRRL200004950-1A,LIPv,"Parietal, and Parieto-occipital region","Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",0,1,MT,MST,FST,5,0,0,"Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",MT,Occipital/Temporal::FST + MST + V3d,"Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,MT,low_resolution,3a/b | 5 | 7m | LIPv | VIP,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-7a-7-30_BRRL200004951-1A,7a,"Parietal, and Parieto-occipital region","Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,TEa,LIPd,7a,3,0,1,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",TEa,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",Temporal::IPa + PGa,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,TEa,low_resolution,1-2 | 7a | 7b | 7op | LIPd,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-MST-7-30_BRRL200004952-1A,MST,Occipital/Temporal,"Occipital/Temporal | Parietal, and Parieto-occipital region | Temporal",1,1,MT,MST,FST,2,0,1,Occipital/Temporal::FST + MST + V3d,MT,Occipital/Temporal::FST + MST + V3d,Temporal::A1 + CL + CM + ML + TPO + Tpt,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,MT,low_resolution,FST | MST | V3d,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-R-V2-7-30_BRRL200004953-1A,V2,Occipital/Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,0,Pi,Ial,Iapm,111,0,0,outside_network_beam,Operculum/Insula::Ia + Ial + Iapl + Iapm + Id + Pi,TG,Orbitomedial Prefrontal Cortex (OMPFC)::13a + 14c + 25,111,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,Ia | Ial | Iapl | Iapm | Id | Pi,outside_network_beam,,51,21,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-F1-8-2_BRRL200004960-1A,F1,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex",0,1,F1,3a/b,LIPv,1,1,1,Frontal (agranular frontal motor areas)::F1 + F2 + F5,Frontal (agranular frontal motor areas)::F1 + F2 + F5,3a/b,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPv + VIP",1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2 | F5,low_resolution,F1 | F2 | F5,30,11,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-3a-b-8-2_BRRL200004961-1A,3a/b,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Temporal | Occipital/Temporal",1,1,TEa,LIPd,3a/b,3,0,1,"Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",TEa,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd","Parietal, and Parieto-occipital region::3a/b + 5 + 7m + LIPv + VIP",3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,TEa,low_resolution,3a/b | 5 | 7m | LIPv | VIP,46,18,xz,hybrid_projected_network_logcpm_exact
