reference,family,marker_gene
Siletti2023_human,Excitatory neuron,AL021396.1
Siletti2023_human,Excitatory neuron,AL022724.3
Siletti2023_human,Excitatory neuron,AL031073.2
Siletti2023_human,Excitatory neuron,AL031674.1
Siletti2023_human,Excitatory neuron,AL033530.1
Siletti2023_human,Excitatory neuron,AL033539.2
Siletti2023_human,Excitatory neuron,AL035446.2
Siletti2023_human,Excitatory neuron,AL109930.1
Siletti2023_human,Excitatory neuron,AL110292.1
Siletti2023_human,Excitatory neuron,AL117329.1
Siletti2023_human,Excitatory neuron,AL121904.2
Siletti2023_human,Excitatory neuron,AL132633.1
Siletti2023_human,Excitatory neuron,AL132857.1
Siletti2023_human,Excitatory neuron,AL136119.1
Siletti2023_human,Excitatory neuron,AL136441.1
Siletti2023_human,Excitatory neuron,AL136985.3
Siletti2023_human,Excitatory neuron,AL137191.1
Siletti2023_human,Excitatory neuron,AL138694.1
Siletti2023_human,Excitatory neuron,AL138720.1
Siletti2023_human,Excitatory neuron,AL138826.1
Siletti2023_human,Excitatory neuron,AL138927.1
Siletti2023_human,Excitatory neuron,AL139231.1
Siletti2023_human,Excitatory neuron,AL139340.1
Siletti2023_human,Excitatory neuron,AL139351.3
Siletti2023_human,Excitatory neuron,AL139379.1
Siletti2023_human,Excitatory neuron,AL157769.1
Siletti2023_human,Excitatory neuron,AL158013.1
Siletti2023_human,Excitatory neuron,AL158058.2
Siletti2023_human,Excitatory neuron,AL158835.1
Siletti2023_human,Excitatory neuron,AL159156.1
Siletti2023_human,Excitatory neuron,AL161629.1
Siletti2023_human,Excitatory neuron,AL161782.1
Siletti2023_human,Excitatory neuron,AL161908.1
Siletti2023_human,Excitatory neuron,AL162493.1
Siletti2023_human,Excitatory neuron,AL353072.2
Siletti2023_human,Excitatory neuron,AL353604.1
Siletti2023_human,Excitatory neuron,AL353709.1
Siletti2023_human,Excitatory neuron,AL353811.1
Siletti2023_human,Excitatory neuron,AL355672.1
Siletti2023_human,Excitatory neuron,AL356417.2
Siletti2023_human,Excitatory neuron,AL356432.3
Siletti2023_human,Excitatory neuron,AL356807.1
Siletti2023_human,Excitatory neuron,AL358335.2
Siletti2023_human,Excitatory neuron,AL359208.1
Siletti2023_human,Excitatory neuron,AL359313.1
Siletti2023_human,Excitatory neuron,AL359636.2
Siletti2023_human,Excitatory neuron,AL391097.1
Siletti2023_human,Excitatory neuron,AL391097.3
Siletti2023_human,Excitatory neuron,AL391117.1
Siletti2023_human,Excitatory neuron,AL392086.3
Siletti2023_human,Excitatory neuron,AL445207.1
Siletti2023_human,Excitatory neuron,AL445985.1
Siletti2023_human,Excitatory neuron,AL450311.1
Siletti2023_human,Excitatory neuron,AL450313.1
Siletti2023_human,Excitatory neuron,AL450352.1
Siletti2023_human,Excitatory neuron,AL512452.1
Siletti2023_human,Excitatory neuron,AL583785.1
Siletti2023_human,Excitatory neuron,AL589693.1
Siletti2023_human,Excitatory neuron,AL591463.1
Siletti2023_human,Excitatory neuron,AL591518.1
Siletti2023_human,Excitatory neuron,AL592463.1
Siletti2023_human,Excitatory neuron,AL596257.1
Siletti2023_human,Excitatory neuron,AL663058.2
Siletti2023_human,Excitatory neuron,AL672167.1
Siletti2023_human,Excitatory neuron,AL691420.1
Siletti2023_human,Excitatory neuron,ALKAL2
Siletti2023_human,Excitatory neuron,ALPL
Siletti2023_human,Excitatory neuron,AMIGO2
Siletti2023_human,Excitatory neuron,ANKRD20A19P
Siletti2023_human,Excitatory neuron,ANKRD34B
Siletti2023_human,Excitatory neuron,ANO2
Siletti2023_human,Excitatory neuron,ANXA1
Siletti2023_human,Excitatory neuron,ANXA3
Siletti2023_human,Excitatory neuron,AOX1
Siletti2023_human,Excitatory neuron,AOX3P
Siletti2023_human,Excitatory neuron,AP000331.1
Siletti2023_human,Excitatory neuron,AP001636.3
Siletti2023_human,Excitatory neuron,AP001978.1
Siletti2023_human,Excitatory neuron,AP001994.2
Siletti2023_human,Excitatory neuron,AP003062.2
Siletti2023_human,Excitatory neuron,AP003066.1
Siletti2023_human,Excitatory neuron,AP003100.2
Siletti2023_human,Excitatory neuron,AP005242.1
Siletti2023_human,Excitatory neuron,AP006295.1
Siletti2023_human,Excitatory neuron,APELA
Siletti2023_human,Excitatory neuron,AQP3
Siletti2023_human,Excitatory neuron,AQP9
Siletti2023_human,Excitatory neuron,AR
Siletti2023_human,Excitatory neuron,ARHGAP15
Siletti2023_human,Excitatory neuron,ARHGAP36
Siletti2023_human,Excitatory neuron,ARL6IP1P3
Siletti2023_human,Excitatory neuron,ART3
Siletti2023_human,Excitatory neuron,ASAH2
Siletti2023_human,Excitatory neuron,ASB4
Siletti2023_human,Excitatory neuron,ASGR2
Siletti2023_human,Excitatory neuron,ATP10A
Siletti2023_human,Excitatory neuron,ATP6V1C2
Siletti2023_human,Excitatory neuron,AVP
