reference,family,marker_gene
Chiou2023_rhesus,Oligodendrocyte,FOXN2
Chiou2023_rhesus,Oligodendrocyte,GNG7
Chiou2023_rhesus,Oligodendrocyte,GSN
Chiou2023_rhesus,Oligodendrocyte,HAPLN2
Chiou2023_rhesus,Oligodendrocyte,KCNIP4
Chiou2023_rhesus,Oligodendrocyte,KIRREL3
Chiou2023_rhesus,Oligodendrocyte,LRP1B
Chiou2023_rhesus,Oligodendrocyte,MBP
Chiou2023_rhesus,Oligodendrocyte,MYRF
Chiou2023_rhesus,Oligodendrocyte,NR2C1
Chiou2023_rhesus,Oligodendrocyte,PALM2AKAP2
Chiou2023_rhesus,Oligodendrocyte,PCDH9
Chiou2023_rhesus,Oligodendrocyte,PHYHIPL
Chiou2023_rhesus,Oligodendrocyte,PICK1
Chiou2023_rhesus,Oligodendrocyte,PPP2R2B
Chiou2023_rhesus,Oligodendrocyte,RBFOX1
Chiou2023_rhesus,Oligodendrocyte,RNF220
Chiou2023_rhesus,Oligodendrocyte,SLC5A11
Chiou2023_rhesus,Oligodendrocyte,TF
Chiou2023_rhesus,Oligodendrocyte,THSD7A
Chiou2023_rhesus,Oligodendrocyte,TMC6
Chiou2023_rhesus,Oligodendrocyte,USP47
Chiou2023_rhesus,OPC,C1QL1
Chiou2023_rhesus,OPC,COL9A1
Chiou2023_rhesus,OPC,LHFPL3
Chiou2023_rhesus,OPC,NTN1
Chiou2023_rhesus,OPC,PCDH15
Chiou2023_rhesus,OPC,PTPRZ1
Chiou2023_rhesus,OPC,SLC22A3
Chiou2023_rhesus,OPC,STK32A
Chiou2023_rhesus,OPC,SUSD5
Chiou2023_rhesus,OPC,VCAN
Chiou2023_rhesus,Microglia,APBB1IP
Chiou2023_rhesus,Microglia,ARHGAP15
Chiou2023_rhesus,Microglia,ASTN2
Chiou2023_rhesus,Microglia,BIN2
Chiou2023_rhesus,Microglia,C3
Chiou2023_rhesus,Microglia,CMAH
Chiou2023_rhesus,Microglia,COLEC12
Chiou2023_rhesus,Microglia,DAB2
Chiou2023_rhesus,Microglia,DOCK2
Chiou2023_rhesus,Microglia,ENSMMUG00000031100
Chiou2023_rhesus,Microglia,ENTPD1
Chiou2023_rhesus,Microglia,F13A1
Chiou2023_rhesus,Microglia,FES
Chiou2023_rhesus,Microglia,GAB2
Chiou2023_rhesus,Microglia,IL18
Chiou2023_rhesus,Microglia,KIR3DL12
Chiou2023_rhesus,Microglia,LRMDA
Chiou2023_rhesus,Microglia,MRC1
Chiou2023_rhesus,Microglia,RBPJ
Chiou2023_rhesus,Microglia,RHOJ
Chiou2023_rhesus,Microglia,SFMBT2
Chiou2023_rhesus,Microglia,SLC2A5
Chiou2023_rhesus,Microglia,SORT1
Chiou2023_rhesus,Microglia,SRGN
Chiou2023_rhesus,Microglia,ST6GALNAC3
Chiou2023_rhesus,Microglia,STAB1
Chiou2023_rhesus,Microglia,THADA
Chiou2023_rhesus,Microglia,VWF
Chiou2023_rhesus,Vascular,ABCG2
Chiou2023_rhesus,Vascular,ACTA2
Chiou2023_rhesus,Vascular,ARL15
Chiou2023_rhesus,Vascular,ATP10A
Chiou2023_rhesus,Vascular,CEMIP
Chiou2023_rhesus,Vascular,CFH
Chiou2023_rhesus,Vascular,CNTN5
Chiou2023_rhesus,Vascular,DCN
Chiou2023_rhesus,Vascular,DLC1
Chiou2023_rhesus,Vascular,EMCN
Chiou2023_rhesus,Vascular,ENSMMUG00000051265
Chiou2023_rhesus,Vascular,FLT1
Chiou2023_rhesus,Vascular,GPM6A
Chiou2023_rhesus,Vascular,GRM7
Chiou2023_rhesus,Vascular,GRM8
Chiou2023_rhesus,Vascular,IGF2
Chiou2023_rhesus,Vascular,KCNIP4
Chiou2023_rhesus,Vascular,LEF1
Chiou2023_rhesus,Vascular,MYH11
Chiou2023_rhesus,Vascular,PCDH9
Chiou2023_rhesus,Vascular,PTGDS
Chiou2023_rhesus,Vascular,RAP1A
Chiou2023_rhesus,Vascular,RBFOX1
Chiou2023_rhesus,Vascular,RERGL
Chiou2023_rhesus,Vascular,SLC47A1
Chiou2023_rhesus,Vascular,SLC4A4
Chiou2023_rhesus,Vascular,SLC6A12
Chiou2023_rhesus,Vascular,SLCO1B3
Chiou2023_rhesus,Vascular,TAGLN
Chiou2023_rhesus,Vascular,TBC1D4
Chiou2023_rhesus,Vascular,TRPM3
Chiou2023_rhesus,Vascular,TSPAN5
Chiou2023_rhesus,Vascular,ZNF638
