endpoint,class,n,precision,recall,f1
# Macro F1 denominator: LOSO Exact = 110 total regions - 5 non-evaluable = 105,,,,,
# Macro F1 denominator: LOMO Exact = 110 total regions - 6 non-evaluable = 104,,,,,
# Network macro/weighted use 10 classes (all evaluable in both LOSO and LOMO),,,,,
LOSO_Exact,11m,7,0.0,0.0,0.0
LOSO_Exact,thalamus,7,0.8571,0.8571,0.8571
LOSO_Exact,F5,7,0.3333,0.1429,0.2
LOSO_Exact,CL,7,0.0,0.0,0.0
LOSO_Exact,TEpv,7,0.6667,0.2857,0.4
LOSO_Exact,12m,7,0.0,0.0,0.0
LOSO_Exact,F7,7,0.25,0.1429,0.1818
LOSO_Exact,13m,7,0.0,0.0,0.0
LOSO_Exact,NARegion,7,0.625,0.7143,0.6667
LOSO_Exact,Iapm,7,0.4,0.2857,0.3333
LOSO_Exact,7m,6,0.0,0.0,0.0
LOSO_Exact,12o,6,0.1429,0.1667,0.1538
LOSO_Exact,13a,6,0.2857,0.3333,0.3077
LOSO_Exact,ML,6,0.0588,0.1667,0.087
LOSO_Exact,Tpt,6,0.1,0.1667,0.125
LOSO_Exact,RTM,6,0.7143,0.8333,0.7692
LOSO_Exact,RTL,6,0.5556,0.8333,0.6667
LOSO_Exact,CM,6,0.1667,0.1667,0.1667
LOSO_Exact,IPa,6,0.0,0.0,0.0
LOSO_Exact,12l,5,0.0,0.0,0.0
LOSO_Exact,44,5,0.0,0.0,0.0
LOSO_Exact,V3d,5,0.5,0.6,0.5455
LOSO_Exact,TAa,5,0.0,0.0,0.0
LOSO_Exact,24c',5,0.2,0.2,0.2
LOSO_Exact,23c,5,0.0,0.0,0.0
LOSO_Exact,TG,4,0.6,0.75,0.6667
LOSO_Exact,25,4,0.375,0.75,0.5
LOSO_Exact,8Bm,4,0.1667,0.25,0.2
LOSO_Exact,RT,4,0.3333,0.75,0.4615
LOSO_Exact,Pir,4,0.0,0.0,0.0
LOSO_Exact,Pi,4,0.0,0.0,0.0
LOSO_Exact,Ia,4,0.0714,0.25,0.1111
LOSO_Exact,23b,4,0.2,0.25,0.2222
LOSO_Exact,24b,3,0.0,0.0,0.0
LOSO_Exact,24a',3,0.2,0.3333,0.25
LOSO_Exact,24b',3,0.25,0.3333,0.2857
LOSO_Exact,Ri,3,0.0,0.0,0.0
LOSO_Exact,TEa,3,0.1,0.3333,0.1538
LOSO_Exact,36c,2,0.0,0.0,0.0
LOSO_Exact,TF,2,0.0,0.0,0.0
LOSO_Exact,24a,2,0.0,0.0,0.0
LOMO_Network,Temporal,193,0.6641791045,0.4611398964,0.5443425076
LOMO_Network,Lateral Prefrontal Cortex,107,0.6363636364,0.3925233645,0.4855491329
LOMO_Network,Orbitomedial Prefrontal Cortex (OMPFC),104,0.5949367089,0.4519230769,0.5136612022
LOMO_Network,"Parietal, and Parieto-occipital region",98,0.4226190476,0.7244897959,0.5338345865
LOMO_Network,Operculum/Insula,81,0.3525179856,0.6049382716,0.4454545455
LOMO_Network,Occipital/Temporal,70,0.7500000000,0.6857142857,0.7164179104
LOMO_Network,Frontal (agranular frontal motor areas),65,0.6101694915,0.5538461538,0.5806451613
LOMO_Network,Subcortical,54,1.0000000000,0.7592592593,0.8631578947
LOMO_Network,Cingulate gyrus,39,0.4444444444,0.6153846154,0.5161290323
LOMO_Network,Hippocampal formation,8,0.5333333333,1.0000000000,0.6956521739
LOMO_Exact,STG,15,0.2222222222,0.1333333333,0.1666666667
LOMO_Exact,V2,15,0.6000000000,0.2000000000,0.3000000000
LOMO_Exact,1-2,12,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,10m,12,0.2500000000,0.3333333333,0.2857142857
LOMO_Exact,10o,12,0.2222222222,0.1666666667,0.1904761905
LOMO_Exact,24c,12,0.1000000000,0.0833333333,0.0909090909
LOMO_Exact,F1,12,0.3000000000,0.5000000000,0.3750000000
LOMO_Exact,F2,12,0.3000000000,0.2500000000,0.2727272727
LOMO_Exact,3a/b,11,0.2222222222,0.1818181818,0.2000000000
LOMO_Exact,TPO,11,0.2000000000,0.0909090909,0.1250000000
LOMO_Exact,V1,11,0.6000000000,0.8181818182,0.6923076923
LOMO_Exact,VIP,11,0.3000000000,0.2727272727,0.2857142857
LOMO_Exact,11l,10,0.1428571429,0.1000000000,0.1176470588
LOMO_Exact,13b,10,0.2500000000,0.1000000000,0.1428571429
LOMO_Exact,14r,10,0.5384615385,0.7000000000,0.6086956522
LOMO_Exact,45,10,0.3333333333,0.1000000000,0.1538461538
LOMO_Exact,46d,10,0.3750000000,0.3000000000,0.3333333333
LOMO_Exact,5,10,0.1333333333,0.2000000000,0.1600000000
LOMO_Exact,7a,10,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,7op,10,0.0833333333,0.1000000000,0.0909090909
LOMO_Exact,AL,10,0.0588235294,0.1000000000,0.0740740741
LOMO_Exact,F3,10,0.2500000000,0.4000000000,0.3076923077
LOMO_Exact,G,10,1.0000000000,0.1000000000,0.1818181818
LOMO_Exact,Id,10,0.3000000000,0.3000000000,0.3000000000
LOMO_Exact,Ig,10,0.2000000000,0.2000000000,0.2000000000
LOMO_Exact,LIPd,10,0.2222222222,0.2000000000,0.2105263158
LOMO_Exact,RM,10,0.2500000000,0.1000000000,0.1428571429
LOMO_Exact,TEm,10,0.4000000000,0.2000000000,0.2666666667
LOMO_Exact,13l,9,0.3571428571,0.5555555556,0.4347826087
LOMO_Exact,46v,9,0.1666666667,0.1111111111,0.1333333333
LOMO_Exact,7b,9,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,8A,9,0.1666666667,0.1111111111,0.1333333333
LOMO_Exact,8Bd,9,0.1428571429,0.1111111111,0.1250000000
LOMO_Exact,8Bs,9,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,9d,9,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,A1,9,0.6666666667,0.4444444444,0.5333333333
LOMO_Exact,F4,9,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,GP,9,1.0000000000,0.7777777778,0.8750000000
LOMO_Exact,LIPv,9,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,PGa,9,0.1666666667,0.1111111111,0.1333333333
LOMO_Exact,SII,9,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,TEav,9,0.0909090909,0.1111111111,0.1000000000
LOMO_Exact,pu,9,0.7777777778,0.7777777778,0.7777777778
LOMO_Exact,12r,8,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,14c,8,0.3333333333,0.3750000000,0.3529411765
LOMO_Exact,32,8,0.2666666667,0.5000000000,0.3478260870
LOMO_Exact,9m,8,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,Amy,8,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,Cd,8,0.7142857143,0.6250000000,0.6666666667
LOMO_Exact,F6,8,0.2000000000,0.1250000000,0.1538461538
LOMO_Exact,FST,8,0.3333333333,0.1250000000,0.1818181818
LOMO_Exact,HC,8,0.7272727273,1.0000000000,0.8421052632
LOMO_Exact,Ial,8,0.5000000000,0.5000000000,0.5000000000
LOMO_Exact,Iapl,8,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,MST,8,0.1578947368,0.3750000000,0.2222222222
LOMO_Exact,PrCO,8,0.2222222222,0.2500000000,0.2352941176
LOMO_Exact,R,8,0.2000000000,0.1250000000,0.1538461538
LOMO_Exact,TEO,8,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,TEad,8,0.2000000000,0.2500000000,0.2222222222
LOMO_Exact,TEpd,8,0.1176470588,0.2500000000,0.1600000000
LOMO_Exact,TFO,8,0.3333333333,0.1250000000,0.1818181818
LOMO_Exact,V3v,8,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,11m,7,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,12m,7,0.1000000000,0.1428571429,0.1176470588
LOMO_Exact,13m,7,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,CL,7,0.1428571429,0.1428571429,0.1428571429
LOMO_Exact,F5,7,1.0000000000,0.1428571429,0.2500000000
LOMO_Exact,F7,7,0.2500000000,0.1428571429,0.1818181818
LOMO_Exact,Iapm,7,0.1666666667,0.1428571429,0.1538461538
LOMO_Exact,NAcc,7,0.6250000000,0.7142857143,0.6666666667
LOMO_Exact,TEpv,7,0.1666666667,0.1428571429,0.1538461538
LOMO_Exact,Tha,7,0.8571428571,0.8571428571,0.8571428571
LOMO_Exact,V4,7,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,V4v,7,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,12o,6,0.1000000000,0.1666666667,0.1250000000
LOMO_Exact,13a,6,0.6666666667,0.3333333333,0.4444444444
LOMO_Exact,7m,6,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,CM,6,0.3333333333,0.1666666667,0.2222222222
LOMO_Exact,IPa,6,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,ML,6,0.0416666667,0.1666666667,0.0666666667
LOMO_Exact,RTL,6,0.5714285714,0.6666666667,0.6153846154
LOMO_Exact,RTM,6,0.5714285714,0.6666666667,0.6153846154
LOMO_Exact,Tpt,6,0.0769230769,0.1666666667,0.1052631579
LOMO_Exact,12l,5,0.0666666667,0.2000000000,0.1000000000
LOMO_Exact,23c,5,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,24c',5,0.1666666667,0.2000000000,0.1818181818
LOMO_Exact,44,5,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,TAa,5,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,V3d,5,0.2222222222,0.4000000000,0.2857142857
LOMO_Exact,23b,4,0.3333333333,0.2500000000,0.2857142857
LOMO_Exact,25,4,0.2500000000,0.2500000000,0.2500000000
LOMO_Exact,8Bm,4,0.2000000000,0.2500000000,0.2222222222
LOMO_Exact,Ia,4,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,Pi,4,0.0909090909,0.2500000000,0.1333333333
LOMO_Exact,Pir,4,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,RT,4,0.2222222222,0.5000000000,0.3076923077
LOMO_Exact,TG,4,0.5000000000,0.2500000000,0.3333333333
LOMO_Exact,24a',3,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,24b,3,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,24b',3,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,Ri,3,1.0000000000,0.3333333333,0.5000000000
LOMO_Exact,TEa,3,0.0555555556,0.3333333333,0.0952380952
LOMO_Exact,24a,2,0.0000000000,0.0000000000,0.0000000000
LOMO_Exact,TF,2,0.0000000000,0.0000000000,0.0000000000
SUMMARY,LOMO_Exact_macro,104,,,0.2034
SUMMARY,LOMO_Exact_weighted,812,,,0.2135
SUMMARY,LOMO_Network_macro,10,,,0.5895
SUMMARY,LOMO_Network_weighted,819,,,0.5605
SUMMARY,LOSO_Exact_macro,105,,,0.2102
SUMMARY,LOSO_Exact_weighted,814,,,0.2140
SUMMARY,LOSO_Network_macro,10,,,0.6217
SUMMARY,LOSO_Network_weighted,819,,,0.5921
