"gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMFAG00000005487","RF00001","rRNA",9.6460750100394,0.266451127531914,0.361222265920611,4.43542235479845,0.88049287080503,0.905606558312121
"ENSMFAG00000032293","ENSMFAG00000032293","protein_coding",986.791348000138,-0.0612210266207616,0.11657742357461,4.43340616239027,0.880646070828049,0.905724200065647
"ENSMFAG00000039834","SFT2D3","protein_coding",770.279426794811,0.160578421462358,0.217509969829316,4.43181091603913,0.880767222003874,0.905760580601112
"ENSMFAG00000046313","NOC4L","protein_coding",3746.70436919366,0.0781648377096316,0.120517962262696,4.43157268306572,0.880785309831707,0.905760580601112
"ENSMFAG00000038984","ENSMFAG00000038984","protein_coding",6.32130962117678,0.295374787743736,0.369077330817734,4.43140670962021,0.880797910620121,0.905760580601112
"ENSMFAG00000002707","SRSF3","protein_coding",8222.49852409161,-0.0120845384568913,0.0885078409297692,4.42866739355486,0.881005793311275,0.905934424776118
"ENSMFAG00000030352","RF00181","snoRNA",23.05873843694,0.0234516797380991,0.272696140075416,4.42807372337739,0.881050824290611,0.9059408013012
"ENSMFAG00000037256","EXOC5","protein_coding",7249.38125294452,-0.0937871460569075,0.120417639207263,4.4266802176071,0.881156493777117,0.905970537821056
"ENSMFAG00000037116","TELO2","protein_coding",4058.34259081183,0.06398546482357,0.160670406809224,4.42666818256066,0.881157406207852,0.905970537821056
"ENSMFAG00000045078","ENSMFAG00000045078","protein_coding",1203.65700762569,-0.0847194500191278,0.129478681358733,4.42406019145039,0.881355054377899,0.906095532212598
"ENSMFAG00000016105","ENSMFAG00000016105","miRNA",20.1573386357336,0.0333226142024466,0.230135725864818,4.42403912507768,0.881356650295002,0.906095532212598
"ENSMFAG00000003421","TMX3","protein_coding",6148.26469296082,-0.0588337755683576,0.166220207765834,4.4207522990273,0.881605529174277,0.906311460725493
"ENSMFAG00000038051","TGM7","protein_coding",3.67879915681929,-0.185650315977001,0.581684395332453,4.41724167527451,0.881871090604116,0.906522373752491
"ENSMFAG00000046285","TMTC3","protein_coding",3215.71332928609,0.00360253715964272,0.161077306265406,4.41701269430587,0.881888402428541,0.906522373752491
"ENSMFAG00000016251","TMEM60","protein_coding",364.583025279708,0.0771018398333357,0.107332644232415,4.41587798060038,0.881974173957827,0.906570598846157
"ENSMFAG00000046284","PTP4A1","protein_coding",6814.2731882914,-0.157122063548023,0.161287790826194,4.41450150254559,0.882078181919849,0.906637563873827
"ENSMFAG00000011970","RF00017","misc_RNA",2.34043857633505,-0.497865168620266,0.541016937588189,4.40976834540197,0.882435503687348,0.906964878261212
"ENSMFAG00000019075","RF00100","misc_RNA",21.7084916456197,-0.299785708047226,0.365633108560807,4.40240162391814,0.882990654233159,0.907495482750268
"ENSMFAG00000038381","ENSMFAG00000038381","protein_coding",2.65123990751318,0.288208222756566,0.509398455464832,4.40113544634011,0.883085951116132,0.907553445753258
"ENSMFAG00000042241","FAAP100","protein_coding",4562.24432812428,0.0112146395330828,0.124560847492705,4.39720192333334,0.883381774326604,0.907751957055082
"ENSMFAG00000035172","ABRAXAS2","protein_coding",2082.44601257726,0.027224155819052,0.0954566106966789,4.39637890141807,0.88344362670901,0.907751957055082
"ENSMFAG00000026904","ENSMFAG00000026904","protein_coding",4.96174399111395,-0.519820697060759,0.58005895160176,4.39589242321904,0.883480179809487,0.907751957055082
"ENSMFAG00000038662","CNNM3","protein_coding",3762.16478072708,0.0223111101425922,0.105565909134079,4.39564095708647,0.883499072459472,0.907751957055082
"ENSMFAG00000031110","PANK3","protein_coding",6068.79184790846,-0.0370488732982672,0.0671689389139896,4.39553631335434,0.883506933928162,0.907751957055082
"ENSMFAG00000031424","CT55","protein_coding",2.49690673081386,0.268543167302038,0.683197698875183,4.39546147800741,0.883512555861592,0.907751957055082
"ENSMFAG00000030393","RF00086","snoRNA",16.3503566055937,-0.0108814025697081,0.2427979013585,4.38602238716248,0.884220658117605,0.908439481022583
"ENSMFAG00000031482","LMF2","protein_coding",5857.11814898099,-0.0129579430621508,0.104439458604164,4.3835634884972,0.884404793612225,0.908588649923682
"ENSMFAG00000014860","RF00017","misc_RNA",74.1191003075178,-0.295165832910374,0.264278100302965,4.38300238938882,0.884446792792691,0.908591381032023
"ENSMFAG00000039811","MS4A3","protein_coding",5.28130368313229,-0.170376797466912,0.408762663877156,4.38248733743029,0.884485339076735,0.908591381032023
"ENSMFAG00000034510","ENSMFAG00000034510","protein_coding",0.998105471693992,-0.396738158162703,0.947337356384723,4.37574282898214,0.884989547956892,0.909069305832882
"ENSMFAG00000040913","ENSMFAG00000040913","protein_coding",3.156737127672,-0.170597765954121,0.451098148978457,4.36863990056713,0.885519450368014,0.909573580018321
"ENSMFAG00000006322","ENSMFAG00000006322","miRNA",3.33706794571934,-0.142417456304917,0.526685296370741,4.36809139046539,0.885560324005573,0.909575519232842
"ENSMFAG00000033939","SPINK7","protein_coding",2.50109627550647,0.259892150210936,0.654727965522754,4.36562224268303,0.885744235241877,0.909687213664954
"ENSMFAG00000028681","ENSMFAG00000028681","protein_coding",12.1167202608728,0.231631349683262,0.295307282041884,4.36558443279216,0.885747050397615,0.909687213664954
"ENSMFAG00000031328","C8orf33","protein_coding",2395.35000146061,-0.0252171142874488,0.0668206781796431,4.36397980236427,0.885866494410106,0.909769838061545
"ENSMFAG00000009157","RF00100","misc_RNA",1.66477790162997,0.657565566290546,0.595269889328369,4.36169054903291,0.886036799572489,0.90990468642219
"ENSMFAG00000000793","FBF1","protein_coding",10302.0477430562,-0.0292883601790675,0.136255263017089,4.36077583850488,0.886104814974444,0.909934482313766
"ENSMFAG00000009917",,,0.963025294021189,0.355728560416447,0.998087189140525,4.35926927696465,0.886216797780881,0.91000942339799
"ENSMFAG00000018924","ERAS","protein_coding",33.415228637921,-0.0161831121594314,0.188352607956293,4.35804590882822,0.886307693220458,0.910062705330803
"ENSMFAG00000026064","NXPE4","protein_coding",2.68749830168151,0.0529474987711609,0.482734815232125,4.35666966072327,0.886409907259996,0.910127604026008
"ENSMFAG00000040499","ENSMFAG00000040499","protein_coding",12.1162642767489,0.0992160292501037,0.264307456821092,4.35585727760025,0.886470222984493,0.910149479512902
"ENSMFAG00000021266","RF00404","snoRNA",34.4738713496689,0.0921703366931157,0.177916896280205,4.35441851825243,0.886577007782559,0.910219061323427
"ENSMFAG00000038836","ENSMFAG00000038836","protein_coding",1.79595844072685,-0.378440809570051,0.71534172031484,4.34920092002471,0.886963866621299,0.910576167039582
"ENSMFAG00000026282","ENSMFAG00000026282","protein_coding",3.69930243773057,0.0945210881208721,0.510826096600514,4.34784190053671,0.887064530269565,0.910639440124927
"ENSMFAG00000001928","PIH1D1","protein_coding",2124.08401845146,0.156814361003387,0.135317388581142,4.34699448138872,0.887127278161076,0.910663785936997
"ENSMFAG00000011946","RF00093","snoRNA",5.83599736696024,-0.242139932968244,0.381521392860743,4.34473836168092,0.887294255409882,0.910795119581501
"ENSMFAG00000045874","ENSMFAG00000045874","pseudogene",1.06230208580147,0.684775469804324,0.755450286786291,4.33464567106887,0.888039813679658,0.911520320851743
"ENSMFAG00000008231","RF00026","snRNA",5.98706417956448,-0.14023060106635,0.34364122722637,4.33206214351918,0.88823029069007,0.911675725313009
"ENSMFAG00000012488","RF00001","rRNA",3.83309983414676,-0.000604978738586298,0.49451202013424,4.32988684328205,0.888390552666848,0.911800104886073
"ENSMFAG00000037542","PRPF6","protein_coding",15240.5084774882,0.0306705280764115,0.122537844158733,4.32605779387495,0.888672391041166,0.91204924802628
"ENSMFAG00000002712","C4BPB","protein_coding",11.853842167965,0.0452782664789344,0.400787941729781,4.32482677891852,0.888762929492425,0.912102045745921
"ENSMFAG00000021467","RF00004","snRNA",59.5969593923386,0.0299650107609914,0.206988222088123,4.32402845454419,0.888821626078435,0.912122162218429
"ENSMFAG00000006667","RF00026","snRNA",1.60459294413529,-0.0744723135174896,0.674531354364994,4.3231320110898,0.8888875195633,0.912149662162709
"ENSMFAG00000047063","ENSMFAG00000047063","lincRNA",193.259178161238,-0.167805385162378,0.138987832774394,4.32033846594345,0.889092743075337,0.912320129686884
"ENSMFAG00000044546","SAMD7","protein_coding",2.37988081010065,-0.598308477538086,0.599087537630399,4.31825813892874,0.889245455669396,0.912436701830534
"ENSMFAG00000031581","ENSMFAG00000031581","protein_coding",328.251280237302,0.0225998467845672,0.0855247248187573,4.30865727934565,0.889948956634594,0.913118391628555
"ENSMFAG00000038016","ENSMFAG00000038016","protein_coding",0.862101804218672,-0.618266720155277,0.794108347390181,4.30509538874418,0.890209418061602,0.913345467581145
"ENSMFAG00000001803","OGT","protein_coding",23388.3325260214,-0.0697259478968267,0.110493940901039,4.29763957067485,0.890753681063512,0.913863688179622
