"gene_id","highest_network","pseudobulk_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000001951","Operculum/Insula",0.944352063315445,"GPA33","protein_coding"
"ENSMFAG00000005792","Orbitomedial Prefrontal Cortex (OMPFC)",0.558888531093505,"DUSP27","protein_coding"
"ENSMFAG00000002865","Occipital/Temporal",0.138012075599624,"POU2F1","protein_coding"
"ENSMFAG00000000076","Occipital/Temporal",0.595426364350026,"CD247","protein_coding"
"ENSMFAG00000045348","Subcortical",0.579257088407061,"CREG1","protein_coding"
"ENSMFAG00000039084","Subcortical",0.605706383710576,"RCSD1","protein_coding"
"ENSMFAG00000035513","Subcortical",0.662264813915953,"ENSMFAG00000035513","protein_coding"
"ENSMFAG00000045417","Cingulate gyrus",0.136943200866417,"MPZL1","protein_coding"
"ENSMFAG00000032699","Occipital/Temporal",0.372736695614437,"ADCY10","protein_coding"
"ENSMFAG00000046294","Lateral Prefrontal Cortex",0.378115089845602,"MPC2","protein_coding"
"ENSMFAG00000043317","Lateral Prefrontal Cortex",0.400280600732847,"ENSMFAG00000043317","protein_coding"
"ENSMFAG00000037639","Occipital/Temporal",0.699432115339334,"GPR161","protein_coding"
"ENSMFAG00000045557","Lateral Prefrontal Cortex",0.301737585113441,"TIPRL","protein_coding"
"ENSMFAG00000037122","Subcortical",1.1887453676718,"SFT2D2","protein_coding"
"ENSMFAG00000038069","Subcortical",1.21895869792506,"TBX19","protein_coding"
"ENSMFAG00000045925","Orbitomedial Prefrontal Cortex (OMPFC)",0.72182854542659,"ENSMFAG00000045925","protein_coding"
"ENSMFAG00000044751","Lateral Prefrontal Cortex",0.746653076273229,"ENSMFAG00000044751","protein_coding"
"ENSMFAG00000045128","Cingulate gyrus",0.504833382199235,"DPT","protein_coding"
"ENSMFAG00000039661","Hippocampal formation",0.255182632238188,"ATP1B1","protein_coding"
"ENSMFAG00000037358","Lateral Prefrontal Cortex",0.24706188101724,"NME7","protein_coding"
"ENSMFAG00000042415","Parietal, and Parieto-occipital region",0.241264824242903,"BLZF1","protein_coding"
"ENSMFAG00000041326","Occipital/Temporal",0.39629915435876,"CCDC181","protein_coding"
"ENSMFAG00000024078","Lateral Prefrontal Cortex",0.597667949683295,"ENSMFAG00000024078","protein_coding"
"ENSMFAG00000039988","Occipital/Temporal",0.249500650122831,"SLC19A2","protein_coding"
"ENSMFAG00000045747","Hippocampal formation",2.46604657505277,"F5","protein_coding"
"ENSMFAG00000036068","Lateral Prefrontal Cortex",0.950007282777324,"SELP","protein_coding"
"ENSMFAG00000042617","Frontal (agranular frontal motor areas)",1.07525722650082,"SELL","protein_coding"
"ENSMFAG00000001279","Frontal (agranular frontal motor areas)",0.605229285901943,"SELE","protein_coding"
"ENSMFAG00000022253","Occipital/Temporal",0.386326966736968,"METTL18","protein_coding"
"ENSMFAG00000039080","Occipital/Temporal",0.371784744111133,"C1orf112","protein_coding"
"ENSMFAG00000002890","Occipital/Temporal",0.192378376946337,"SCYL3","protein_coding"
"ENSMFAG00000014775","Occipital/Temporal",0.575463686020572,"RF00017","misc_RNA"
"ENSMFAG00000030675","Lateral Prefrontal Cortex",0.362067093281286,"KIFAP3","protein_coding"
"ENSMFAG00000019261","Occipital/Temporal",0.530815994753278,"RF00017","misc_RNA"
"ENSMFAG00000041576","Operculum/Insula",0.487302113726488,"ENSMFAG00000041576","protein_coding"
"ENSMFAG00000001853","Occipital/Temporal",0.12229954057003,"GORAB","protein_coding"
"ENSMFAG00000032316","Hippocampal formation",1.0550251755126,"PRRX1","protein_coding"
"ENSMFAG00000039471","Orbitomedial Prefrontal Cortex (OMPFC)",1.95558386999215,"FMO3","protein_coding"
"ENSMFAG00000033160","Orbitomedial Prefrontal Cortex (OMPFC)",1.25288501968132,"ENSMFAG00000033160","protein_coding"
"ENSMFAG00000045183","Lateral Prefrontal Cortex",0.72460455889651,"FMO2","protein_coding"
"ENSMFAG00000045636","Orbitomedial Prefrontal Cortex (OMPFC)",1.37372137617254,"FMO1","protein_coding"
"ENSMFAG00000032860","Subcortical",0.871489743820722,"FMO4","protein_coding"
"ENSMFAG00000000519","Orbitomedial Prefrontal Cortex (OMPFC)",0.0831685910437336,"PRRC2C","protein_coding"
"ENSMFAG00000013235","Occipital/Temporal",0.492211695663329,"RF00017","misc_RNA"
"ENSMFAG00000041678","Orbitomedial Prefrontal Cortex (OMPFC)",2.33619911467976,"MYOC","protein_coding"
"ENSMFAG00000000187","Occipital/Temporal",0.804662613333531,"ENSMFAG00000000187","protein_coding"
"ENSMFAG00000031870","Lateral Prefrontal Cortex",0.19327754030817,"VAMP4","protein_coding"
"ENSMFAG00000045158","Temporal",0.162344894072632,"EEF1AKNMT","protein_coding"
"ENSMFAG00000034742","Subcortical",1.07226871243789,"RF00019","misc_RNA"
"ENSMFAG00000035372","Occipital/Temporal",0.235762885640854,"DNM3","protein_coding"
"ENSMFAG00000020383","Lateral Prefrontal Cortex",0.77830678868612,"MIR214","miRNA"
"ENSMFAG00000012003","Orbitomedial Prefrontal Cortex (OMPFC)",0.53674942673091,"MIR199A2","miRNA"
"ENSMFAG00000004233","Occipital/Temporal",0.854947139917816,"RF00026","snRNA"
"ENSMFAG00000000294","Occipital/Temporal",0.982392515771561,"C1orf105","protein_coding"
"ENSMFAG00000021978","Hippocampal formation",0.322751909601362,"PIGC","protein_coding"
"ENSMFAG00000046345","Subcortical",0.197325534723031,"SUCO","protein_coding"
"ENSMFAG00000039338","Subcortical",2.59645866867744,"FASLG","protein_coding"
"ENSMFAG00000005132","Hippocampal formation",0.464627412514245,"TNFSF18","protein_coding"
"ENSMFAG00000001460","Lateral Prefrontal Cortex",0.137235551691086,"TNFSF4","protein_coding"
"ENSMFAG00000041050","Occipital/Temporal",0.292804915845061,"ENSMFAG00000041050","protein_coding"
"ENSMFAG00000030455","Lateral Prefrontal Cortex",0.148494889654586,"PRDX6","protein_coding"
"ENSMFAG00000043508","Subcortical",2.27191041963817,"SLC9C2","protein_coding"
"ENSMFAG00000003535","Subcortical",1.97868929621332,"ENSMFAG00000003535","protein_coding"
"ENSMFAG00000033900","Occipital/Temporal",0.245185477426887,"KLHL20","protein_coding"
"ENSMFAG00000019656","Hippocampal formation",0.623525230847839,"RF00100","misc_RNA"
"ENSMFAG00000045526","Parietal, and Parieto-occipital region",0.174303790425958,"CENPL","protein_coding"
"ENSMFAG00000003036","Cingulate gyrus",0.101754412629022,"DARS2","protein_coding"
"ENSMFAG00000013147","Lateral Prefrontal Cortex",0.782834259275771,"RF00309","snoRNA"
"ENSMFAG00000016785","Parietal, and Parieto-occipital region",0.516537366520174,"RF00152","snoRNA"
"ENSMFAG00000012707","Occipital/Temporal",0.438963371924753,"RF00069","snoRNA"
"ENSMFAG00000019211","Temporal",0.225187883936478,"RF00284","snoRNA"
"ENSMFAG00000000705","Subcortical",0.395095402456793,"ZBTB37","protein_coding"
"ENSMFAG00000031906","Subcortical",0.9126026493714,"SERPINC1","protein_coding"
"ENSMFAG00000033725","Occipital/Temporal",0.159701303115407,"RC3H1","protein_coding"
"ENSMFAG00000004894","Parietal, and Parieto-occipital region",0.581730685490749,"RF00001","rRNA"
