"gene_symbol","fisher_score","gene_index","gene_id","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","highest_network","pseudobulk_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05"
"RF02160",1.55806309767949,16974,"ENSMFAG00000018171","misc_RNA",376.585534986353,-0.614282824214833,0.17754794080364,396.75265244844,6.75332307572971e-80,9.26834003999117e-78,"Frontal (agranular frontal motor areas)",1.29601649929911,TRUE,TRUE
"KLHL13",1.54596776133397,12352,"ENSMFAG00000043732","protein_coding",1354.66021793,0.133309069640319,0.0951126940047564,862.408473445754,7.75634162848386e-180,2.58518866477367e-176,"Subcortical",1.36200162424876,TRUE,TRUE
"HCN1",1.5390560721486,11244,"ENSMFAG00000031844","protein_coding",12387.0142226503,0.236952316194314,0.116819121521411,213.813471206687,4.18008396233482e-41,1.07288821699927e-39,"Occipital/Temporal",0.422699131183274,TRUE,TRUE
"TESPA1",1.52441151467565,19380,"ENSMFAG00000040218","protein_coding",10081.1463191171,0.0716758859107172,0.23872963610208,217.495553226936,7.03624038165217e-42,1.86973262351169e-40,"Frontal (agranular frontal motor areas)",1.14249703356437,TRUE,TRUE
"ENSMFAG00000015786",1.51939750044613,5634,"ENSMFAG00000015786","protein_coding",1680.67399173413,-0.0328413669654398,0.142963015912132,172.727188980812,1.66736888031504e-32,2.52278750626656e-31,"Lateral Prefrontal Cortex",0.502322905849034,TRUE,TRUE
"FAM81A",1.51755600302612,10089,"ENSMFAG00000044204","protein_coding",5554.28228996165,-0.305071143326503,0.0936969349937135,232.627151467836,4.60118619678737e-45,1.46253780868183e-43,"Cingulate gyrus",0.386865686398176,TRUE,TRUE
"VSNL1",1.51609886210426,20763,"ENSMFAG00000042391","protein_coding",57424.2954302372,0.0439705707630425,0.121456048210179,306.742577188396,9.68533225102331e-61,6.38584983188644e-59,"Lateral Prefrontal Cortex",0.576778702642079,TRUE,TRUE
"ID2",1.50832858086534,11621,"ENSMFAG00000000039","protein_coding",8174.46601250013,-0.130325129251985,0.118391032527984,208.44281789595,5.61190821782561e-40,1.33739970000091e-38,"Cingulate gyrus",0.613416255439644,TRUE,TRUE
"SIX3",1.50637459874474,17988,"ENSMFAG00000044088","protein_coding",363.794041677248,0.663069001792765,0.427123243322602,667.190631381256,7.79089720358568e-138,6.73220083914287e-135,"Subcortical",6.27141977580387,TRUE,TRUE
"CCDC83",1.5004276894243,2113,"ENSMFAG00000002840","protein_coding",218.874639583824,0.558632961241925,0.150243765018543,434.947275353853,4.72815355677182e-88,8.3570114115942e-86,"Occipital/Temporal",0.989972583111738,TRUE,TRUE
"GRIN2A",1.48923501023763,11057,"ENSMFAG00000037083","protein_coding",43406.768258139,0.226549312622028,0.0820514452317589,324.007183539812,2.08858352082461e-64,1.6242914041453e-62,"Temporal",0.327505666481974,TRUE,TRUE
"IGSF21",1.48039232503684,11707,"ENSMFAG00000040850","protein_coding",16602.3948729218,0.0803795187202232,0.14422555832993,146.785492325734,4.08315603473923e-27,4.51274815000004e-26,"Frontal (agranular frontal motor areas)",0.292670785259704,TRUE,TRUE
"NLK",1.47939583549432,14462,"ENSMFAG00000041658","protein_coding",20735.5265473533,0.14619017560964,0.122989628911147,154.052524343018,1.27477617443018e-28,1.53466475364451e-27,"Lateral Prefrontal Cortex",0.524692036313899,TRUE,TRUE
"CHAT",1.47691892350052,2559,"ENSMFAG00000045379","protein_coding",113.688785258131,0.739950459590395,1.03133493869837,196.793299469867,1.55678651664354e-37,3.19168595956155e-36,"Subcortical",7.99199007788323,TRUE,TRUE
"SLC26A4",1.47304579994859,18155,"ENSMFAG00000041539","protein_coding",1428.17220988186,-0.479874658284536,0.139578037926309,374.346815323872,4.04562343729544e-75,4.84043284182256e-73,"Cingulate gyrus",1.00654946135461,TRUE,TRUE
"PAK1",1.46833068503908,15018,"ENSMFAG00000003264","protein_coding",44610.5533881282,0.0813757685385221,0.0725467525163073,387.053114291386,7.91255052638762e-78,1.04298144819858e-75,"Temporal",0.254512958578186,TRUE,TRUE
"ENSMFAG00000033090",1.46802255853842,6950,"ENSMFAG00000033090","protein_coding",6245.39912481986,-0.0817578962781463,0.152085840342788,404.614118871229,1.41937118071243e-81,2.01922859860985e-79,"Subcortical",1.89790565828931,TRUE,TRUE
"DLGAP1",1.46540255205087,3641,"ENSMFAG00000031490","protein_coding",49843.7995932236,0.109808840322813,0.109499831854621,136.734011992585,4.86830803244225e-25,4.77437976901682e-24,"Hippocampal formation",0.223541218493663,TRUE,TRUE
"SLC17A7",1.45953843847823,18063,"ENSMFAG00000001898","protein_coding",111040.599586379,-0.214128753848722,0.169202344146473,112.458311183986,4.64081656515488e-20,3.22055000837682e-19,"Hippocampal formation",1.21987722270847,TRUE,TRUE
"CAMK2G",1.45696043084665,1864,"ENSMFAG00000029191","protein_coding",47311.2247754188,0.106754939974854,0.0817364367568185,632.399358466715,2.31880062150608e-130,1.54571249429595e-127,"Occipital/Temporal",0.65896711691507,TRUE,TRUE
"SLC30A3",1.44982203755062,18190,"ENSMFAG00000000328","protein_coding",12651.5909505921,0.0117505933571377,0.21587392175889,68.2426156298873,3.36309741859856e-11,1.22946452324229e-10,"Hippocampal formation",0.945391866119451,TRUE,TRUE
"NUDT4",1.44850305285305,14722,"ENSMFAG00000035819","protein_coding",20250.7502133262,-0.0545692443003346,0.0720375048878331,270.12087830953,5.57849719565535e-53,2.6399983381711e-51,"Lateral Prefrontal Cortex",0.413522829737531,TRUE,TRUE
"SHC3",1.44562883158684,17913,"ENSMFAG00000041328","protein_coding",30779.7538768156,-0.00330233254706766,0.093009861479442,264.297857058588,9.50813045233266e-52,4.15419834425793e-50,"Temporal",0.267236430508579,TRUE,TRUE
