gene_index,fisher_score,between_variance,within_variance,gene_symbol
8657,1.261272260640379,0.1436374747693417,0.11388299468640561,ENSMFAG00000043848
12228,1.2566518822556114,0.14962815014039746,0.11906888430016553,KHDRBS2
12976,1.2550873795359085,0.0499583397397158,0.03980466061838261,MAGI1
1773,1.252715773855109,0.2442396188625203,0.1949680936672006,CA10
3829,1.2523489469911828,0.9185018490983661,0.7334232513882117,DRD2
14690,1.243565152107133,0.6633841765232278,0.5334534848966448,NTRK1
10213,1.2412807618588673,0.0686305724277303,0.05529011817773256,FBXW7
14899,1.240416556422223,0.16831621191740243,0.13569328677675602,OSBPL3
2334,1.2400588927176877,0.21942230394151446,0.17694505706905914,CDH13
17059,1.239800773300043,0.2956069065809606,0.2384309645138553,RGS8
6510,1.2333223088642078,0.40745083805854093,0.33036848745608743,ENSMFAG00000030665
15262,1.230311589029043,0.125965999849419,0.10238543525849006,PDZRN3
10122,1.2282551005078675,0.38344481043530587,0.31218661171787965,FAP
1981,1.2279798614574147,0.37085293230994804,0.30200244455964176,CBLN4
3345,1.2275329569843672,0.03855836532277756,0.03141125688565854,CYTH3
3758,1.2222074839352899,0.39989976515856046,0.327194652456946,DOC2A
9992,1.2206947939364248,0.355022509457301,0.29083641464996945,FAM163B
15162,1.220085460302359,0.5855382620053071,0.4799157672605538,PCP4
5785,1.2168958932584193,0.5483925669919874,0.45064870204683327,ENSMFAG00000018905
12626,1.2140500970132597,0.5758447891265603,0.474317145892679,LHX8
21045,1.2101929299964431,0.15205359684504247,0.1256440861405132,ZBTB16
1221,1.2095515902287772,0.25683886549522994,0.2123422063800809,BAIAP2L2
3236,1.2078966798747162,0.36041114046930567,0.2983791034409673,CUX2
12615,1.2020036493662323,0.13062629091125005,0.10867377895240792,LHFPL3
12140,1.1953414254165666,0.2739914724721372,0.2292160672196558,KCNJ6
15973,1.1893738974213868,0.1340805596751192,0.11273204168350472,PRICKLE1
1306,1.1868387887980023,0.07486068447712527,0.0630756875451924,BEND5
14637,1.1826967253527838,0.46751070890021706,0.39529212100743505,NRN1
14356,1.18252059957559,0.6200567848383248,0.5243517730140674,NEUROD1
229,1.169690085253535,0.13025197653863935,0.1113559621337697,ADAM19
12124,1.1659452246686095,0.15033124851889537,0.12893507660462436,KCNH7
5715,1.1637506323405278,0.46942586736335545,0.4033732336469222,ENSMFAG00000017288
11574,1.1628383810483671,0.48710331917816485,0.4188916667083424,HTR3A
12756,1.1588601569072146,0.05572507895653267,0.0480861017058789,LRFN5
7874,1.1577766419043392,0.8455304174690615,0.730305289715075,ENSMFAG00000038912
1037,1.1575885910556618,0.02837915988381709,0.02451574637760626,ATG7
12118,1.1568665194194656,0.1523242090561697,0.13166963943596818,KCNH1
19769,1.1523077016836991,0.10283002476489837,0.08923832852246918,TMEM266
289,1.1453055080140904,0.17482161313995412,0.15264189376861728,ADGRA1
5892,1.1429738950041077,0.12575818893907695,0.11002716515138435,ENSMFAG00000021768
12173,1.136615749279666,0.1914564219232061,0.16844427035115847,KCNS3
12059,1.1357296308835436,0.0737396058136039,0.06492706754418454,KALRN
21151,1.1355001341134079,0.18788467451823604,0.16546423687561604,ZFHX3
8,1.1331204304615423,0.12765748112665143,0.1126601077552275,AADAT
3847,1.1329346387907109,0.5808844955871209,0.5127255045161367,DSG3
7766,1.131457679894455,0.49053842294764666,0.4335455230449525,ENSMFAG00000038166
18213,1.1305005604980551,0.5990035804896574,0.5298569413541501,SLC35D3
6,1.12979623298449,0.09116145064754254,0.08068839024959971,AACS
3841,1.1294805363208997,0.06407825237164667,0.05673248809188498,DSCAM
14472,1.1287617352109873,0.5223822497651098,0.46279229901414864,NLRP6
11387,1.125396854310178,0.07464312380226068,0.06632603624438359,HIVEP1
339,1.1246425009063126,0.32182417044578787,0.2861568533467438,ADRA1B
12129,1.1199221885257524,0.12376349220231875,0.11051078572344131,KCNIP4
7077,1.1151495051205922,0.44319292992699016,0.397429148953053,ENSMFAG00000033848
14956,1.1144338102606608,0.12920274484053246,0.11593576263266317,OXR1
17749,1.1094006481286733,0.07880230987856356,0.07103141585276704,SEPT6
13667,1.1020655508861594,0.40084285869094893,0.3637196057421266,MKX
10762,1.1015942613441327,0.3191620443547496,0.28972739286910854,GJD4
10539,1.1007555527531407,0.19442451350591605,0.17662822777689213,GABBR2
14358,1.096851840126528,0.6910826739857064,0.6300601756181289,NEUROD6
17427,1.0948681070575446,0.478352000065765,0.4369037567480651,RTN4RL2
10954,1.094674499978457,0.816788691803836,0.7461475359781974,GPR139
17880,1.0923538881097608,0.4133983197810733,0.3784472352388384,SH2D4B
17060,1.092076899026475,0.4626182945952027,0.42361328592046205,RGS9
11929,1.0917453575122535,0.5769124452837799,0.5284313144971181,IRX1
18508,1.0894409990828313,0.21402672592891367,0.19645553565056442,SNCB
19168,1.0875056007748947,0.28176943750998296,0.259096988957256,TAFA2
19491,1.0838258591632401,0.1441060892256105,0.132960546354382,THRB
16176,1.0823290420160432,0.18478049524272153,0.17072486946783058,PSRC1
13664,1.0813267576006875,0.021814973092712263,0.020174255493176762,MKRN2
9969,1.0809853869013186,0.0755720200173126,0.06991029677476814,FAM131B
