GeneID,Gene.name,Gene.type,M20,M4
ENSMFAG00000001982,ATN1,protein_coding,lightcyan,M4
ENSMFAG00000001991,PPP6R1,protein_coding,green,M4
ENSMFAG00000001997,RNPEP,protein_coding,green,M4
ENSMFAG00000002007,DOP1B,protein_coding,lightcyan,M4
ENSMFAG00000002016,OPLAH,protein_coding,green,M4
ENSMFAG00000002025,FLOT1,protein_coding,green,M4
ENSMFAG00000002032,RDH5,protein_coding,green,M4
ENSMFAG00000002034,TNFSF12,protein_coding,green,M4
ENSMFAG00000002054,CACNB1,protein_coding,green,M4
ENSMFAG00000002061,ABCA13,protein_coding,cyan,M4
ENSMFAG00000002105,LNPK,protein_coding,cyan,M4
ENSMFAG00000002120,LYRM4,protein_coding,purple,M4
ENSMFAG00000002130,CCK,protein_coding,green,M4
ENSMFAG00000002135,TMEM8B,protein_coding,green,M4
ENSMFAG00000002143,CS,protein_coding,purple,M4
ENSMFAG00000002154,CDK5,protein_coding,green,M4
ENSMFAG00000002180,ADGRL1,protein_coding,green,M4
ENSMFAG00000002182,PPP1R17,protein_coding,purple,M4
ENSMFAG00000002215,RPS25,protein_coding,midnightblue,M4
ENSMFAG00000002229,GRM3,protein_coding,green,M4
ENSMFAG00000002230,RNF7,protein_coding,midnightblue,M4
ENSMFAG00000002243,CTDNEP1,protein_coding,green,M4
ENSMFAG00000002260,TAS1R3,protein_coding,green,M4
ENSMFAG00000002264,KCNK4,protein_coding,green,M4
ENSMFAG00000002300,MED16,protein_coding,lightcyan,M4
ENSMFAG00000002305,GRIPAP1,protein_coding,lightcyan,M4
ENSMFAG00000002308,LZTR1,protein_coding,cyan,M4
ENSMFAG00000002360,CIB1,protein_coding,midnightblue,M4
ENSMFAG00000002364,TMEM184B,protein_coding,green,M4
ENSMFAG00000002390,CMTR1,protein_coding,lightcyan,M4
ENSMFAG00000002404,CHN1,protein_coding,purple,M4
ENSMFAG00000002439,CRAT,protein_coding,green,M4
ENSMFAG00000002442,UXT,protein_coding,purple,M4
ENSMFAG00000002471,CPTP,protein_coding,green,M4
ENSMFAG00000002478,H2AFZ,protein_coding,purple,M4
ENSMFAG00000002479,APP,protein_coding,green,M4
ENSMFAG00000002484,SART1,protein_coding,lightcyan,M4
ENSMFAG00000002505,DCTPP1,protein_coding,green,M4
ENSMFAG00000002512,CHST12,protein_coding,lightcyan,M4
ENSMFAG00000002515,RPS21,protein_coding,midnightblue,M4
ENSMFAG00000002530,SLC25A10,protein_coding,green,M4
ENSMFAG00000002541,ADAMTSL3,protein_coding,cyan,M4
ENSMFAG00000002545,PRUNE1,protein_coding,midnightblue,M4
ENSMFAG00000002548,ENSMFAG00000002548,protein_coding,purple,M4
ENSMFAG00000002556,PPIA,protein_coding,green,M4
ENSMFAG00000002588,PSMB7,protein_coding,green,M4
ENSMFAG00000002599,PITHD1,protein_coding,green,M4
ENSMFAG00000002617,KLHL29,protein_coding,cyan,M4
ENSMFAG00000002636,TMEM50B,protein_coding,purple,M4
ENSMFAG00000002637,MRPL53,protein_coding,purple,M4
ENSMFAG00000002644,MAPK11,protein_coding,green,M4
ENSMFAG00000002664,PYURF,protein_coding,purple,M4
ENSMFAG00000002669,BST2,protein_coding,green,M4
ENSMFAG00000002704,ENSMFAG00000002704,protein_coding,midnightblue,M4
ENSMFAG00000002736,GINS1,protein_coding,purple,M4
ENSMFAG00000002737,SH3BP5L,protein_coding,green,M4
ENSMFAG00000002749,SRD5A1,protein_coding,purple,M4
ENSMFAG00000002758,RBM42,protein_coding,green,M4
ENSMFAG00000002767,ATG2A,protein_coding,lightcyan,M4
ENSMFAG00000002783,ADM2,protein_coding,green,M4
ENSMFAG00000002797,PPP6R2,protein_coding,lightcyan,M4
ENSMFAG00000002799,ADAMTS2,protein_coding,cyan,M4
ENSMFAG00000002802,TSPAN7,protein_coding,purple,M4
ENSMFAG00000002804,IFI27L2,protein_coding,green,M4
ENSMFAG00000002822,EZR,protein_coding,green,M4
ENSMFAG00000002839,SNAPIN,protein_coding,purple,M4
ENSMFAG00000002854,ENSMFAG00000002854,protein_coding,purple,M4
ENSMFAG00000002855,SIM2,protein_coding,green,M4
ENSMFAG00000002859,FKBP6,protein_coding,green,M4
ENSMFAG00000002884,POLR2E,protein_coding,green,M4
ENSMFAG00000002901,ENSMFAG00000002901,protein_coding,green,M4
ENSMFAG00000002939,RPS2,protein_coding,midnightblue,M4
ENSMFAG00000002971,COX7B,protein_coding,purple,M4
ENSMFAG00000002976,CCDC12,protein_coding,lightcyan,M4
ENSMFAG00000002982,ATCAY,protein_coding,lightcyan,M4
ENSMFAG00000002999,FBXL19,protein_coding,lightcyan,M4
ENSMFAG00000003017,CDK18,protein_coding,green,M4
ENSMFAG00000003050,MIF,protein_coding,midnightblue,M4
ENSMFAG00000003064,SF3B2,protein_coding,lightcyan,M4
ENSMFAG00000003072,ENSMFAG00000003072,protein_coding,purple,M4
ENSMFAG00000003089,CDC34,protein_coding,green,M4
ENSMFAG00000003090,HARS2,protein_coding,green,M4
ENSMFAG00000003092,ENSMFAG00000003092,protein_coding,lightcyan,M4
ENSMFAG00000003097,MTSS2,protein_coding,green,M4
ENSMFAG00000003105,MT1M,protein_coding,green,M4
ENSMFAG00000003113,FBXL14,protein_coding,green,M4
ENSMFAG00000003127,PRKAR1B,protein_coding,green,M4
ENSMFAG00000003128,RAB36,protein_coding,green,M4
ENSMFAG00000003129,PHF5A,protein_coding,purple,M4
ENSMFAG00000003135,NUCB1,protein_coding,green,M4
ENSMFAG00000003138,ARPC1A,protein_coding,green,M4
ENSMFAG00000003143,ENSMFAG00000003143,protein_coding,midnightblue,M4
ENSMFAG00000003159,TMX2,protein_coding,purple,M4
ENSMFAG00000003172,MRPL48,protein_coding,purple,M4
ENSMFAG00000003177,TNFSF9,protein_coding,green,M4
ENSMFAG00000003182,DCTN3,protein_coding,green,M4
ENSMFAG00000003186,PRR5,protein_coding,cyan,M4
ENSMFAG00000003202,RRP1,protein_coding,lightcyan,M4
ENSMFAG00000003270,C2orf72,protein_coding,green,M4
ENSMFAG00000003273,VSIG8,protein_coding,green,M4
ENSMFAG00000003275,SAT1,protein_coding,midnightblue,M4
ENSMFAG00000003301,RUVBL1,protein_coding,purple,M4
ENSMFAG00000003341,ENSMFAG00000003341,protein_coding,lightcyan,M4
ENSMFAG00000003346,GABARAP,protein_coding,midnightblue,M4
ENSMFAG00000003352,XRCC6,protein_coding,green,M4
ENSMFAG00000003355,GTF2F1,protein_coding,lightcyan,M4
ENSMFAG00000003357,CAPG,protein_coding,green,M4
ENSMFAG00000003372,ENSMFAG00000003372,protein_coding,green,M4
ENSMFAG00000003383,APC2,protein_coding,lightcyan,M4
ENSMFAG00000003392,NCSTN,protein_coding,green,M4
ENSMFAG00000003404,RAD23A,protein_coding,green,M4
ENSMFAG00000003424,ENSMFAG00000003424,protein_coding,purple,M4
ENSMFAG00000003426,EDF1,protein_coding,green,M4
ENSMFAG00000003446,MRPS24,protein_coding,purple,M4
ENSMFAG00000003456,TCP1,protein_coding,midnightblue,M4
ENSMFAG00000003458,FZR1,protein_coding,lightcyan,M4
ENSMFAG00000003460,MORC1,protein_coding,cyan,M4
ENSMFAG00000003461,DNAJA2,protein_coding,purple,M4
ENSMFAG00000003529,RAB19,protein_coding,cyan,M4
ENSMFAG00000003548,TPPP,protein_coding,lightcyan,M4
ENSMFAG00000003557,RHOC,protein_coding,midnightblue,M4
ENSMFAG00000003568,SLC41A3,protein_coding,green,M4
ENSMFAG00000003597,ADCK1,protein_coding,green,M4
ENSMFAG00000003611,C1orf122,protein_coding,green,M4
ENSMFAG00000003646,STMN2,protein_coding,green,M4
ENSMFAG00000003663,PSMD5,protein_coding,purple,M4
ENSMFAG00000003664,RNF11,protein_coding,green,M4
ENSMFAG00000003703,PRELID1,protein_coding,purple,M4
ENSMFAG00000003711,CALM2,protein_coding,purple,M4
ENSMFAG00000003734,ENSMFAG00000003734,protein_coding,green,M4
ENSMFAG00000003757,SIGLEC10,protein_coding,green,M4
ENSMFAG00000003781,CBFA2T3,protein_coding,cyan,M4
ENSMFAG00000003800,SLC25A44,protein_coding,green,M4
ENSMFAG00000003802,NDUFA11,protein_coding,green,M4
ENSMFAG00000003854,PSMC3,protein_coding,green,M4
ENSMFAG00000003856,SUPT4H1,protein_coding,midnightblue,M4
ENSMFAG00000003866,NDUFC1,protein_coding,purple,M4
ENSMFAG00000003876,PODXL2,protein_coding,green,M4
ENSMFAG00000003899,DGAT1,protein_coding,lightcyan,M4
ENSMFAG00000003905,LHFPL5,protein_coding,cyan,M4
ENSMFAG00000003941,ZMIZ2,protein_coding,green,M4
ENSMFAG00000003953,PTOV1,protein_coding,green,M4
ENSMFAG00000003964,COASY,protein_coding,green,M4
ENSMFAG00000003966,MRPS18B,protein_coding,purple,M4
ENSMFAG00000003981,ENSMFAG00000003981,protein_coding,purple,M4
ENSMFAG00000004020,ENSMFAG00000004020,protein_coding,green,M4
ENSMFAG00000004024,VAV2,protein_coding,cyan,M4
ENSMFAG00000004028,CDIPT,protein_coding,green,M4
ENSMFAG00000004055,PLEKHG5,protein_coding,lightcyan,M4
ENSMFAG00000004345,GTPBP3,protein_coding,green,M4
ENSMFAG00000004590,PRKACA,protein_coding,green,M4
ENSMFAG00000004917,SAP18,protein_coding,purple,M4
ENSMFAG00000005216,HIST2H2AC,protein_coding,purple,M4
ENSMFAG00000005287,DPYSL2,protein_coding,green,M4
ENSMFAG00000005291,ENSMFAG00000005291,protein_coding,purple,M4
ENSMFAG00000005599,RIOX1,protein_coding,green,M4
ENSMFAG00000005679,ENSMFAG00000005679,protein_coding,purple,M4
ENSMFAG00000005792,DUSP27,protein_coding,green,M4
ENSMFAG00000005821,ENSMFAG00000005821,miRNA,green,M4
ENSMFAG00000006229,SOSTDC1,protein_coding,cyan,M4
ENSMFAG00000006345,ENSMFAG00000006345,protein_coding,purple,M4
ENSMFAG00000006576,HOPX,protein_coding,midnightblue,M4
ENSMFAG00000006623,LINC00672,protein_coding,purple,M4
ENSMFAG00000006665,TMA7,protein_coding,purple,M4
ENSMFAG00000006821,ENSMFAG00000006821,protein_coding,purple,M4
ENSMFAG00000006908,CD3EAP,protein_coding,green,M4
ENSMFAG00000006917,TM6SF2,protein_coding,green,M4
ENSMFAG00000007184,ATP5F1E,protein_coding,midnightblue,M4
ENSMFAG00000007224,ENSMFAG00000007224,protein_coding,midnightblue,M4
ENSMFAG00000007257,TGFBR3L,protein_coding,green,M4
ENSMFAG00000007386,ADCK2,protein_coding,green,M4
ENSMFAG00000007410,MORF4L1,protein_coding,purple,M4
ENSMFAG00000007415,FTH1,protein_coding,green,M4
ENSMFAG00000007433,ERP29,protein_coding,purple,M4
ENSMFAG00000007511,JUNB,protein_coding,green,M4
ENSMFAG00000007541,TUBA4A,protein_coding,green,M4
ENSMFAG00000007597,ASB6,protein_coding,green,M4
ENSMFAG00000007607,NME1-NME2,protein_coding,green,M4
ENSMFAG00000007624,ENSMFAG00000007624,protein_coding,green,M4
ENSMFAG00000007792,ENSMFAG00000007792,protein_coding,midnightblue,M4
ENSMFAG00000007971,ENSMFAG00000007971,protein_coding,purple,M4
ENSMFAG00000007972,PNMA1,protein_coding,green,M4
ENSMFAG00000008105,NSDHL,protein_coding,cyan,M4
ENSMFAG00000008150,ENSMFAG00000008150,protein_coding,green,M4
ENSMFAG00000008304,HIST1H2BJ,protein_coding,purple,M4
ENSMFAG00000008510,HGS,protein_coding,lightcyan,M4
ENSMFAG00000008867,IMP3,protein_coding,purple,M4
ENSMFAG00000008982,ENSMFAG00000008982,protein_coding,purple,M4
ENSMFAG00000009138,ENSMFAG00000009138,protein_coding,purple,M4
ENSMFAG00000009200,PGPEP1,protein_coding,cyan,M4
ENSMFAG00000009266,HIST1H2AC,protein_coding,midnightblue,M4
ENSMFAG00000009475,ENSMFAG00000009475,protein_coding,green,M4
ENSMFAG00000009940,ATP6V0A1,protein_coding,green,M4
ENSMFAG00000010123,MARS,protein_coding,green,M4
ENSMFAG00000010683,TPBG,protein_coding,green,M4
ENSMFAG00000010740,ENSMFAG00000010740,miRNA,lightcyan,M4
ENSMFAG00000010746,KCNA6,protein_coding,green,M4
ENSMFAG00000011075,DRD5,protein_coding,cyan,M4
ENSMFAG00000011344,ZBTB22,protein_coding,green,M4
ENSMFAG00000011575,ENSMFAG00000011575,protein_coding,purple,M4
ENSMFAG00000011674,ENSMFAG00000011674,miRNA,purple,M4
ENSMFAG00000012118,ENSMFAG00000012118,protein_coding,purple,M4
ENSMFAG00000012381,ENSMFAG00000012381,protein_coding,green,M4
ENSMFAG00000012865,NAPB,protein_coding,cyan,M4
ENSMFAG00000013210,ENSMFAG00000013210,protein_coding,midnightblue,M4
ENSMFAG00000013333,ENSMFAG00000013333,protein_coding,green,M4
ENSMFAG00000013679,ENSMFAG00000013679,protein_coding,green,M4
ENSMFAG00000014328,MGAT3,protein_coding,green,M4
ENSMFAG00000014433,HIST1H2AD,protein_coding,midnightblue,M4
ENSMFAG00000014648,FAM50B,protein_coding,green,M4
ENSMFAG00000014671,ENSMFAG00000014671,miRNA,green,M4
ENSMFAG00000014721,ENSMFAG00000014721,protein_coding,midnightblue,M4
ENSMFAG00000014834,ENSMFAG00000014834,protein_coding,green,M4
ENSMFAG00000014837,ENSMFAG00000014837,protein_coding,purple,M4
ENSMFAG00000014923,DSG2,protein_coding,cyan,M4
ENSMFAG00000015193,SDHAF1,protein_coding,green,M4
ENSMFAG00000015207,OXA1L,protein_coding,purple,M4
ENSMFAG00000015518,WBP1,protein_coding,midnightblue,M4
ENSMFAG00000015537,BRD3OS,protein_coding,green,M4
