Region,roi173,NeocortexRegion,Lobe,002,034,067,079,92,qbt,xq,xz,zs,total_sample_count
TAa,TAa,Yes,Temporal,0,2,0,0,1,0,1,1,0,5
TEa,TEa,Yes,Temporal,0,0,0,0,0,1,0,2,0,3
TEad,TEad,Yes,Temporal,0,2,0,0,1,1,3,1,0,8
TEav,TEav,Yes,Temporal,0,2,0,0,2,1,3,1,0,9
TEm,TEm,Yes,Temporal,0,2,0,0,0,1,6,1,0,10
TEO,TEO,Yes,Temporal,0,4,0,0,2,0,0,1,1,8
TEpd,TEpd,Yes,Temporal,0,3,0,0,2,0,3,0,0,8
TEpv,TEpv,Yes,Temporal,0,2,0,0,2,0,2,1,0,7
TF,TF,Yes,Temporal,0,1,0,0,0,0,1,0,0,2
TFO,TFO,Yes,Temporal,0,3,0,0,1,0,3,1,0,8
TG,TG,Yes,Temporal,0,3,0,0,1,0,0,0,0,4
Tha,TH,No,Subcortical,0,2,0,0,1,0,4,0,0,7
TPO,TPO,Yes,Temporal,0,4,0,0,1,1,2,2,1,11
Tpt,Tpt,Yes,Temporal,0,2,0,0,0,1,2,0,1,6
V1,V1,Yes,Occipital,0,4,0,0,4,0,3,0,0,11
V2,V2,Yes,Occipital,0,4,0,0,4,1,5,1,0,15
V3d,V3d,Yes,Occipital,0,1,1,1,0,0,2,0,0,5
V3v,V3v,Yes,Occipital,1,3,0,0,1,1,2,0,0,8
V4,V4,Yes,Occipital,0,3,0,0,1,1,2,0,0,7
V4v,V4v,Yes,Occipital,1,4,0,0,0,1,1,0,0,7
VIP,VIP,Yes,Parietal,1,2,0,0,2,2,2,2,0,11
