Gene.ID,Gene.name,r value,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,p (FDR-corrected),Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,age2,age3,age4,age5,age6,age7,age8,aggregate,age2,age3,age4,age5,age6,age7,age8,aggregate
ENSMFAG00000047024,ENSMFAG00000047024,-0.367963280357102,-0.355706476787676,-0.379799574470517,-0.355045620982353,-0.375046022582898,-0.370946316637991,-0.370818702198542,-0.343645345980249,0.0153660171483781,0.0199834793612846,0.00670276710220578,0.0112603403036542,0.00481514731593715,0.00867804840624493,0.00391583283985754,0.0129448249517205
ENSMFAG00000033925,EIF2D,-0.301506764057137,-0.326451885357634,-0.350685846771198,-0.348390642052186,-0.349748796724856,-0.35904760073124,-0.404288074676756,-0.330463686945811,0.0431335390753228,0.0294061602159957,0.0107579296914737,0.0127706336944264,0.008328761777138,0.0106623529847821,0.00194008651301848,0.016783495285806
ENSMFAG00000039131,CD55,-0.402075758235259,-0.405053614704628,-0.435156423332852,-0.43811619688358,-0.461106274202306,-0.435187946468438,-0.455574268735484,-0.420487083835594,0.00970277396239592,0.0120523458016359,0.00359425061993855,0.00333153926786278,0.00126634997083988,0.00389785553487244,0.00107330588674465,0.00416508628863503
ENSMFAG00000037998,RD3,-0.437645759753248,-0.425144546060658,-0.411099587979171,-0.41455822197125,-0.409649610632652,-0.40977440653952,-0.379919119566421,-0.425682727428583,0.00621625680357647,0.0102192902688266,0.00436710958928809,0.00484959952602194,0.00260581304610562,0.00533869860211975,0.00323306681131285,0.00407677128083624
ENSMFAG00000039946,SLC30A1,0.328602452696735,0.317666068927918,0.333767918512434,0.33142051457069,0.345412854588949,0.345615844397883,0.327803806706082,0.334722556286563,0.0271925498250738,0.0324973374645151,0.0146868384346892,0.0169450202288718,0.00925661524307116,0.0134585255697248,0.0108769414326108,0.015479117821058
ENSMFAG00000037316,C1orf115,0.357786547629643,0.343026411009061,0.343312615070253,0.333940722766792,0.348838412053557,0.303822111006119,0.329622512881066,0.357579093910626,0.0176519436263016,0.0235974534110451,0.0121768037848417,0.0160093695105975,0.0085185339518806,0.0299176066059479,0.0103767059880935,0.0102153921306146
ENSMFAG00000035398,STUM,0.325277043352983,0.334489774046863,0.374683596601816,0.364737973598651,0.392237850999702,0.362545848012469,0.417351576030156,0.368060115909553,0.0286482664506715,0.0259927914547417,0.00715313402636332,0.00967116433261363,0.00354779220905417,0.0101153520005299,0.00150977439093755,0.00870935196885233
ENSMFAG00000044667,NR1I3,0.348284608997612,0.320433516175879,0.332846682696213,0.320629592191822,0.334777862389106,0.332272096690586,0.315282942274515,0.353607503241528,0.0203672350471452,0.0317423124043715,0.0149270002446693,0.020908010085936,0.0118459620723015,0.0169969775349127,0.0145136657355306,0.010970930800134
ENSMFAG00000000375,ADAMTS4,-0.325086160465226,-0.312946617560099,-0.358590130351197,-0.341680878063204,-0.377512633193103,-0.341763135108499,-0.376841688304086,-0.358661809246952,0.0287915889970872,0.0348892598190526,0.00922515347413089,0.0139066041564314,0.00460206560413644,0.0144433361804427,0.00348260728870798,0.00997625802601989
ENSMFAG00000036621,IGSF8,0.311659647426797,0.335219176576246,0.34553935159208,0.356168875165555,0.368557900343049,0.341808627246797,0.376282526088847,0.315579606868937,0.0365503481601907,0.0258569205106213,0.0116702106681756,0.0110302027673705,0.00546709320525301,0.0144433361804427,0.00352549573714976,0.0233299942776094
ENSMFAG00000040025,TAGLN2,-0.313899984359433,-0.305206065840217,-0.324885997439214,-0.310780205200412,-0.329159155644396,-0.312036106625905,-0.336938038075705,-0.345768880174691,0.0350378008932856,0.0395889007958521,0.0176340799260724,0.0256873957297643,0.0133816798938608,0.0253387401918024,0.00871642222612303,0.0124887142368327
ENSMFAG00000036444,HAPLN2,-0.376237392101971,-0.364898365084933,-0.402299114117072,-0.386539195197034,-0.421037786999874,-0.381002279087848,-0.416901855320174,-0.405234966205946,0.0135366767010101,0.0181675085145476,0.00491091097376289,0.00694085699355744,0.00214748558456414,0.00739620333351978,0.00150977439093755,0.00468904280675455
ENSMFAG00000034196,PKLR,0.300791606190909,0.301907996242092,0.34135802353773,0.325856310411073,0.356354049847826,0.325416335931526,0.379251209236745,0.34193567289936,0.0433871042118385,0.0421513825674116,0.0127293360080662,0.0188637926671363,0.00704429884345364,0.0192300176867174,0.00327316127113986,0.0132595063777265
ENSMFAG00000041110,EFNA1,-0.470952087193553,-0.474358410478911,-0.504446012308872,-0.503624358789257,-0.529944635259122,-0.502609967089642,-0.543675520869301,-0.510584418242353,0.00350848937027084,0.00763957381952836,0.00195938251203794,0.00171691682496292,0.000561339223648449,0.00255041052396858,0.000204911858621989,0.00118953679744514
ENSMFAG00000034487,TPM3,0.349823164159451,0.356959978879583,0.387666508257593,0.385677415448753,0.402718946368835,0.380710148507725,0.424774415567488,0.381238792593199,0.020215471735853,0.0197697116964416,0.00584636830051118,0.00703812076268371,0.00289054378562001,0.00747348824934579,0.00136543120434327,0.00700266932783447
ENSMFAG00000036337,CDC42SE1,-0.345140702428729,-0.332523065785136,-0.352113492587601,-0.34447454182104,-0.354721441715669,-0.33832467574019,-0.348916417931884,-0.368807418043008,0.0212981549110169,0.0265047239415273,0.0105015513610462,0.0134855317247405,0.00734409640478854,0.0151400925349131,0.00649048084981534,0.00865226943060681
ENSMFAG00000039644,MINDY1,-0.312960319388558,-0.312808325652857,-0.351515135626728,-0.34435525804307,-0.374660192608548,-0.343906994558276,-0.39105348414051,-0.343515003987527,0.0357170525477197,0.0349479874149089,0.0106335857289061,0.0134855317247405,0.00482482396920498,0.013765527446929,0.00249480164506409,0.0129725176390043
ENSMFAG00000038604,CERS2,-0.373438922388747,-0.358967419562361,-0.383525330974903,-0.371831984928994,-0.397021203291581,-0.372525492245086,-0.392699531136223,-0.382333558477104,0.0140842565678575,0.0197673751555277,0.00633012295641881,0.00853781938157746,0.00321379925546257,0.00848601295488194,0.00245450457908571,0.00683916768930636
ENSMFAG00000040977,CA14,-0.356822320743951,-0.347555017996293,-0.384455215859221,-0.371641620663669,-0.404688293320524,-0.372499160110687,-0.408424731908935,-0.379291745621858,0.0179032187483185,0.0222238948413968,0.00621805643028683,0.00859100710864067,0.00285007200262508,0.00848601295488194,0.00177315614993392,0.00728609637196469
ENSMFAG00000031699,MTMR11,-0.359293841403781,-0.342364988258278,-0.337250909169739,-0.347624619102538,-0.348076736113676,-0.336400554085895,-0.314664324710087,-0.351714504178415,0.0172649391537295,0.0237895776082706,0.0137396673878244,0.0129022713609121,0.00869465453098872,0.0156422304977152,0.0147076014634276,0.0112555514024416
ENSMFAG00000030326,HIST2H3D,-0.343847064519306,-0.349488954038129,-0.362339801832133,-0.374717593614262,-0.383460543209926,-0.382387139272511,-0.376314111714112,-0.370669171393536,0.0217532377317531,0.0218467399881274,0.00876311196405102,0.00798639546218061,0.00412774337405479,0.00723329181376352,0.00352421414523756,0.00850875615815546
ENSMFAG00000029554,RF00003,-0.33765207060391,-0.34300479195866,-0.34896756893999,-0.38200346012547,-0.389169073253115,-0.362413179516706,-0.368259840574197,-0.369722846838558,0.0236317818174284,0.0235974534110451,0.0110700031424953,0.00745600886310454,0.00367096476000309,0.0101219627433784,0.00414486010645727,0.00858648912148499
ENSMFAG00000046287,ACP6,-0.339166099896817,-0.345465938117344,-0.368129395935157,-0.371943477742589,-0.390431719350116,-0.37068662994864,-0.403890757058354,-0.368293348445755,0.0229947774835876,0.022624171669364,0.00793695642633685,0.00851404015677961,0.0036433938455302,0.00867804840624493,0.00195333649830347,0.00870825265107414
ENSMFAG00000046327,TXNIP,-0.362584104214023,-0.344918210737127,-0.33593094218608,-0.331561364445932,-0.335419876936997,-0.341407760365923,-0.321630630958698,-0.330862116378442,0.016701803178982,0.0227918326091204,0.0141281963512172,0.016911910638563,0.0117255064685176,0.0145197632915788,0.0125497845506158,0.0166855618793193
ENSMFAG00000042672,SLC22A15,-0.321731383064845,-0.313937414741168,-0.34111985199439,-0.343636750954661,-0.36378528748946,-0.319447228545747,-0.343777273246521,-0.344519196575202,0.0304753813861461,0.0344336176451078,0.0127934085876869,0.0136190132307235,0.00599849669104609,0.0216157443241937,0.0073995254733415,0.0127188609860111
ENSMFAG00000044411,DRAM2,-0.370670473894949,-0.379497369567647,-0.403929320197341,-0.400904253144791,-0.428099959466083,-0.412523613224665,-0.44534049386186,-0.380225593253274,0.0147900784240596,0.0144746826639718,0.00467627524805175,0.00568028830824645,0.00195257568598686,0.00510998826451847,0.00113406659720671,0.00711840334469718
