Gene.stable.ID,Gene.name,Gene.type_ensembl,Gene.type_Fig2B
ENSMFAG00000046933,ENSMFAG00000046933,lincRNA,lincRNA
ENSMFAG00000046581,ENSMFAG00000046581,lincRNA,lincRNA
ENSMFAG00000001427,TENM3,protein_coding,protein_coding
ENSMFAG00000034653,DCTD,protein_coding,protein_coding
ENSMFAG00000033741,WWC2,protein_coding,protein_coding
ENSMFAG00000012673,CLDN22,protein_coding,protein_coding
ENSMFAG00000008066,CLDN24,protein_coding,protein_coding
ENSMFAG00000014029,RF01210,snoRNA,smallRNA
ENSMFAG00000046173,CDKN2AIP,protein_coding,protein_coding
ENSMFAG00000005946,ENSMFAG00000005946,protein_coding,protein_coding
ENSMFAG00000032816,ING2,protein_coding,protein_coding
ENSMFAG00000000543,RWDD4,protein_coding,protein_coding
ENSMFAG00000006965,RF00026,snRNA,smallRNA
ENSMFAG00000039616,TRAPPC11,protein_coding,protein_coding
ENSMFAG00000014696,RF00026,snRNA,smallRNA
ENSMFAG00000044376,STOX2,protein_coding,protein_coding
ENSMFAG00000038701,ENPP6,protein_coding,protein_coding
ENSMFAG00000039751,IRF2,protein_coding,protein_coding
ENSMFAG00000036969,CASP3,protein_coding,protein_coding
ENSMFAG00000000469,PRIMPOL,protein_coding,protein_coding
ENSMFAG00000043328,CENPU,protein_coding,protein_coding
ENSMFAG00000033716,ACSL1,protein_coding,protein_coding
ENSMFAG00000039500,HELT,protein_coding,protein_coding
ENSMFAG00000046814,ENSMFAG00000046814,lincRNA,lincRNA
ENSMFAG00000021319,RF00019,misc_RNA,smallRNA
ENSMFAG00000032688,SLC25A4,protein_coding,protein_coding
ENSMFAG00000024810,ENSMFAG00000024810,protein_coding,protein_coding
ENSMFAG00000007379,CFAP97,protein_coding,protein_coding
ENSMFAG00000037789,SNX25,protein_coding,protein_coding
ENSMFAG00000008908,RF00017,misc_RNA,smallRNA
ENSMFAG00000003250,LRP2BP,protein_coding,protein_coding
ENSMFAG00000009441,RF00004,snRNA,smallRNA
ENSMFAG00000033324,ANKRD37,protein_coding,protein_coding
ENSMFAG00000041642,UFSP2,protein_coding,protein_coding
ENSMFAG00000006087,RF00019,misc_RNA,smallRNA
ENSMFAG00000003574,C4orf47,protein_coding,protein_coding
ENSMFAG00000038835,CCDC110,protein_coding,protein_coding
ENSMFAG00000000203,PDLIM3,protein_coding,protein_coding
ENSMFAG00000003770,SORBS2,protein_coding,protein_coding
ENSMFAG00000045977,ENSMFAG00000045977,protein_coding,protein_coding
ENSMFAG00000010238,RF00019,misc_RNA,smallRNA
ENSMFAG00000036553,ENSMFAG00000036553,protein_coding,protein_coding
ENSMFAG00000010184,RF02216,misc_RNA,smallRNA
ENSMFAG00000033832,RF02217,misc_RNA,smallRNA
ENSMFAG00000046274,TLR3,protein_coding,protein_coding
ENSMFAG00000046381,FAM149A,protein_coding,protein_coding
ENSMFAG00000040590,CYP4V2,protein_coding,protein_coding
ENSMFAG00000045445,KLKB1,protein_coding,protein_coding
ENSMFAG00000039096,MTNR1A,protein_coding,protein_coding
ENSMFAG00000034451,FAT1,protein_coding,protein_coding
ENSMFAG00000045819,ENSMFAG00000045819,protein_coding,protein_coding
ENSMFAG00000046469,ENSMFAG00000046469,lincRNA,lincRNA
ENSMFAG00000031178,FRG1,protein_coding,protein_coding
ENSMFAG00000046178,ENSMFAG00000046178,protein_coding,protein_coding
ENSMFAG00000016241,RF00001,rRNA,smallRNA
ENSMFAG00000042993,PDCD6,protein_coding,protein_coding
ENSMFAG00000029713,EXOC3,protein_coding,protein_coding
ENSMFAG00000003512,SLC9A3,protein_coding,protein_coding
ENSMFAG00000032507,CEP72,protein_coding,protein_coding
ENSMFAG00000003548,TPPP,protein_coding,protein_coding
ENSMFAG00000039221,ENSMFAG00000039221,protein_coding,protein_coding
ENSMFAG00000040715,BRD9,protein_coding,protein_coding
ENSMFAG00000003891,TRIP13,protein_coding,protein_coding
ENSMFAG00000046329,NKD2,protein_coding,protein_coding
ENSMFAG00000027549,SLC12A7,protein_coding,protein_coding
ENSMFAG00000031540,SLC6A19,protein_coding,protein_coding
ENSMFAG00000029794,SLC6A18,protein_coding,protein_coding
ENSMFAG00000033142,TERT,protein_coding,protein_coding
ENSMFAG00000039815,CLPTM1L,protein_coding,protein_coding
ENSMFAG00000017641,ENSMFAG00000017641,protein_coding,protein_coding
ENSMFAG00000003977,SLC6A3,protein_coding,protein_coding
ENSMFAG00000000537,LPCAT1,protein_coding,protein_coding
ENSMFAG00000010720,ENSMFAG00000010720,protein_coding,protein_coding
ENSMFAG00000033953,CCDC127,protein_coding,protein_coding
ENSMFAG00000041120,LRRC14B,protein_coding,protein_coding
ENSMFAG00000037259,PLEKHG4B,protein_coding,protein_coding
ENSMFAG00000047002,ENSMFAG00000047002,lincRNA,lincRNA
ENSMFAG00000044841,IRX4,protein_coding,protein_coding
ENSMFAG00000003549,IRX2,protein_coding,protein_coding
ENSMFAG00000044972,ENSMFAG00000044972,protein_coding,protein_coding
ENSMFAG00000046470,ENSMFAG00000046470,lincRNA,lincRNA
ENSMFAG00000001989,IRX1,protein_coding,protein_coding
ENSMFAG00000000579,ADAMTS16,protein_coding,protein_coding
ENSMFAG00000037172,ICE1,protein_coding,protein_coding
ENSMFAG00000036824,MED10,protein_coding,protein_coding
ENSMFAG00000036397,ENSMFAG00000036397,protein_coding,protein_coding
ENSMFAG00000045240,NSUN2,protein_coding,protein_coding
ENSMFAG00000002749,SRD5A1,protein_coding,protein_coding
ENSMFAG00000038658,TENT4A,protein_coding,protein_coding
ENSMFAG00000046521,ENSMFAG00000046521,lincRNA,lincRNA
ENSMFAG00000001655,ADCY2,protein_coding,protein_coding
ENSMFAG00000015786,ENSMFAG00000015786,protein_coding,protein_coding
ENSMFAG00000036254,C5orf49,protein_coding,protein_coding
ENSMFAG00000040312,FASTKD3,protein_coding,protein_coding
ENSMFAG00000036712,MTRR,protein_coding,protein_coding
ENSMFAG00000046544,ENSMFAG00000046544,lincRNA,lincRNA
ENSMFAG00000007000,ENSMFAG00000007000,miRNA,smallRNA
ENSMFAG00000038895,SEMA5A,protein_coding,protein_coding
ENSMFAG00000020222,RF01156,snoRNA,smallRNA
ENSMFAG00000041270,TAS2R1,protein_coding,protein_coding
ENSMFAG00000001225,ENSMFAG00000001225,protein_coding,protein_coding
ENSMFAG00000044629,ATPSCKMT,protein_coding,protein_coding
ENSMFAG00000045954,CCT5,protein_coding,protein_coding
ENSMFAG00000001594,CMBL,protein_coding,protein_coding
ENSMFAG00000014214,RF00019,misc_RNA,smallRNA
ENSMFAG00000002411,2021-03-06 00:00:00,protein_coding,protein_coding
ENSMFAG00000000471,ROPN1L,protein_coding,protein_coding
ENSMFAG00000046859,ENSMFAG00000046859,lincRNA,lincRNA
ENSMFAG00000037077,ANKRD33B,protein_coding,protein_coding
ENSMFAG00000036456,DAP,protein_coding,protein_coding
ENSMFAG00000044186,CTNND2,protein_coding,protein_coding
ENSMFAG00000041298,ENSMFAG00000041298,protein_coding,protein_coding
ENSMFAG00000046807,ENSMFAG00000046807,lincRNA,lincRNA
ENSMFAG00000001076,DNAH5,protein_coding,protein_coding
ENSMFAG00000035974,TRIO,protein_coding,protein_coding
ENSMFAG00000037715,OTULINL,protein_coding,protein_coding
ENSMFAG00000002791,ENSMFAG00000002791,protein_coding,protein_coding
ENSMFAG00000037873,OTULIN,protein_coding,protein_coding
ENSMFAG00000038859,ANKH,protein_coding,protein_coding
ENSMFAG00000042610,ENSMFAG00000042610,protein_coding,protein_coding
ENSMFAG00000036008,ENSMFAG00000036008,miRNA,smallRNA
ENSMFAG00000000432,FBXL7,protein_coding,protein_coding
ENSMFAG00000005908,MIR887,miRNA,smallRNA
ENSMFAG00000039728,2021-03-11 00:00:00,protein_coding,protein_coding
ENSMFAG00000008517,ENSMFAG00000008517,miRNA,smallRNA
ENSMFAG00000034147,ZNF622,protein_coding,protein_coding
ENSMFAG00000015961,RETREG1,protein_coding,protein_coding
ENSMFAG00000044958,MYO10,protein_coding,protein_coding
ENSMFAG00000013328,RF00019,misc_RNA,smallRNA
ENSMFAG00000010907,RF00001,rRNA,smallRNA
ENSMFAG00000011962,RF00026,snRNA,smallRNA
ENSMFAG00000030166,BASP1,protein_coding,protein_coding
ENSMFAG00000030594,ENSMFAG00000030594,protein_coding,protein_coding
ENSMFAG00000030146,ENSMFAG00000030146,protein_coding,protein_coding
ENSMFAG00000020122,RF00136,snoRNA,smallRNA
ENSMFAG00000030294,CDH18,protein_coding,protein_coding
ENSMFAG00000035100,ENSMFAG00000035100,protein_coding,protein_coding
ENSMFAG00000016864,ENSMFAG00000016864,protein_coding,protein_coding
ENSMFAG00000030271,CDH12,protein_coding,protein_coding
ENSMFAG00000036836,ENSMFAG00000036836,protein_coding,protein_coding
ENSMFAG00000001810,CDH10,protein_coding,protein_coding
ENSMFAG00000042984,ENSMFAG00000042984,protein_coding,protein_coding
ENSMFAG00000001139,CDH9,protein_coding,protein_coding
ENSMFAG00000001830,CDH6,protein_coding,protein_coding
ENSMFAG00000014325,ENSMFAG00000014325,protein_coding,protein_coding
ENSMFAG00000003055,DROSHA,protein_coding,protein_coding
ENSMFAG00000045928,ENSMFAG00000045928,protein_coding,protein_coding
ENSMFAG00000031021,C6H5orf22,protein_coding,protein_coding
ENSMFAG00000029175,ENSMFAG00000029175,protein_coding,protein_coding
ENSMFAG00000001834,PDZD2,protein_coding,protein_coding
ENSMFAG00000045311,GOLPH3,protein_coding,protein_coding
ENSMFAG00000037827,MTMR12,protein_coding,protein_coding
ENSMFAG00000004263,RF00026,snRNA,smallRNA
ENSMFAG00000042691,ZFR,protein_coding,protein_coding
ENSMFAG00000018154,MIR579,miRNA,smallRNA
ENSMFAG00000037706,ENSMFAG00000037706,protein_coding,protein_coding
ENSMFAG00000040728,SUB1,protein_coding,protein_coding
ENSMFAG00000043552,NPR3,protein_coding,protein_coding
ENSMFAG00000046717,ENSMFAG00000046717,lincRNA,lincRNA
ENSMFAG00000043658,TARS,protein_coding,protein_coding
ENSMFAG00000042081,ADAMTS12,protein_coding,protein_coding
ENSMFAG00000028692,RXFP3,protein_coding,protein_coding
ENSMFAG00000003969,SLC45A2,protein_coding,protein_coding
ENSMFAG00000032307,AMACR,protein_coding,protein_coding
ENSMFAG00000002948,ENSMFAG00000002948,protein_coding,protein_coding
ENSMFAG00000043837,RAI14,protein_coding,protein_coding
ENSMFAG00000001932,TTC23L,protein_coding,protein_coding
ENSMFAG00000012657,RAD1,protein_coding,protein_coding
ENSMFAG00000033107,BRIX1,protein_coding,protein_coding
ENSMFAG00000001345,DNAJC21,protein_coding,protein_coding
ENSMFAG00000008088,ENSMFAG00000008088,miRNA,smallRNA
ENSMFAG00000001767,AGXT2,protein_coding,protein_coding
ENSMFAG00000039749,PRLR,protein_coding,protein_coding
ENSMFAG00000036146,SPEF2,protein_coding,protein_coding
ENSMFAG00000040996,IL7R,protein_coding,protein_coding
ENSMFAG00000002782,CAPSL,protein_coding,protein_coding
ENSMFAG00000034336,UGT3A1,protein_coding,protein_coding
ENSMFAG00000024650,ENSMFAG00000024650,protein_coding,protein_coding
ENSMFAG00000003540,LMBRD2,protein_coding,protein_coding
ENSMFAG00000044438,ENSMFAG00000044438,protein_coding,protein_coding
ENSMFAG00000007454,ENSMFAG00000007454,miRNA,smallRNA
ENSMFAG00000030476,SKP2,protein_coding,protein_coding
ENSMFAG00000005534,RF00026,snRNA,smallRNA
ENSMFAG00000039756,NADK2,protein_coding,protein_coding
ENSMFAG00000014218,RANBP3L,protein_coding,protein_coding
ENSMFAG00000024693,SLC1A3,protein_coding,protein_coding
ENSMFAG00000041940,NIPBL,protein_coding,protein_coding
ENSMFAG00000017373,ENSMFAG00000017373,protein_coding,protein_coding
ENSMFAG00000036182,CPLANE1,protein_coding,protein_coding
ENSMFAG00000043653,ENSMFAG00000043653,protein_coding,protein_coding
ENSMFAG00000037719,ENSMFAG00000037719,protein_coding,protein_coding
ENSMFAG00000012144,RF00017,misc_RNA,smallRNA
ENSMFAG00000040363,NUP155,protein_coding,protein_coding
