Gene.stable.ID,Gene.name,Gene.type_ensembl,Gene.type_Fig2B
ENSMFAG00000035325,IL6ST,protein_coding,protein_coding
ENSMFAG00000031576,ANKRD55,protein_coding,protein_coding
ENSMFAG00000005345,RF00001,rRNA,smallRNA
ENSMFAG00000002738,C5orf67,protein_coding,protein_coding
ENSMFAG00000014401,MAP3K1,protein_coding,protein_coding
ENSMFAG00000036063,SETD9,protein_coding,protein_coding
ENSMFAG00000042794,MIER3,protein_coding,protein_coding
ENSMFAG00000000066,GPBP1,protein_coding,protein_coding
ENSMFAG00000037565,ENSMFAG00000037565,protein_coding,protein_coding
ENSMFAG00000016475,ACTBL2,protein_coding,protein_coding
ENSMFAG00000001077,PLK2,protein_coding,protein_coding
ENSMFAG00000002574,RAB3C,protein_coding,protein_coding
ENSMFAG00000021460,ENSMFAG00000021460,protein_coding,protein_coding
ENSMFAG00000041776,PDE4D,protein_coding,protein_coding
ENSMFAG00000044950,ENSMFAG00000044950,protein_coding,protein_coding
ENSMFAG00000009416,MIR582,miRNA,smallRNA
ENSMFAG00000014228,RF00026,snRNA,smallRNA
ENSMFAG00000042582,ENSMFAG00000042582,protein_coding,protein_coding
ENSMFAG00000022495,RF02159,misc_RNA,smallRNA
ENSMFAG00000018171,RF02160,misc_RNA,smallRNA
ENSMFAG00000019214,RF02161,misc_RNA,smallRNA
ENSMFAG00000032556,DEPDC1B,protein_coding,protein_coding
ENSMFAG00000004584,ENSMFAG00000004584,miRNA,smallRNA
ENSMFAG00000037893,ELOVL7,protein_coding,protein_coding
ENSMFAG00000030764,ENSMFAG00000030764,protein_coding,protein_coding
ENSMFAG00000039105,ENSMFAG00000039105,protein_coding,protein_coding
ENSMFAG00000037556,ERCC8,protein_coding,protein_coding
ENSMFAG00000046065,ENSMFAG00000046065,protein_coding,protein_coding
ENSMFAG00000003670,NDUFAF2,protein_coding,protein_coding
ENSMFAG00000018925,SMIM15,protein_coding,protein_coding
ENSMFAG00000032002,ENSMFAG00000032002,protein_coding,protein_coding
ENSMFAG00000044175,ZSWIM6,protein_coding,protein_coding
ENSMFAG00000046710,ENSMFAG00000046710,lincRNA,lincRNA
ENSMFAG00000001362,KIF2A,protein_coding,protein_coding
ENSMFAG00000033475,DIMT1,protein_coding,protein_coding
ENSMFAG00000035631,IPO11,protein_coding,protein_coding
ENSMFAG00000012086,RF00026,snRNA,smallRNA
ENSMFAG00000003302,ENSMFAG00000003302,protein_coding,protein_coding
ENSMFAG00000046458,ENSMFAG00000046458,lincRNA,lincRNA
ENSMFAG00000045860,ENSMFAG00000045860,protein_coding,protein_coding
ENSMFAG00000030405,ENSMFAG00000030405,protein_coding,protein_coding
ENSMFAG00000015230,HTR1A,protein_coding,protein_coding
ENSMFAG00000038517,RNF180,protein_coding,protein_coding
ENSMFAG00000045140,RGS7BP,protein_coding,protein_coding
ENSMFAG00000013616,RF00017,misc_RNA,smallRNA
ENSMFAG00000005092,RF00026,snRNA,smallRNA
ENSMFAG00000042775,SHISAL2B,protein_coding,protein_coding
ENSMFAG00000008308,SREK1IP1,protein_coding,protein_coding
ENSMFAG00000027257,CWC27,protein_coding,protein_coding
ENSMFAG00000040449,ENSMFAG00000040449,protein_coding,protein_coding
ENSMFAG00000030204,ADAMTS6,protein_coding,protein_coding
ENSMFAG00000037278,CENPK,protein_coding,protein_coding
ENSMFAG00000038527,PPWD1,protein_coding,protein_coding
ENSMFAG00000000263,TRIM23,protein_coding,protein_coding
ENSMFAG00000009892,ENSMFAG00000009892,miRNA,smallRNA
ENSMFAG00000004897,RF00026,snRNA,smallRNA
ENSMFAG00000042886,TRAPPC13,protein_coding,protein_coding
ENSMFAG00000043797,SGTB,protein_coding,protein_coding
ENSMFAG00000031704,NLN,protein_coding,protein_coding
ENSMFAG00000013044,ENSMFAG00000013044,protein_coding,protein_coding
ENSMFAG00000035567,ENSMFAG00000035567,protein_coding,protein_coding
ENSMFAG00000032301,ERBIN,protein_coding,protein_coding
ENSMFAG00000039823,SREK1,protein_coding,protein_coding
ENSMFAG00000044513,ENSMFAG00000044513,protein_coding,protein_coding
ENSMFAG00000044380,ENSMFAG00000044380,protein_coding,protein_coding
ENSMFAG00000033959,MAST4,protein_coding,protein_coding
ENSMFAG00000036561,ENSMFAG00000036561,pseudogene,pseudogene
ENSMFAG00000044511,CD180,protein_coding,protein_coding
ENSMFAG00000046579,ENSMFAG00000046579,lincRNA,lincRNA
ENSMFAG00000045395,PIK3R1,protein_coding,protein_coding
ENSMFAG00000046935,ENSMFAG00000046935,lincRNA,lincRNA
ENSMFAG00000012883,RF00100,misc_RNA,smallRNA
ENSMFAG00000031032,ENSMFAG00000031032,protein_coding,protein_coding
ENSMFAG00000036926,SLC30A5,protein_coding,protein_coding
ENSMFAG00000023158,RF00598,snoRNA,smallRNA
ENSMFAG00000041544,CCNB1,protein_coding,protein_coding
ENSMFAG00000003204,CENPH,protein_coding,protein_coding
ENSMFAG00000034129,ENSMFAG00000034129,protein_coding,protein_coding
ENSMFAG00000001451,CDK7,protein_coding,protein_coding
ENSMFAG00000045527,ENSMFAG00000045527,protein_coding,protein_coding
ENSMFAG00000046690,ENSMFAG00000046690,lincRNA,lincRNA
ENSMFAG00000039708,AK6,protein_coding,protein_coding
ENSMFAG00000031075,RAD17,protein_coding,protein_coding
ENSMFAG00000044604,MARVELD2,protein_coding,protein_coding
ENSMFAG00000034647,OCLN,protein_coding,protein_coding
ENSMFAG00000035400,ENSMFAG00000035400,protein_coding,protein_coding
ENSMFAG00000039341,NAIP,protein_coding,protein_coding
ENSMFAG00000031523,SMN1,protein_coding,protein_coding
ENSMFAG00000041440,BDP1,protein_coding,protein_coding
ENSMFAG00000016632,RF00019,misc_RNA,smallRNA
ENSMFAG00000001283,MCCC2,protein_coding,protein_coding
ENSMFAG00000035639,CARTPT,protein_coding,protein_coding
ENSMFAG00000044363,MAP1B,protein_coding,protein_coding
ENSMFAG00000030039,MRPS27,protein_coding,protein_coding
ENSMFAG00000014592,RF00017,misc_RNA,smallRNA
ENSMFAG00000031516,PTCD2,protein_coding,protein_coding
ENSMFAG00000001780,ZNF366,protein_coding,protein_coding
ENSMFAG00000003636,TNPO1,protein_coding,protein_coding
ENSMFAG00000030926,FCHO2,protein_coding,protein_coding
ENSMFAG00000044605,ENSMFAG00000044605,protein_coding,protein_coding
ENSMFAG00000036360,ENSMFAG00000036360,protein_coding,protein_coding
ENSMFAG00000032334,TMEM171,protein_coding,protein_coding
ENSMFAG00000002335,TMEM174,protein_coding,protein_coding
ENSMFAG00000046925,ENSMFAG00000046925,lincRNA,lincRNA
ENSMFAG00000017802,ENSMFAG00000017802,protein_coding,protein_coding
ENSMFAG00000034195,ENSMFAG00000034195,protein_coding,protein_coding
ENSMFAG00000000594,BTF3,protein_coding,protein_coding
ENSMFAG00000043204,ANKRA2,protein_coding,protein_coding
ENSMFAG00000031908,UTP15,protein_coding,protein_coding
ENSMFAG00000043970,ARHGEF28,protein_coding,protein_coding
ENSMFAG00000030568,ENC1,protein_coding,protein_coding
ENSMFAG00000003959,HEXB,protein_coding,protein_coding
ENSMFAG00000039713,GFM2,protein_coding,protein_coding
ENSMFAG00000008550,RF00026,snRNA,smallRNA
ENSMFAG00000038283,NSA2,protein_coding,protein_coding
ENSMFAG00000001548,FAM169A,protein_coding,protein_coding
ENSMFAG00000010210,RF00026,snRNA,smallRNA
ENSMFAG00000000755,ENSMFAG00000000755,protein_coding,protein_coding
ENSMFAG00000030447,ENSMFAG00000030447,protein_coding,protein_coding
ENSMFAG00000005546,GCNT4,protein_coding,protein_coding
ENSMFAG00000044070,ANKRD31,protein_coding,protein_coding
ENSMFAG00000036118,HMGCR,protein_coding,protein_coding
ENSMFAG00000030820,COL4A3BP,protein_coding,protein_coding
ENSMFAG00000043179,POLK,protein_coding,protein_coding
ENSMFAG00000030403,ENSMFAG00000030403,protein_coding,protein_coding
ENSMFAG00000043627,ANKDD1B,protein_coding,protein_coding
ENSMFAG00000046231,POC5,protein_coding,protein_coding
ENSMFAG00000041199,ENSMFAG00000041199,protein_coding,protein_coding
ENSMFAG00000005446,RF00026,snRNA,smallRNA
ENSMFAG00000036123,SV2C,protein_coding,protein_coding
ENSMFAG00000035806,ENSMFAG00000035806,protein_coding,protein_coding
ENSMFAG00000032362,IQGAP2,protein_coding,protein_coding
ENSMFAG00000045908,F2RL2,protein_coding,protein_coding
ENSMFAG00000044734,F2R,protein_coding,protein_coding
ENSMFAG00000037697,F2RL1,protein_coding,protein_coding
ENSMFAG00000041775,CRHBP,protein_coding,protein_coding
ENSMFAG00000038062,ENSMFAG00000038062,protein_coding,protein_coding
ENSMFAG00000004214,RF01234,snoRNA,smallRNA
ENSMFAG00000016702,ENSMFAG00000016702,protein_coding,protein_coding
ENSMFAG00000016729,ENSMFAG00000016729,protein_coding,protein_coding
ENSMFAG00000041903,ENSMFAG00000041903,protein_coding,protein_coding
ENSMFAG00000040282,ENSMFAG00000040282,protein_coding,protein_coding
ENSMFAG00000002206,WDR41,protein_coding,protein_coding
ENSMFAG00000046341,OTP,protein_coding,protein_coding
ENSMFAG00000034059,TBCA,protein_coding,protein_coding
ENSMFAG00000040032,AP3B1,protein_coding,protein_coding
ENSMFAG00000037897,SCAMP1,protein_coding,protein_coding
ENSMFAG00000036894,LHFPL2,protein_coding,protein_coding
ENSMFAG00000038907,ARSB,protein_coding,protein_coding
ENSMFAG00000024245,DMGDH,protein_coding,protein_coding
ENSMFAG00000045957,BHMT2,protein_coding,protein_coding
ENSMFAG00000030260,BHMT,protein_coding,protein_coding
ENSMFAG00000004219,RF00019,misc_RNA,smallRNA
ENSMFAG00000044839,JMY,protein_coding,protein_coding
ENSMFAG00000032864,ENSMFAG00000032864,pseudogene,pseudogene
ENSMFAG00000001163,ENSMFAG00000001163,protein_coding,protein_coding
ENSMFAG00000001337,HOMER1,protein_coding,protein_coding
ENSMFAG00000010477,RF00026,snRNA,smallRNA
ENSMFAG00000008454,RF00019,misc_RNA,smallRNA
ENSMFAG00000039561,TENT2,protein_coding,protein_coding
ENSMFAG00000000649,CMYA5,protein_coding,protein_coding
ENSMFAG00000046999,ENSMFAG00000046999,lincRNA,lincRNA
ENSMFAG00000003503,MTX3,protein_coding,protein_coding
ENSMFAG00000033394,THBS4,protein_coding,protein_coding
ENSMFAG00000046004,SERINC5,protein_coding,protein_coding
ENSMFAG00000039223,ZFYVE16,protein_coding,protein_coding
ENSMFAG00000042443,FAM151B,protein_coding,protein_coding
ENSMFAG00000028467,ENSMFAG00000028467,protein_coding,protein_coding
ENSMFAG00000028493,ANKRD34B,protein_coding,protein_coding
ENSMFAG00000045536,ENSMFAG00000045536,protein_coding,protein_coding
ENSMFAG00000043794,MSH3,protein_coding,protein_coding
ENSMFAG00000023292,RF00003,snRNA,smallRNA
ENSMFAG00000003054,RASGRF2,protein_coding,protein_coding
ENSMFAG00000000490,CKMT2,protein_coding,protein_coding
ENSMFAG00000001943,ZCCHC9,protein_coding,protein_coding
ENSMFAG00000000202,ACOT12,protein_coding,protein_coding
ENSMFAG00000044245,SSBP2,protein_coding,protein_coding
ENSMFAG00000046714,ENSMFAG00000046714,lincRNA,lincRNA
ENSMFAG00000031807,ATG10,protein_coding,protein_coding
ENSMFAG00000024133,RF00017,misc_RNA,smallRNA
ENSMFAG00000046092,RPS23,protein_coding,protein_coding
ENSMFAG00000045507,ATP6AP1L,protein_coding,protein_coding
ENSMFAG00000034973,ENSMFAG00000034973,miRNA,smallRNA
ENSMFAG00000030373,ENSMFAG00000030373,protein_coding,protein_coding
ENSMFAG00000040978,TMEM167A,protein_coding,protein_coding
ENSMFAG00000005242,RF01233,snoRNA,smallRNA
ENSMFAG00000013259,XRCC4,protein_coding,protein_coding
ENSMFAG00000032675,VCAN,protein_coding,protein_coding
ENSMFAG00000036339,ENSMFAG00000036339,protein_coding,protein_coding
ENSMFAG00000043363,HAPLN1,protein_coding,protein_coding
ENSMFAG00000039875,EDIL3,protein_coding,protein_coding
ENSMFAG00000014363,ENSMFAG00000014363,protein_coding,protein_coding
ENSMFAG00000035190,ENSMFAG00000035190,protein_coding,protein_coding
ENSMFAG00000022142,RF00341,snoRNA,smallRNA
ENSMFAG00000012715,ENSMFAG00000012715,miRNA,smallRNA
ENSMFAG00000037698,RASA1,protein_coding,protein_coding
ENSMFAG00000023865,RF00017,misc_RNA,smallRNA
ENSMFAG00000009421,RF00026,snRNA,smallRNA
ENSMFAG00000008721,CCNH,protein_coding,protein_coding
ENSMFAG00000046629,ENSMFAG00000046629,lincRNA,lincRNA
ENSMFAG00000043023,TMEM161B,protein_coding,protein_coding
ENSMFAG00000014912,RF00156,snoRNA,smallRNA
ENSMFAG00000015015,MIR9-2,miRNA,smallRNA
ENSMFAG00000044479,MEF2C,protein_coding,protein_coding
ENSMFAG00000046908,ENSMFAG00000046908,lincRNA,lincRNA
ENSMFAG00000047033,ENSMFAG00000047033,lincRNA,lincRNA
ENSMFAG00000011969,ENSMFAG00000011969,miRNA,smallRNA
ENSMFAG00000036901,CETN3,protein_coding,protein_coding
ENSMFAG00000001314,MBLAC2,protein_coding,protein_coding
ENSMFAG00000028791,POLR3G,protein_coding,protein_coding
ENSMFAG00000034572,LYSMD3,protein_coding,protein_coding
ENSMFAG00000032687,ADGRV1,protein_coding,protein_coding
ENSMFAG00000029168,ENSMFAG00000029168,protein_coding,protein_coding
ENSMFAG00000031762,ARRDC3,protein_coding,protein_coding
ENSMFAG00000030861,ENSMFAG00000030861,protein_coding,protein_coding
ENSMFAG00000046959,ENSMFAG00000046959,lincRNA,lincRNA
ENSMFAG00000046899,ENSMFAG00000046899,lincRNA,lincRNA
ENSMFAG00000009611,ENSMFAG00000009611,protein_coding,protein_coding
ENSMFAG00000032506,ENSMFAG00000032506,protein_coding,protein_coding
ENSMFAG00000042083,NR2F1,protein_coding,protein_coding
ENSMFAG00000001171,FAM172A,protein_coding,protein_coding
ENSMFAG00000037289,ENSMFAG00000037289,protein_coding,protein_coding
ENSMFAG00000028903,SLF1,protein_coding,protein_coding
ENSMFAG00000039485,MCTP1,protein_coding,protein_coding
ENSMFAG00000006180,RF02271,misc_RNA,smallRNA
ENSMFAG00000034611,ENSMFAG00000034611,protein_coding,protein_coding
ENSMFAG00000045306,FAM81B,protein_coding,protein_coding
ENSMFAG00000021733,ENSMFAG00000021733,protein_coding,protein_coding
ENSMFAG00000040876,TTC37,protein_coding,protein_coding
ENSMFAG00000035630,ARSK,protein_coding,protein_coding
ENSMFAG00000041690,GPR150,protein_coding,protein_coding
ENSMFAG00000037560,RFESD,protein_coding,protein_coding
ENSMFAG00000028795,SPATA9,protein_coding,protein_coding
ENSMFAG00000043608,RHOBTB3,protein_coding,protein_coding
ENSMFAG00000039086,GLRX,protein_coding,protein_coding
ENSMFAG00000041149,ELL2,protein_coding,protein_coding
ENSMFAG00000013896,MIR583,miRNA,smallRNA
ENSMFAG00000031240,ENSMFAG00000031240,protein_coding,protein_coding
ENSMFAG00000032984,PCSK1,protein_coding,protein_coding
ENSMFAG00000033350,CAST,protein_coding,protein_coding
ENSMFAG00000043440,ERAP1,protein_coding,protein_coding
ENSMFAG00000031043,ERAP2,protein_coding,protein_coding
ENSMFAG00000038731,LNPEP,protein_coding,protein_coding
ENSMFAG00000001326,LIX1,protein_coding,protein_coding
ENSMFAG00000033056,RIOK2,protein_coding,protein_coding
ENSMFAG00000029273,RF00003,snRNA,smallRNA
ENSMFAG00000000716,ENSMFAG00000000716,protein_coding,protein_coding
ENSMFAG00000040640,ENSMFAG00000040640,protein_coding,protein_coding
ENSMFAG00000002204,RGMB,protein_coding,protein_coding
ENSMFAG00000045850,ENSMFAG00000045850,protein_coding,protein_coding
ENSMFAG00000031226,CHD1,protein_coding,protein_coding
ENSMFAG00000004235,RF00026,snRNA,smallRNA
ENSMFAG00000032676,FAM174A,protein_coding,protein_coding
ENSMFAG00000033174,ST8SIA4,protein_coding,protein_coding
ENSMFAG00000039934,ENSMFAG00000039934,protein_coding,protein_coding
ENSMFAG00000046713,ENSMFAG00000046713,lincRNA,lincRNA
ENSMFAG00000046265,SLCO4C1,protein_coding,protein_coding
ENSMFAG00000039771,SLCO6A1,protein_coding,protein_coding
ENSMFAG00000033664,PAM,protein_coding,protein_coding
ENSMFAG00000043128,ENSMFAG00000043128,protein_coding,protein_coding
ENSMFAG00000033277,GIN1,protein_coding,protein_coding
ENSMFAG00000031770,PPIP5K2,protein_coding,protein_coding
ENSMFAG00000030345,C5orf30,protein_coding,protein_coding
ENSMFAG00000034456,NUDT12,protein_coding,protein_coding
