Region,roi173,NeocortexRegion,Lobe,002,034,067,079,92,qbt,xq,xz,zs,RIN,total_reads,uniquely_mapped,uniquely_mapped_percent,TOTAL_READS,PF_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PF_BASES,PF_ALIGNED_BASES.1,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,WINDOW_SIZE,TOTAL_CLUSTERS,ALIGNED_READS,AT_DROPOUT,GC_DROPOUT,Full_name,Dictionary_lobe,Regional_map
24b,24b,Yes,Cingulate,0,2,0,0,0,0,0,1,0,8.0,52597802.3333333,45600395.6666667,86.75,96570955.0,96570955.0,95863830.0,0.993203,13586683962.6667,91153832.0,12931166192.3333,12688561559.0,0.0054636666666666,0.005411,0.0002673333333333,95813704.6666667,0.999461333333333,0,0.500012,0.005978,13795305943.0,13586683962.6667,3960496555.0,1330664657.0,4212708130.66667,4082753174.0,0,35470979.3333333,882522.666666667,29.5925333333333,9.82133333333333,30.3025333333333,30.2831666666667,39.4139,38.8978666666667,97.3607666666667,0.366667333333333,0.662568666666667,0.699287666666667,0.895414333333333,100,52042128.3333333,103338342.666667,32.0590496666667,0.0079076666666666,"anterior cingulate cortex,area 24b",Cingulate,CCa
24b',24b',Yes,Cingulate,0,0,0,1,0,0,2,0,0,8.1,59792138.0,45782696.6666667,79.27,101963011.333333,101963011.333333,98607584.6666667,0.968439333333333,13533382491.0,91464031.6666667,12549414130.6667,12229402302.0,0.0066466666666666,0.006685,0.0002216666666666,98497735.3333333,0.998909666666667,0,0.500049333333333,0.0065696666666666,14091615591.0,13533382491.0,4262281574.0,1212117119.66667,3631316952.66667,4427666751.33333,0,37906722.0,502268.333333333,32.6903,9.30253333333333,25.323,32.6841666666667,41.9928333333333,40.3965,98.7328666666667,0.378943333333333,0.631820666666667,0.696751,0.842765666666667,100,57280257.0,111160583.333333,45.1917836666667,0.0215623333333333,"anterior cingulate cortex,area 24b'",Cingulate,CCa
24c,24c,Yes,Cingulate,0,2,0,0,2,2,2,4,0,7.71818181818182,53355454.0833333,47033921.9166667,88.2325,102007303.666667,102007303.666667,98759080.3333333,0.97230275,14179784116.5833,94022490.75,13512008519.1667,13248254639.75,0.0055536666666666,0.00550025,0.0002795833333333,98709768.1666667,0.999450583333333,0,0.500018666666667,0.005381,14471281952.4167,14179784116.5833,3627429463.41667,1362040959.66667,4870091754.91667,4320162217.41667,0,32804305.25,1102992.91666667,26.306275,9.59456666666667,33.336575,30.7622166666667,35.900825,35.2792583333333,96.56135,0.366544,0.679287916666667,0.719115583333333,0.88725575,100,53593708.25,105908382.5,27.98481425,0.0611070833333333,"anterior cingulate cortex,area 24c",Cingulate,CCa
24c',24c',Yes,Cingulate,0,1,0,1,0,0,2,0,1,8.46,46573373.4,34012420.0,74.166,84338724.4,84338724.4,73634979.2,0.8973888,10094371403.4,67929851.6,9309539321.6,9044852187.6,0.0068484,0.0069074,0.0002332,73531992.8,0.9985996,0,0.5000852,0.0066334,11448622009.2,10094371403.4,3381590148.0,943824247.2,2057406276.8,3711530523.6,0,29930200.6,338928.2,33.70868,9.42778,20.34998,36.51332,43.13648,39.15086,98.85916,0.391762,0.657832,0.6727156,0.9056428,100,46780428.8,82822969.4,47.4769854,0.0186602,"anterior cingulate cortex,area 24c'",Cingulate,CCa
25,25,Yes,Frontal,0,2,0,0,2,0,0,0,0,8.525,52343291.5,43382831.25,82.82,98190033.5,98190033.5,91311802.0,0.936271,12577588031.5,86659502.0,11939165733.25,11623354852.25,0.00684975,0.00681775,0.00025725,91200928.0,0.99880725,0,0.500015,0.00622225,13545607157.75,12577588031.5,3784301947.25,1081641690.5,3846649315.75,3864994938.0,0,33795402.25,509425.75,29.999425,8.57275,30.601075,30.826725,38.5722,35.854225,98.49535,0.361484,0.65438,0.69675,0.87337825,100,52840292.25,98784277.5,38.68256675,0.0,"subgenual cingulate cortex,area 25",Frontal,CCs
31,31,Yes,Cingulate,0,1,0,0,0,0,0,0,0,8.4,41641432.0,34804062.0,83.58,74840487.0,74840487.0,74840487.0,1.0,10313209342.0,69544125.0,9582273107.0,9333245893.0,0.005848,0.00579,0.000179,74770642.0,0.999067,0,0.500023,0.006294,10399602864.0,10313209342.0,4123599180.0,1237709003.0,1629883520.0,3322017639.0,0,36599624.0,514503.0,39.9837,12.0012,15.8038,32.2113,51.9849,51.553,98.6137,0.374169,0.63307,0.685976,0.817574,100,41748460.0,83426984.0,44.427974,0.0,,,
32,32,Yes,Frontal,0,2,0,0,2,1,1,1,1,7.95,56911136.875,45133469.5,80.89625,106896492.125,106896492.125,94891638.375,0.91493925,13349778108.375,90193158.125,12698065886.875,12401288161.375,0.006267875,0.006237375,0.00027325,94812381.5,0.999074375,0,0.5000405,0.0059055,14861449197.5,13349778108.375,3761994083.125,1208283217.875,4114931208.875,4264545214.25,0,33504880.125,838593.125,28.927225,9.0116,29.5235125,32.537475,37.938825,34.8812875,97.499725,0.38323075,0.647007875,0.6993695,0.8704055,100,57079700.75,102119109.5,33.699974625,0.020546875,"orbitomedial prefrontal cortex,area 32",Frontal,PFCm
36c,36c,Yes,Temporal,0,2,0,0,0,0,0,0,0,8.5,52368975.5,44046340.0,84.04,96020609.5,96020609.5,96020609.5,1.0,13206707924.0,87990396.0,12097536443.0,11751286167.5,0.006375,0.006359,0.000206,95907357.0,0.998857,0,0.5000855,0.00636,13335594286.5,13206707924.0,4988247009.0,1437588202.0,2302111092.0,4478761621.0,0,44119883.0,409728.0,37.91195,10.92855,17.24405,33.91545,48.8405,48.3797,99.07925,0.3700085,0.6480365,0.6800195,0.8695875,100,54212646.0,108314156.5,49.733289,0.069617,"area 36 of the perirhinal cortex, caudal subregion",Temporal ,PHC
3a/b,3a/b,Yes,Parietal,1,2,0,0,2,1,3,2,0,8.08181818181818,52529843.5454545,44987253.8181818,85.5090909090909,97848922.9090909,97848922.9090909,94114641.3636364,0.963853636363636,13294500923.5455,89913306.0,12708602644.2727,12405888836.4545,0.005999909090909,0.0059316363636363,0.000254,94048873.4545455,0.999207,0,0.500012272727273,0.0054784545454545,13869212704.3636,13294500923.5455,3763065024.27273,1302953121.90909,4224024471.90909,4004378173.0,0,33841495.2727273,1057325.0,29.0665727272727,9.71007272727273,30.8082090909091,30.4146545454545,38.7766454545455,36.9470363636364,97.0179272727273,0.369022909090909,0.667206727272727,0.710190818181818,0.876685636363636,100,52308064.0,100853797.272727,29.1049173636364,0.0185344545454545,somatosensory areas 3a and 3b,Parietal,S1
44,44,Yes,Frontal,0,1,0,0,2,0,2,0,0,8.56,52996856.2,43620583.2,82.024,93577745.0,93577745.0,93577745.0,1.0,12901627394.8,87178845.0,12019610737.8,11746715441.8,0.006447,0.006433,0.0002238,93510833.2,0.9992806,0,0.5000142,0.0062204,13014177038.8,12901627394.8,4486505281.2,1263822062.0,2894725102.8,4256574948.8,0,39518000.0,581627.8,34.74358,9.77038,22.45448,33.03154,44.51398,44.12632,98.53098,0.3720652,0.6607248,0.6853558,0.8951434,100,51858893.4,103663791.4,43.3144394,0.0,area 44,Frontal,PFCvl
