Unnamed: 0,age2,age3,age4,age5,age6,age7,age8,aggregate,Gene name
ENSMFAG00000034344_FBXO8,-4.469649,-4.905262,-5.413963,-5.084028,-5.335499,-5.409343,-6.150014,-4.739354,FBXO8
ENSMFAG00000042078_DOK1,-3.799016,-3.454544,-3.926329,-3.791965,-3.859579,-3.731399,-3.991939,-4.028194,DOK1
ENSMFAG00000040109_FRMD4B,-5.007357,-4.834693,-5.408403,-5.001581,-5.431144,-5.300915,-5.874001,-5.14155,FRMD4B
ENSMFAG00000039710_MKLN1,-4.555521,-4.552982,-5.295932,-5.198747,-5.460873,-5.541032,-6.337955,-4.919626,MKLN1
ENSMFAG00000039177_ADAM17,-4.910579,-4.818448,-5.257564,-5.230937,-5.41975,-5.578415,-5.868628,-5.029653,ADAM17
ENSMFAG00000003737_ABCA6,-4.660466,-4.639167,-5.252756,-5.446921,-5.642267,-5.635812,-5.838589,-5.002366,ABCA6
ENSMFAG00000005982_P2RY1,-3.436454,-3.635937,-3.841653,-3.711437,-3.878243,-3.658977,-4.077436,-3.984409,P2RY1
ENSMFAG00000038576_VAX2,-3.50327,-3.484885,-3.839344,-3.803639,-3.885497,-3.697139,-3.901635,-3.792144,VAX2
ENSMFAG00000002027_MAT2A,-5.27994,-4.980474,-5.463849,-5.232083,-5.292595,-5.589503,-5.619683,-5.255427,MAT2A
ENSMFAG00000043608_RHOBTB3,-5.042763,-4.963031,-5.548236,-5.185197,-5.589273,-5.412874,-5.734964,-5.357546,RHOBTB3
ENSMFAG00000023934_TTC39C,-4.937808,-4.82634,-5.587951,-5.318047,-5.516681,-5.386161,-5.964084,-5.201141,TTC39C
ENSMFAG00000036074_AP5M1,-5.093409,-5.089263,-5.509467,-5.47812,-5.503313,-5.238337,-6.075176,-5.550106,AP5M1
ENSMFAG00000032651_GOLGA7,-5.199372,-5.276839,-5.466728,-5.369018,-5.506958,-5.60221,-5.606356,-5.317554,GOLGA7
ENSMFAG00000042033_TCP11L2,-5.823709,-5.363553,-5.489536,-5.188121,-5.234323,-5.527517,-5.575286,-5.253866,TCP11L2
ENSMFAG00000039847_ATP6V0A2,-5.057221,-4.960183,-5.780135,-5.247036,-5.599646,-5.489409,-6.155799,-5.328177,ATP6V0A2
ENSMFAG00000011647_RF00108,-4.748711,-4.841221,-5.506185,-5.474631,-5.728545,-6.025893,-6.010038,-5.065035,RF00108
ENSMFAG00000009175_CDH19,-5.122354,-5.138231,-5.557756,-5.460365,-5.593545,-5.712255,-5.868728,-5.335479,CDH19
ENSMFAG00000035903_KCNH8,-5.701743,-5.328744,-5.721119,-5.282709,-5.341497,-5.574173,-5.562807,-5.373516,KCNH8
ENSMFAG00000034267_CRYAB,-3.548647,-3.50165,-3.645644,-3.643715,-3.775349,-3.806096,-3.868745,-3.728089,CRYAB
ENSMFAG00000037733_NUP205,-5.451134,-5.26254,-5.69797,-5.456992,-5.512674,-5.540998,-5.841664,-5.882426,NUP205
ENSMFAG00000038584_MTMR10,-5.388811,-5.417746,-5.816677,-5.235988,-5.609103,-5.3587,-6.004502,-5.532985,MTMR10
ENSMFAG00000030436_REEP3,-5.025202,-4.856657,-5.70718,-5.490945,-5.931984,-5.831381,-6.183426,-5.511576,REEP3
ENSMFAG00000000598_DCLRE1C,-5.454626,-5.316994,-5.905796,-5.306291,-5.475037,-5.690776,-6.260802,-5.369054,DCLRE1C
ENSMFAG00000003418_PSME4,-5.763376,-5.343573,-5.519342,-5.568622,-5.55437,-5.814418,-6.187025,-5.590561,PSME4
ENSMFAG00000030414_XPO4,-5.350856,-5.02318,-5.79614,-5.831664,-5.896974,-5.860712,-6.180557,-5.610267,XPO4
ENSMFAG00000044093_ZDHHC13,-5.497539,-5.226369,-5.864298,-5.510014,-5.672032,-5.835153,-6.372963,-5.61831,ZDHHC13
ENSMFAG00000042613_CCDC13,-5.171169,-5.122609,-6.022631,-5.51711,-5.891834,-5.745607,-6.648222,-5.735968,CCDC13
