Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
,GO Biological Processes,GO:0042552,myelination,-10.7139180789,24/121,"443,745,928,1902,4118,4155,4336,5354,5376,5653,6663,7368,7572,8537,9444,9514,10215,10397,26022,51090,79152,79628,83700,84504","ASPA,MYRF,CD9,LPAR1,MAL,MBP,MOBP,PLP1,PMP22,KLK6,SOX10,UGT8,ZNF24,BCAS1,QKI,GAL3ST1,OLIG2,NDRG1,TMEM98,PLLP,FA2H,SH3TC2,JAM3,NKX6-2"
,GO Biological Processes,GO:0048709,oligodendrocyte differentiation,-4.0809418461,14/92,"443,745,1267,1902,3065,4336,5354,6663,10215,23500,26022,79152,84504,93377","ASPA,MYRF,CNP,LPAR1,HDAC1,MOBP,PLP1,SOX10,OLIG2,DAAM2,TMEM98,FA2H,NKX6-2,OPALIN"
,GO Biological Processes,GO:0022010,central nervous system myelination,-3.4869344668,7/21,"443,745,4336,5354,6663,79152,84504","ASPA,MYRF,MOBP,PLP1,SOX10,FA2H,NKX6-2"
,GO Biological Processes,GO:0032291,axon ensheathment in central nervous system,-3.4869344668,7/21,"443,745,4336,5354,6663,79152,84504","ASPA,MYRF,MOBP,PLP1,SOX10,FA2H,NKX6-2"
,GO Biological Processes,GO:0042063,gliogenesis,-3.1013360402,36/268,"301,351,443,745,928,1267,1840,1902,2065,2185,2290,2596,2817,3065,3459,4137,4336,5028,5076,5354,6663,7161,7732,8851,8941,9241,10215,10397,23500,26022,28514,29956,79152,79628,84504,93377","ANXA1,APP,ASPA,MYRF,CD9,CNP,DTX1,LPAR1,ERBB3,PTK2B,FOXG1,GAP43,GPC1,HDAC1,IFNGR1,MAPT,MOBP,P2RY1,PAX2,PLP1,SOX10,TP73,RNF112,CDK5R1,CDK5R2,NOG,OLIG2,NDRG1,DAAM2,TMEM98,DLL1,CERS2,FA2H,SH3TC2,NKX6-2,OPALIN"
,GO Biological Processes,GO:0010001,glial cell differentiation,-3.2069481531,19/200,"443,745,1267,1902,2065,3065,3459,4336,5354,6663,10215,10397,23500,26022,28514,79152,79628,84504,93377","ASPA,MYRF,CNP,LPAR1,ERBB3,HDAC1,IFNGR1,MOBP,PLP1,SOX10,OLIG2,NDRG1,DAAM2,TMEM98,DLL1,FA2H,SH3TC2,NKX6-2,OPALIN"
,GO Biological Processes,GO:0014003,oligodendrocyte development,-2.3951455961,8/42,"443,745,1902,4336,5354,6663,79152,84504","ASPA,MYRF,LPAR1,MOBP,PLP1,SOX10,FA2H,NKX6-2"
,GO Biological Processes,GO:0021782,glial cell development,-2.2471001278,12/104,"443,745,1902,3459,4336,5354,6663,10397,28514,79152,79628,84504","ASPA,MYRF,LPAR1,IFNGR1,MOBP,PLP1,SOX10,NDRG1,DLL1,FA2H,SH3TC2,NKX6-2"
synapse organization,GO Biological Processes,GO:0050808,synapse organization,-7.6105718889,39/389,"40,87,119,351,575,1607,1742,1948,2596,2895,3897,4137,4628,4761,5064,5100,5792,5818,6543,6585,6853,7476,8851,8936,9148,10882,11346,22859,27286,28988,50944,55752,57622,58512,94030,266743,347902,375790,392617","ASIC2,ACTN1,ADD2,APP,ADGRB1,DGKB,DLG4,EFNB2,GAP43,GRID2,L1CAM,MAPT,MYH10,NEUROD2,PALM,PCDH8,PTPRF,NECTIN1,SLC8A2,SLIT1,SYN1,WNT7A,CDK5R1,WASF1,NEURL1,C1QL1,SYNPO,ADGRL1,SRPX2,DBNL,SHANK1,SEPTIN11,LRFN1,DLGAP3,LRRC4B,NPAS4,AMIGO2,AGRN,ELFN1"
,GO Biological Processes,GO:0034330,cell junction organization,-6.2205884536,50/658,"40,87,88,119,351,575,613,1002,1008,1607,1742,1948,2185,2596,2889,2895,3897,3914,4137,4628,4761,5064,5100,5792,5818,6543,6585,6722,6853,7476,8851,8936,9148,9344,9647,10882,11346,22859,27286,28988,50944,55752,57622,58512,94030,266743,347902,375790,389813,392617","ASIC2,ACTN1,ACTN2,ADD2,APP,ADGRB1,BCR,CDH4,CDH10,DGKB,DLG4,EFNB2,PTK2B,GAP43,RAPGEF1,GRID2,L1CAM,LAMB3,MAPT,MYH10,NEUROD2,PALM,PCDH8,PTPRF,NECTIN1,SLC8A2,SLIT1,SRF,SYN1,WNT7A,CDK5R1,WASF1,NEURL1,TAOK2,PPM1F,C1QL1,SYNPO,ADGRL1,SRPX2,DBNL,SHANK1,SEPTIN11,LRFN1,DLGAP3,LRRC4B,NPAS4,AMIGO2,AGRN,AJM1,ELFN1"
