Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
,GO Biological Processes,GO:0099643,signal release from synapse,-1.2108870003,13/152,"808,1268,5413,5582,6804,6853,6861,7476,8448,9066,9256,80331,84062","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,SYT5,WNT7A,DOC2A,SYT7,TSPOAP1,DNAJC5,DTNBP1"
,GO Biological Processes,GO:2000300,regulation of synaptic vesicle exocytosis,-1.0563020053,7/53,"808,1268,5413,5582,6853,7476,84062","CALM3,CNR1,SEPTIN5,PRKCG,SYN1,WNT7A,DTNBP1"
,GO Biological Processes,GO:0006836,neurotransmitter transport,-1.0234973588,15/205,"808,1268,5413,5582,6511,6534,6804,6853,6861,7476,8448,9066,9256,80331,84062","CALM3,CNR1,SEPTIN5,PRKCG,SLC1A6,SLC6A7,STX1A,SYN1,SYT5,WNT7A,DOC2A,SYT7,TSPOAP1,DNAJC5,DTNBP1"
,GO Biological Processes,GO:0036465,synaptic vesicle recycling,-1.0169798257,8/71,"808,1759,6804,6861,7476,8943,9066,29993","CALM3,DNM1,STX1A,SYT5,WNT7A,AP3D1,SYT7,PACSIN1"
,GO Biological Processes,GO:0045956,positive regulation of calcium ion-dependent exocytosis,-0.9250607979,4/18,"6804,8912,8941,9066","STX1A,CACNA1H,CDK5R2,SYT7"
,GO Biological Processes,GO:0014046,dopamine secretion,-0.8105130781,5/33,"1268,6861,9066,51760,84062","CNR1,SYT5,SYT7,SYT17,DTNBP1"
,GO Biological Processes,GO:0014059,regulation of dopamine secretion,-0.8105130781,5/33,"1268,6861,9066,51760,84062","CNR1,SYT5,SYT7,SYT17,DTNBP1"
,GO Biological Processes,GO:1903307,positive regulation of regulated secretory pathway,-0.8103419084,6/48,"1268,6804,8912,8941,9066,376267","CNR1,STX1A,CACNA1H,CDK5R2,SYT7,RAB15"
,GO Biological Processes,GO:0046928,regulation of neurotransmitter secretion,-0.8052189419,8/82,"808,1268,5413,5582,6804,6853,7476,84062","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,WNT7A,DTNBP1"
,GO Biological Processes,GO:0050433,regulation of catecholamine secretion,-0.7479704002,6/50,"1268,6804,6861,9066,51760,84062","CNR1,STX1A,SYT5,SYT7,SYT17,DTNBP1"
,GO Biological Processes,GO:0050432,catecholamine secretion,-0.7131707984,6/51,"1268,6804,6861,9066,51760,84062","CNR1,STX1A,SYT5,SYT7,SYT17,DTNBP1"
,GO Biological Processes,GO:0051046,regulation of secretion,-0.32572744,46/559,"100,301,808,952,1268,1803,2065,2281,2864,3077,3350,4041,4628,4760,5028,5029,5211,5413,5414,5582,5950,6422,6446,6696,6754,6804,6853,6861,7476,8111,8448,8912,8941,9066,9324,9341,9367,9619,51760,55636,57589,65985,84062,255057,338557,376267","ADA,ANXA1,CALM3,CD38,CNR1,DPP4,ERBB3,FKBP1B,FFAR1,HFE,HTR1A,LRP5,MYH10,NEUROD1,P2RY1,P2RY2,PFKL,SEPTIN5,SEPTIN4,PRKCG,RBP4,SFRP1,SGK1,SPP1,SSTR4,STX1A,SYN1,SYT5,WNT7A,GPR68,DOC2A,CACNA1H,CDK5R2,SYT7,HMGN3,VAMP3,RAB9A,ABCG1,SYT17,CHD7,RIC1,AACS,DTNBP1,CBARP,FFAR4,RAB15"
,GO Biological Processes,GO:0051588,regulation of neurotransmitter transport,-0.5360183217,8/95,"808,1268,5413,5582,6804,6853,7476,84062","CALM3,CNR1,SEPTIN5,PRKCG,STX1A,SYN1,WNT7A,DTNBP1"
,GO Biological Processes,GO:0015844,monoamine transport,-0.5323965917,7/76,"1268,3350,6804,6861,9066,51760,84062","CNR1,HTR1A,STX1A,SYT5,SYT7,SYT17,DTNBP1"
,GO Biological Processes,GO:1903530,regulation of secretion by cell,-0.4659560993,25/514,"808,1268,2281,3350,4628,4760,5211,5413,5582,5950,6804,6853,6861,7476,8111,8448,8912,8941,9066,51760,65985,84062,255057,338557,376267","CALM3,CNR1,FKBP1B,HTR1A,MYH10,NEUROD1,PFKL,SEPTIN5,PRKCG,RBP4,STX1A,SYN1,SYT5,WNT7A,GPR68,DOC2A,CACNA1H,CDK5R2,SYT7,SYT17,AACS,DTNBP1,CBARP,FFAR4,RAB15"
,GO Biological Processes,GO:0023061,signal release,-0.4339627889,22/439,"808,1268,2281,3350,4760,5211,5413,5582,5950,6804,6853,6861,7476,8111,8448,9066,9256,51760,65985,80331,84062,338557","CALM3,CNR1,FKBP1B,HTR1A,NEUROD1,PFKL,SEPTIN5,PRKCG,RBP4,STX1A,SYN1,SYT5,WNT7A,GPR68,DOC2A,SYT7,TSPOAP1,SYT17,AACS,DNAJC5,DTNBP1,FFAR4"
regulation of system process,GO Biological Processes,GO:0044057,regulation of system process,-3.2968093401,37/542,"40,100,147,351,554,808,1025,1621,1742,2185,2281,2902,2906,2911,2982,3269,3350,3761,3762,3768,3775,3781,4760,4878,4885,6543,6722,6804,7068,7476,8912,50944,56853,57596,58512,59285,81033","ASIC2,ADA,ADRA1B,APP,AVPR2,CALM3,CDK9,DBH,DLG4,PTK2B,FKBP1B,GRIN1,GRIN2D,GRM1,GUCY1A1,HRH1,HTR1A,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NEUROD1,NPPA,NPTX2,SLC8A2,SRF,STX1A,THRB,WNT7A,CACNA1H,SHANK1,CELF4,BEGAIN,DLGAP3,CACNG6,KCNH6"
,GO Biological Processes,GO:1903522,regulation of blood circulation,-1.7257790958,20/265,"40,100,147,554,808,1621,2281,3269,3350,3761,3762,3768,3775,3781,4878,6543,7068,8912,59285,81033","ASIC2,ADA,ADRA1B,AVPR2,CALM3,DBH,FKBP1B,HRH1,HTR1A,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NPPA,SLC8A2,THRB,CACNA1H,CACNG6,KCNH6"
,GO Biological Processes,GO:0006813,potassium ion transport,-1.1532637119,16/216,"88,2185,3738,3761,3762,3768,3775,3781,3785,4878,23416,50801,81033,170850,343450,100134444","ACTN2,PTK2B,KCNA3,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,KCNQ2,NPPA,KCNH3,KCNK4,KCNH6,KCNG3,KCNT2,KCNJ18"
,GO Biological Processes,GO:0071805,potassium ion transmembrane transport,-1.1218289291,15/197,"88,3738,3761,3762,3768,3775,3781,3785,4878,23416,50801,81033,170850,343450,100134444","ACTN2,KCNA3,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,KCNQ2,NPPA,KCNH3,KCNK4,KCNH6,KCNG3,KCNT2,KCNJ18"
,GO Biological Processes,GO:0008015,blood circulation,-0.8322038969,44/482,"40,70,100,133,147,554,808,952,1268,1573,1621,1839,2281,2729,2909,2982,3269,3350,3761,3762,3768,3775,3781,4041,4878,5028,5029,5138,5139,5286,6446,6543,7068,8912,11149,28514,29119,55151,55636,57835,59285,80005,81033,84909","ASIC2,ACTC1,ADA,ADM,ADRA1B,AVPR2,CALM3,CD38,CNR1,CYP2J2,DBH,HBEGF,FKBP1B,GCLC,ARHGAP35,GUCY1A1,HRH1,HTR1A,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,LRP5,NPPA,P2RY1,P2RY2,PDE2A,PDE3A,PIK3C2A,SGK1,SLC8A2,THRB,CACNA1H,BVES,DLL1,CTNNA3,TMEM38B,CHD7,SLC4A5,CACNG6,DOCK5,KCNH6,AOPEP"
,GO Biological Processes,GO:0035637,multicellular organismal signaling,-0.9438683528,14/190,"808,2281,3761,3762,3768,3775,3781,4878,6332,6543,8912,54112,59285,81033","CALM3,FKBP1B,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NPPA,SCN7A,SLC8A2,CACNA1H,GPR88,CACNG6,KCNH6"
,GO Biological Processes,GO:0061337,cardiac conduction,-0.864894417,11/136,"808,2281,3761,3762,3768,3775,3781,4878,6543,59285,81033","CALM3,FKBP1B,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NPPA,SLC8A2,CACNG6,KCNH6"
,GO Biological Processes,GO:0008016,regulation of heart contraction,-0.820100533,15/224,"100,147,808,2281,3761,3762,3768,3775,3781,4878,6543,7068,8912,59285,81033","ADA,ADRA1B,CALM3,FKBP1B,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NPPA,SLC8A2,THRB,CACNA1H,CACNG6,KCNH6"
,GO Biological Processes,GO:0060047,heart contraction,-0.7099459563,16/257,"70,100,147,808,2281,3761,3762,3768,3775,3781,4878,6543,7068,8912,59285,81033","ACTC1,ADA,ADRA1B,CALM3,FKBP1B,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NPPA,SLC8A2,THRB,CACNA1H,CACNG6,KCNH6"
,GO Biological Processes,GO:0003015,heart process,-0.6054395507,16/266,"70,100,147,808,2281,3761,3762,3768,3775,3781,4878,6543,7068,8912,59285,81033","ACTC1,ADA,ADRA1B,CALM3,FKBP1B,KCNJ4,KCNJ5,KCNJ12,KCNK1,KCNN2,NPPA,SLC8A2,THRB,CACNA1H,CACNG6,KCNH6"
second-messenger-mediated signaling,GO Biological Processes,GO:0019932,second-messenger-mediated signaling,-3.0827618423,24/280,"100,576,808,2185,2281,2902,2906,2982,3208,3269,4137,4760,4761,4878,5026,5138,6543,8445,10900,22859,51655,84687,283455,338557","ADA,ADGRB2,CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,GUCY1A1,HPCA,HRH1,MAPT,NEUROD1,NEUROD2,NPPA,P2RX5,PDE2A,SLC8A2,DYRK2,RUNDC3A,ADGRL1,RASD1,PPP1R9B,KSR2,FFAR4"
,GO Biological Processes,GO:0019722,calcium-mediated signaling,-1.7365832738,16/183,"100,576,808,2185,2281,2902,2906,3208,4137,4761,5026,6543,8445,22859,84687,283455","ADA,ADGRB2,CALM3,PTK2B,FKBP1B,GRIN1,GRIN2D,HPCA,MAPT,NEUROD2,P2RX5,SLC8A2,DYRK2,ADGRL1,PPP1R9B,KSR2"
,GO Biological Processes,GO:0050848,regulation of calcium-mediated signaling,-0.8103419084,7/64,"100,2185,4137,4761,5026,6543,8445","ADA,PTK2B,MAPT,NEUROD2,P2RX5,SLC8A2,DYRK2"
telencephalon cell migration,GO Biological Processes,GO:0022029,telencephalon cell migration,-2.5577678246,9/48,"2290,3362,6091,6585,6722,8851,8941,26468,170302","FOXG1,HTR6,ROBO1,SLIT1,SRF,CDK5R1,CDK5R2,LHX6,ARX"
,GO Biological Processes,GO:0021885,forebrain cell migration,-2.3748255435,9/51,"2290,3362,6091,6585,6722,8851,8941,26468,170302","FOXG1,HTR6,ROBO1,SLIT1,SRF,CDK5R1,CDK5R2,LHX6,ARX"
,GO Biological Processes,GO:0022028,tangential migration from the subventricular zone to the olfactory bulb,-2.2041045488,4/7,"6091,6585,6722,170302","ROBO1,SLIT1,SRF,ARX"
,GO Biological Processes,GO:0021795,cerebral cortex cell migration,-1.8982070259,7/35,"2290,3362,6091,8851,8941,26468,170302","FOXG1,HTR6,ROBO1,CDK5R1,CDK5R2,LHX6,ARX"
,GO Biological Processes,GO:0021800,cerebral cortex tangential migration,-1.2307161885,3/6,"6091,26468,170302","ROBO1,LHX6,ARX"
,GO Biological Processes,GO:0021884,forebrain neuron development,-1.0563020053,5/26,"2290,6091,6585,26468,170302","FOXG1,ROBO1,SLIT1,LHX6,ARX"
,GO Biological Processes,GO:0021953,central nervous system neuron differentiation,-0.9896596048,13/166,"2290,2895,2909,4133,4137,6091,6585,7471,7476,26038,26468,64919,170302","FOXG1,GRID2,ARHGAP35,MAP2,MAPT,ROBO1,SLIT1,WNT1,WNT7A,CHD5,LHX6,BCL11B,ARX"
,GO Biological Processes,GO:0021891,olfactory bulb interneuron development,-0.9726810325,3/8,"6091,6585,170302","ROBO1,SLIT1,ARX"
,GO Biological Processes,GO:0021537,telencephalon development,-0.8751628989,15/220,"1767,2290,3362,4760,6091,6585,6722,8851,8941,26468,63974,64919,84687,146760,170302","DNAH5,FOXG1,HTR6,NEUROD1,ROBO1,SLIT1,SRF,CDK5R1,CDK5R2,LHX6,NEUROD6,BCL11B,PPP1R9B,RTN4RL1,ARX"
,GO Biological Processes,GO:0021954,central nervous system neuron development,-0.8658561522,8/79,"2290,2909,4133,4137,6091,6585,26468,170302","FOXG1,ARHGAP35,MAP2,MAPT,ROBO1,SLIT1,LHX6,ARX"
,GO Biological Processes,GO:0021826,substrate-independent telencephalic tangential migration,-0.8103419084,3/10,"6585,26468,170302","SLIT1,LHX6,ARX"
,GO Biological Processes,GO:0021843,substrate-independent telencephalic tangential interneuron migration,-0.8103419084,3/10,"6585,26468,170302","SLIT1,LHX6,ARX"
,GO Biological Processes,GO:0021879,forebrain neuron differentiation,-0.7803451371,6/49,"2290,6091,6585,26468,64919,170302","FOXG1,ROBO1,SLIT1,LHX6,BCL11B,ARX"
,GO Biological Processes,GO:0021543,pallium development,-0.7198701357,11/145,"2290,3362,4760,6091,6722,8851,8941,26468,63974,84687,170302","FOXG1,HTR6,NEUROD1,ROBO1,SRF,CDK5R1,CDK5R2,LHX6,NEUROD6,PPP1R9B,ARX"
,GO Biological Processes,GO:0021889,olfactory bulb interneuron differentiation,-0.6332486961,3/12,"6091,6585,170302","ROBO1,SLIT1,ARX"
,GO Biological Processes,GO:0021799,cerebral cortex radially oriented cell migration,-0.57160514,4/25,"2290,8851,8941,26468","FOXG1,CDK5R1,CDK5R2,LHX6"
,GO Biological Processes,GO:0021872,forebrain generation of neurons,-0.5707740938,6/56,"2290,6091,6585,26468,64919,170302","FOXG1,ROBO1,SLIT1,LHX6,BCL11B,ARX"
,GO Biological Processes,GO:0021772,olfactory bulb development,-0.5109182957,4/27,"6091,6585,6722,170302","ROBO1,SLIT1,SRF,ARX"
,GO Biological Processes,GO:0021987,cerebral cortex development,-0.4957122449,8/98,"2290,3362,6091,8851,8941,26468,84687,170302","FOXG1,HTR6,ROBO1,CDK5R1,CDK5R2,LHX6,PPP1R9B,ARX"
,GO Biological Processes,GO:0021988,olfactory lobe development,-0.4726135097,4/28,"6091,6585,6722,170302","ROBO1,SLIT1,SRF,ARX"
regulation of growth,GO Biological Processes,GO:0040008,regulation of growth,-2.044194638,59/600,"351,952,1002,1032,1410,1839,1848,2185,2596,2735,3249,3897,4133,4137,4593,5357,5950,6195,6422,6446,6696,6722,6788,6868,7161,8851,9241,9344,9564,9647,10018,10110,10201,10409,10501,23286,23414,28514,28988,29967,30837,51052,51393,51760,55636,57556,57609,57699,58189,64061,79602,80031,83737,84289,84687,84722,123879,170302,375790","APP,CD38,CDH4,CDKN2D,CRYAB,HBEGF,DUSP6,PTK2B,GAP43,GLI1,HPN,L1CAM,MAP2,MAPT,MUSK,PLS1,RBP4,RPS6KA1,SFRP1,SGK1,SPP1,SRF,STK3,ADAM17,TP73,CDK5R1,NOG,TAOK2,BCAR1,PPM1F,BCL2L11,SGK2,NME6,BASP1,SEMA6B,WWC1,ZFPM2,DLL1,DBNL,LRP12,SOCS7,PRLH,TRPV2,SYT17,CHD7,SEMA6A,DIP2B,CPNE5,WFDC1,TSPYL2,ADIPOR2,SEMA6D,ITCH,ING5,PPP1R9B,PSRC1,DCUN1D3,ARX,AGRN"
,GO Biological Processes,GO:0048638,regulation of developmental growth,-1.3081017256,33/300,"351,1002,1848,2735,3897,4133,4137,4593,5357,5950,6696,6722,6788,7161,8851,9241,10018,10409,10501,23286,23414,28514,28988,51052,51393,51760,55636,57556,57609,57699,80031,170302,375790","APP,CDH4,DUSP6,GLI1,L1CAM,MAP2,MAPT,MUSK,PLS1,RBP4,SPP1,SRF,STK3,TP73,CDK5R1,NOG,BCL2L11,BASP1,SEMA6B,WWC1,ZFPM2,DLL1,DBNL,PRLH,TRPV2,SYT17,CHD7,SEMA6A,DIP2B,CPNE5,SEMA6D,ARX,AGRN"
,GO Biological Processes,GO:0048589,developmental growth,-0.9198594504,51/573,"133,301,351,928,1002,1134,1848,2596,2735,3897,4133,4137,4593,5357,5361,5653,5950,6422,6585,6663,6696,6722,6788,7161,7294,7298,7476,8851,8936,9241,10018,10409,10501,23286,23414,25932,28514,28988,50944,51052,51393,51760,55083,55151,55636,57556,57609,57699,80031,170302,375790","ADM,ANXA1,APP,CD9,CDH4,CHRNA1,DUSP6,GAP43,GLI1,L1CAM,MAP2,MAPT,MUSK,PLS1,PLXNA1,KLK6,RBP4,SFRP1,SLIT1,SOX10,SPP1,SRF,STK3,TP73,TXK,TYMS,WNT7A,CDK5R1,WASF1,NOG,BCL2L11,BASP1,SEMA6B,WWC1,ZFPM2,CLIC4,DLL1,DBNL,SHANK1,PRLH,TRPV2,SYT17,KIF26B,TMEM38B,CHD7,SEMA6A,DIP2B,CPNE5,SEMA6D,ARX,AGRN"
,GO Biological Processes,GO:0001558,regulation of cell growth,-0.6279727348,36/386,"952,1002,1032,1410,1839,2185,3249,3897,4133,4137,6195,6422,6446,6696,6722,6868,8851,9344,9564,10110,10201,10501,28988,51393,51760,57556,57609,57699,58189,64061,79602,80031,83737,84687,84722,123879","CD38,CDH4,CDKN2D,CRYAB,HBEGF,PTK2B,HPN,L1CAM,MAP2,MAPT,RPS6KA1,SFRP1,SGK1,SPP1,SRF,ADAM17,CDK5R1,TAOK2,BCAR1,SGK2,NME6,SEMA6B,DBNL,TRPV2,SYT17,SEMA6A,DIP2B,CPNE5,WFDC1,TSPYL2,ADIPOR2,SEMA6D,ITCH,PPP1R9B,PSRC1,DCUN1D3"
,GO Biological Processes,GO:0016049,cell growth,-0.5839128935,40/446,"351,952,1002,1032,1410,1839,2185,3249,3897,4133,4137,5361,6195,6422,6446,6585,6696,6722,6868,8851,8936,9344,9564,10110,10201,10501,28988,51393,51760,57556,57609,57699,58189,64061,79602,80031,83737,84687,84722,123879","APP,CD38,CDH4,CDKN2D,CRYAB,HBEGF,PTK2B,HPN,L1CAM,MAP2,MAPT,PLXNA1,RPS6KA1,SFRP1,SGK1,SLIT1,SPP1,SRF,ADAM17,CDK5R1,WASF1,TAOK2,BCAR1,SGK2,NME6,SEMA6B,DBNL,TRPV2,SYT17,SEMA6A,DIP2B,CPNE5,WFDC1,TSPYL2,ADIPOR2,SEMA6D,ITCH,PPP1R9B,PSRC1,DCUN1D3"
,GO Biological Processes,GO:0045926,negative regulation of growth,-0.3163538026,23/232,"1032,1410,4133,5950,6422,6696,6788,7161,8851,9241,10201,10501,23286,57556,57609,58189,64061,79602,80031,84289,84687,84722,123879","CDKN2D,CRYAB,MAP2,RBP4,SFRP1,SPP1,STK3,TP73,CDK5R1,NOG,NME6,SEMA6B,WWC1,SEMA6A,DIP2B,WFDC1,TSPYL2,ADIPOR2,SEMA6D,ING5,PPP1R9B,PSRC1,DCUN1D3"
Neuroactive ligand-receptor interaction ,KEGG Pathway,hsa04080,Neuroactive ligand-receptor interaction ,-2.2974801287,20/235,"147,554,1268,2556,2895,2902,2906,2911,2912,3269,3350,3354,3362,5026,6754,7068,7201,8973,9568,84634","ADRA1B,AVPR2,CNR1,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,GRM2,HRH1,HTR1A,HTR1E,HTR6,P2RX5,SSTR4,THRB,TRHR,CHRNA6,GABBR2,KISS1R"
,KEGG Pathway,ko04080,Neuroactive ligand-receptor interaction,-2.2974801287,20/235,"147,554,1268,2556,2895,2902,2906,2911,2912,3269,3350,3354,3362,5026,6754,7068,7201,8973,9568,84634","ADRA1B,AVPR2,CNR1,GABRA3,GRID2,GRIN1,GRIN2D,GRM1,GRM2,HRH1,HTR1A,HTR1E,HTR6,P2RX5,SSTR4,THRB,TRHR,CHRNA6,GABBR2,KISS1R"
,KEGG Pathway,hsa04020,Calcium signaling pathway ,-1.5516056151,15/173,"113,147,808,2185,2902,2906,2911,3269,3362,5026,5153,5582,6543,7201,8912","ADCY7,ADRA1B,CALM3,PTK2B,GRIN1,GRIN2D,GRM1,HRH1,HTR6,P2RX5,PDE1B,PRKCG,SLC8A2,TRHR,CACNA1H"
,KEGG Pathway,ko04020,Calcium signaling pathway,-1.5516056151,15/173,"113,147,808,2185,2902,2906,2911,3269,3362,5026,5153,5582,6543,7201,8912","ADCY7,ADRA1B,CALM3,PTK2B,GRIN1,GRIN2D,GRM1,HRH1,HTR6,P2RX5,PDE1B,PRKCG,SLC8A2,TRHR,CACNA1H"
regulation of anatomical structure size,GO Biological Processes,GO:0090066,regulation of anatomical structure size,-1.9500324757,30/469,"40,88,119,147,246,554,1002,1621,2185,2909,2982,3269,3350,3897,4133,4137,4878,5076,5580,6722,7476,8851,8936,10458,10501,11151,28988,51393,57026,642574","ASIC2,ACTN2,ADD2,ADRA1B,ALOX15,AVPR2,CDH4,DBH,PTK2B,ARHGAP35,GUCY1A1,HRH1,HTR1A,L1CAM,MAP2,MAPT,NPPA,PAX2,PRKCD,SRF,WNT7A,CDK5R1,WASF1,BAIAP2,SEMA6B,CORO1A,DBNL,TRPV2,PDXP,IQANK1"
,GO Biological Processes,GO:1902903,regulation of supramolecular fiber organization,-1.40308683,23/352,"88,119,246,351,2185,2909,4133,4137,5580,8851,8936,9647,10458,11151,11346,25999,28988,50944,55201,57026,84722,89795,642574","ACTN2,ADD2,ALOX15,APP,PTK2B,ARHGAP35,MAP2,MAPT,PRKCD,CDK5R1,WASF1,PPM1F,BAIAP2,CORO1A,SYNPO,CLIP3,DBNL,SHANK1,MAP1S,PDXP,PSRC1,NAV3,IQANK1"
,GO Biological Processes,GO:0030036,actin cytoskeleton organization,-1.0282430388,34/662,"70,87,88,119,246,2185,2275,2909,4628,5580,6722,7170,8851,8936,9344,9564,9578,9647,10458,11151,11346,23096,28988,29993,50944,57026,57091,64005,84062,84687,116986,254102,374872,642574","ACTC1,ACTN1,ACTN2,ADD2,ALOX15,PTK2B,FHL3,ARHGAP35,MYH10,PRKCD,SRF,TPM3,CDK5R1,WASF1,TAOK2,BCAR1,CDC42BPB,PPM1F,BAIAP2,CORO1A,SYNPO,IQSEC2,DBNL,PACSIN1,SHANK1,PDXP,CASS4,MYO1G,DTNBP1,PPP1R9B,AGAP2,EHBP1L1,PEAK3,IQANK1"
,GO Biological Processes,GO:0007015,actin filament organization,-0.9981216268,24/414,"70,87,88,119,246,2185,2909,5580,6722,7170,8936,9564,9647,10458,11151,11346,28988,29993,50944,57026,57091,64005,84687,642574","ACTC1,ACTN1,ACTN2,ADD2,ALOX15,PTK2B,ARHGAP35,PRKCD,SRF,TPM3,WASF1,BCAR1,PPM1F,BAIAP2,CORO1A,SYNPO,DBNL,PACSIN1,SHANK1,PDXP,CASS4,MYO1G,PPP1R9B,IQANK1"
,GO Biological Processes,GO:0032271,regulation of protein polymerization,-0.9438683528,15/212,"119,246,2185,4133,4137,5580,8851,8936,10458,11151,25999,28988,84722,89795,642574","ADD2,ALOX15,PTK2B,MAP2,MAPT,PRKCD,CDK5R1,WASF1,BAIAP2,CORO1A,CLIP3,DBNL,PSRC1,NAV3,IQANK1"
,GO Biological Processes,GO:0097435,supramolecular fiber organization,-0.9433314852,34/678,"70,87,88,119,246,351,1301,2185,2909,4133,4137,5580,6722,7170,8851,8936,9564,9647,10458,11151,11346,25999,28988,29993,50944,55201,57026,57091,64005,84687,84722,89795,401720,642574","ACTC1,ACTN1,ACTN2,ADD2,ALOX15,APP,COL11A1,PTK2B,ARHGAP35,MAP2,MAPT,PRKCD,SRF,TPM3,CDK5R1,WASF1,BCAR1,PPM1F,BAIAP2,CORO1A,SYNPO,CLIP3,DBNL,PACSIN1,SHANK1,MAP1S,PDXP,CASS4,MYO1G,PPP1R9B,PSRC1,NAV3,FIGNL2,IQANK1"
,GO Biological Processes,GO:1902905,positive regulation of supramolecular fiber organization,-0.9250607979,14/193,"88,246,351,2185,4137,8851,8936,9647,10458,11151,11346,57026,84722,89795","ACTN2,ALOX15,APP,PTK2B,MAPT,CDK5R1,WASF1,PPM1F,BAIAP2,CORO1A,SYNPO,PDXP,PSRC1,NAV3"
,GO Biological Processes,GO:0032535,regulation of cellular component size,-0.9107713543,21/355,"88,119,246,1002,2185,2909,3897,4133,4137,5580,6722,7476,8851,8936,10458,10501,11151,28988,51393,57026,642574","ACTN2,ADD2,ALOX15,CDH4,PTK2B,ARHGAP35,L1CAM,MAP2,MAPT,PRKCD,SRF,WNT7A,CDK5R1,WASF1,BAIAP2,SEMA6B,CORO1A,DBNL,TRPV2,PDXP,IQANK1"
,GO Biological Processes,GO:0030029,actin filament-based process,-0.8243020814,36/752,"70,87,88,119,246,2185,2275,2909,3762,3781,4628,5580,6722,7170,8851,8936,9344,9564,9578,9647,10458,11151,11346,23096,28988,29993,50944,57026,57091,64005,84062,84687,116986,254102,374872,642574","ACTC1,ACTN1,ACTN2,ADD2,ALOX15,PTK2B,FHL3,ARHGAP35,KCNJ5,KCNN2,MYH10,PRKCD,SRF,TPM3,CDK5R1,WASF1,TAOK2,BCAR1,CDC42BPB,PPM1F,BAIAP2,CORO1A,SYNPO,IQSEC2,DBNL,PACSIN1,SHANK1,PDXP,CASS4,MYO1G,DTNBP1,PPP1R9B,AGAP2,EHBP1L1,PEAK3,IQANK1"
,GO Biological Processes,GO:0051493,regulation of cytoskeleton organization,-0.6330994208,25/488,"88,119,246,899,2185,2909,4133,4137,5580,8851,8936,9344,9647,10458,11151,11346,25999,28988,50944,55201,57026,84722,89795,374872,642574","ACTN2,ADD2,ALOX15,CCNF,PTK2B,ARHGAP35,MAP2,MAPT,PRKCD,CDK5R1,WASF1,TAOK2,PPM1F,BAIAP2,CORO1A,SYNPO,CLIP3,DBNL,SHANK1,MAP1S,PDXP,PSRC1,NAV3,PEAK3,IQANK1"
,GO Biological Processes,GO:0008064,regulation of actin polymerization or depolymerization,-0.6054395507,12/174,"88,119,246,2185,2909,5580,8936,10458,11151,28988,57026,642574","ACTN2,ADD2,ALOX15,PTK2B,ARHGAP35,PRKCD,WASF1,BAIAP2,CORO1A,DBNL,PDXP,IQANK1"
,GO Biological Processes,GO:0030832,regulation of actin filament length,-0.5904416999,12/175,"88,119,246,2185,2909,5580,8936,10458,11151,28988,57026,642574","ACTN2,ADD2,ALOX15,PTK2B,ARHGAP35,PRKCD,WASF1,BAIAP2,CORO1A,DBNL,PDXP,IQANK1"
,GO Biological Processes,GO:0008154,actin polymerization or depolymerization,-0.5430019608,13/202,"88,119,246,2185,2909,5580,8936,10458,11151,28988,57026,84687,642574","ACTN2,ADD2,ALOX15,PTK2B,ARHGAP35,PRKCD,WASF1,BAIAP2,CORO1A,DBNL,PDXP,PPP1R9B,IQANK1"
,GO Biological Processes,GO:0051258,protein polymerization,-0.522137921,16/276,"119,246,1759,2185,4133,4137,5580,8851,8936,10458,11151,25999,28988,84722,89795,642574","ADD2,ALOX15,DNM1,PTK2B,MAP2,MAPT,PRKCD,CDK5R1,WASF1,BAIAP2,CORO1A,CLIP3,DBNL,PSRC1,NAV3,IQANK1"
,GO Biological Processes,GO:0051495,positive regulation of cytoskeleton organization,-0.4648050876,13/210,"88,246,2185,4137,8851,8936,9647,10458,11151,11346,57026,84722,89795","ACTN2,ALOX15,PTK2B,MAPT,CDK5R1,WASF1,PPM1F,BAIAP2,CORO1A,SYNPO,PDXP,PSRC1,NAV3"
,GO Biological Processes,GO:0110053,regulation of actin filament organization,-0.4628737734,15/258,"88,119,246,2185,2909,5580,8936,9647,10458,11151,11346,28988,50944,57026,642574","ACTN2,ADD2,ALOX15,PTK2B,ARHGAP35,PRKCD,WASF1,PPM1F,BAIAP2,CORO1A,SYNPO,DBNL,SHANK1,PDXP,IQANK1"
