signature,gene_symbol
neuronal_like,PCDH9
neuronal_like,ZNF804B
neuronal_like,SYNJ2
neuronal_like,KCNH7
neuronal_like,RELN
neuronal_like,ROBO2
neuronal_like,PRKCB
neuronal_like,PTPRJ
neuronal_like,RGS6
neuronal_like,SNHG14
neuronal_like,LRRTM3
neuronal_like,PPP3CA
neuronal_like,MDGA2
neuronal_like,GLRA2
neuronal_like,KCNAB1
neuronal_like,ASTN2
neuronal_like,GPM6A
neuronal_like,KCNQ1OT1
neuronal_like,LOC100131257
neuronal_like,ABCC9
neuronal_like,SHISA9
neuronal_like,ORC4
neuronal_like,UGDH-AS1
neuronal_like,LOC646214
neuronal_like,MALAT1
neuronal_like,LOC643406
neuronal_like,CLIP3
neuronal_like,METTL21A
neuronal_like,RTN1
neuronal_like,TMEM212
neuronal_like,ANKRD20A9P
neuronal_like,ODF2L
neuronal_like,L2HGDH
neuronal_like,LPP
neuronal_like,CXADR
neuronal_like,STMN4
neuronal_like,KIF5C
neuronal_like,THSD7A
neuronal_like,MIAT
neuronal_like,KIAA1107
neuronal_like,DUSP26
neuronal_like,MAP1B
neuronal_like,NHLH1
neuronal_like,TACC2
neuronal_like,DCC
neuronal_like,IMPG2
neuronal_like,CASP3
neuronal_like,ATCAY
neuronal_like,SH2D3C
neuronal_like,TPH1
neuronal_like,ABCC8
neuronal_like,LRRTM2
neuronal_like,ST6GALNAC5
neuronal_like,ANK3
neuronal_like,KIF21B
neuronal_like,GAP43
neuronal_like,UCHL1
neuronal_like,NRXN1
neuronal_like,HMP19
neuronal_like,CNTN2
neuronal_like,SEMA6A
neuronal_like,GNG3
neuronal_like,ERBB4
neuronal_like,SV2B
neuronal_like,APC
neuronal_like,RUNDC3B
MYC_Group3,PRDM12
MYC_Group3,CYP4F23P
MYC_Group3,SALL3
MYC_Group3,FOXE3
MYC_Group3,FOXA1
MYC_Group3,SRD5A2
MYC_Group3,RP11-849I19.1
MYC_Group3,BRINP3
MYC_Group3,NRG1-IT1
MYC_Group3,TACR3
MYC_Group3,FAM133A
MYC_Group3,TTC6
MYC_Group3,C1orf168
MYC_Group3,SLC17A8
MYC_Group3,WNT6
MYC_Group3,RHO
MYC_Group3,RGPD3
MYC_Group3,HBA1
MYC_Group3,LRAT
MYC_Group3,RP11-115N4.1
MYC_Group3,SLC6A19
MYC_Group3,LLNLR-299G3.1
MYC_Group3,SYTL4
MYC_Group3,RP11-279F6.1
MYC_Group3,COX6B2
MYC_Group3,TCHH
MYC_Group3,HBB
MYC_Group3,KLHL4
MYC_Group3,IRX6
MYC_Group3,RP11-547I7.2
MYC_Group3,OTOP3
MYC_Group3,GABRA6
MYC_Group3,C9orf171
MYC_Group3,SLC5A8
MYC_Group3,RP11-38P22.2
MYC_Group3,RP11-640N11.2
MYC_Group3,RP11-491F9.5
MYC_Group3,MUC5B
MYC_Group3,ANKDD1A
MYC_Group3,TBX21
MYC_Group3,RP11-491F9.6
MYC_Group3,RP11-26L20.4
MYC_Group3,POU4F1
MYC_Group3,RP11-398J5.1
MYC_Group3,RP11-73O6.3
MYC_Group3,AC005537.2
MYC_Group3,ZNF385B
MYC_Group3,IMPG1
MYC_Group3,LIN7A
MYC_Group3,FAM84A
MYC_Group3,FXYD3
MYC_Group3,AC006129.2
MYC_Group3,PNMT
MYC_Group3,RP11-572C15.6
MYC_Group3,RD3L
MYC_Group3,SST
MYC_Group3,FAM19A4
MYC_Group3,MPP4
MYC_Group3,SLC12A1
MYC_Group3,FOXD2
MYC_Group3,TMEM200B
MYC_Group3,RP11-536I6.2
MYC_Group3,TSPEAR
MYC_Group3,TRAJ49
MYC_Group3,NPHS1
MYC_Group3,COL23A1
MYC_Group3,FOXD2-AS1
MYC_Group3,NTNG1
MYC_Group3,GPR155
MYC_Group3,ATP6V0D2
MYC_Group3,XCL1
MYC_Group3,FXYD7
MYC_Group3,CPNE6
MYC_Group3,DLX6
MYC_Group3,P2RY1
MYC_Group3,RP11-379K17.12
MYC_Group3,TDRD9
MYC_Group3,RP5-827C21.6
MYC_Group3,FOXA2
MYC_Group3,GPR160
MYC_Group3,CLMN
MYC_Group3,CRABP2
MYC_Group3,RP11-480I12.5
MYC_Group3,TSPAN19
MYC_Group3,PDE6A
MYC_Group3,AC007256.5
MYC_Group3,TC2N
MYC_Group3,LRP2
MYC_Group3,XDH
MYC_Group3,ALS2CR12
MYC_Group3,PYY
MYC_Group3,RCVRN
MYC_Group3,MFAP4
MYC_Group3,TMEM176A
MYC_Group3,RP11-39E3.3
MYC_Group3,PDE6G
MYC_Group3,SAMD7
MYC_Group3,SAG
MYC_Group3,HCN2
MYC_Group3,CPLX4
MYC_Group3,AC009501.4
MYC_Group3,SOX14
MYC_Group3,LBX1
MYC_Group3,AL035610.1
MYC_Group3,OTX1
MYC_Group3,LBX1-AS1
MYC_Group3,AC140542.2
MYC_Group3,EMX2
MYC_Group3,LMX1B
MYC_Group3,MEOX2
MYC_Group3,ANKRD26P1
MYC_Group3,MEPE
MYC_Group3,TFEC
MYC_Group3,GPR112
MYC_Group3,GPR88
MYC_Group3,ARHGAP36
MYC_Group3,POU4F3
MYC_Group3,LINC00587
MYC_Group3,RP11-238K6.1
MYC_Group3,GFI1B
MYC_Group3,RP11-458K10.1
MYC_Group3,TRDN
MYC_Group3,NTS
MYC_Group3,TMEM155
MYC_Group3,LINC00681
MYC_Group3,RP11-73C9.1
MYC_Group3,PTHLH
MYC_Group3,EMX2OS
MYC_Group3,GFI1
MYC_Group3,VCAM1
MYC_Group3,ALX1
MYC_Group3,SLC6A7
MYC_Group3,PCDH17
MYC_Group3,NBEAP1
MYC_Group3,CPA4
MYC_Group3,NCAM2
MYC_Group3,CBLN4
MYC_Group3,RP11-119H12.6
MYC_Group3,RP11-420O16.2
MYC_Group3,SNCAIP
MYC_Group3,HOXD10
MYC_Group3,DDIT4L
MYC_Group3,GRIN3A
MYC_Group3,NEUROG2
MYC_Group3,UBBP4
MYC_Group3,RASGRP1
MYC_Group3,CLVS2
MYC_Group3,CALY
MYC_Group3,NEFM
MYC_Group3,ABCC12
MYC_Group3,FGF13
MYC_Group3,KCNJ5
MYC_Group3,CAMK2A
MYC_Group3,OPRK1
MYC_Group3,SYNPR
MYC_Group3,OXGR1
MYC_Group3,MAB21L2
MYC_Group3,GRIK2
MYC_Group3,RP11-1336O20.2
MYC_Group3,SLC22A31
MYC_Group3,LGALS9C
MYC_Group3,RIT2
MYC_Group3,RP11-420O16.1
