network_id,region_id,resolution_group,group_size,group_members,is_merged_group,resolution_tier,resolution_reasons,training_samples,nearest_centroid_corr
"Parietal, and Parieto-occipital region",7op,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.996297071480085
"Parietal, and Parieto-occipital region",LIPv,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9970998322943403
"Parietal, and Parieto-occipital region",VIP,"Parietal, and Parieto-occipital region::44563 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",8,44563 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,11,0.9970998322943403
"Parietal, and Parieto-occipital region",V2,V2,1,V2,no,low_resolution,cross_network_region,1,
Subcortical,GPeGPi,GPeGPi,1,GPeGPi,no,high_resolution,,9,0.9005069252252381
Subcortical,PL,PL,1,PL,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,1,0.9542363830585501
Subcortical,Pir,Pir,1,Pir,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,4,0.9803762296079752
Subcortical,NARegion,Subcortical::NARegion + cd + pu,3,NARegion | cd | pu,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9829698213798043
Subcortical,cd,Subcortical::NARegion + cd + pu,3,NARegion | cd | pu,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9960268530563469
Subcortical,pu,Subcortical::NARegion + cd + pu,3,NARegion | cd | pu,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9960268530563469
Subcortical,amy,amy,1,amy,no,low_resolution,nearest_centroid_corr>=0.95,8,0.9803762296079752
Subcortical,cla,cla,1,cla,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,1,0.9690903797901038
Subcortical,thalamus,thalamus,1,thalamus,no,low_resolution,training_n<8,7,0.7883715340718339
Temporal,36c,36c,1,36c,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,2,0.9905425250672885
Temporal,AL,AL,1,AL,no,low_resolution,nearest_centroid_corr>=0.95,10,0.9942130101471122
Temporal,IPa,IPa,1,IPa,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,6,0.9977757054781454
Temporal,RTL,RTL,1,RTL,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,6,0.9961129689298243
Temporal,TF,TF,1,TF,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,2,0.9905425250672885
Temporal,TG,TG,1,TG,no,low_resolution,training_n<8 | nearest_centroid_corr>=0.95,4,0.9640931874578631
Temporal,AI,Temporal::AI + CL + CM + ML + Tpt,5,AI | CL | CM | ML | Tpt,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9956299461548901
Temporal,CL,Temporal::AI + CL + CM + ML + Tpt,5,AI | CL | CM | ML | Tpt,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9956516454175154
Temporal,CM,Temporal::AI + CL + CM + ML + Tpt,5,AI | CL | CM | ML | Tpt,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9956516454175154
Temporal,ML,Temporal::AI + CL + CM + ML + Tpt,5,AI | CL | CM | ML | Tpt,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9953754957682756
Temporal,Tpt,Temporal::AI + CL + CM + ML + Tpt,5,AI | CL | CM | ML | Tpt,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9930909738005063
Temporal,PGa,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.997976984847374
Temporal,STG,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,15,0.9961129689298243
Temporal,TAa,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,5,0.9961125586073629
Temporal,TEa,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,3,0.9974769094961917
Temporal,TEad,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9961125586073629
Temporal,TEm,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9955690199244552
Temporal,TPO,Temporal::PGa + STG + TAa + TEa + TEad + TEm + TPO,7,PGa | STG | TAa | TEa | TEad | TEm | TPO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,11,0.997976984847374
Temporal,R,Temporal::R + RM,2,R | RM,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9942130101471122
Temporal,RM,Temporal::R + RM,2,R | RM,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,10,0.9883930670242093
Temporal,RT,Temporal::RT + RTM,2,RT | RTM,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,4,0.9949692863670405
Temporal,RTM,Temporal::RT + RTM,2,RT | RTM,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,6,0.9949692863670405
Temporal,TEO,Temporal::TEO + TEpd + TEpv,3,TEO | TEpd | TEpv,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9940022140825201
Temporal,TEpd,Temporal::TEO + TEpd + TEpv,3,TEO | TEpd | TEpv,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.9943612691571239
Temporal,TEpv,Temporal::TEO + TEpd + TEpv,3,TEO | TEpd | TEpv,yes,low_resolution,training_n<8 | nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,7,0.9955849294903726
Temporal,TEav,Temporal::TEav + TFO,2,TEav | TFO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,9,0.9953214516414977
Temporal,TFO,Temporal::TEav + TFO,2,TEav | TFO,yes,low_resolution,nearest_centroid_corr>=0.95 | fold_local_merged_confusion_group,8,0.987209776249587
