sample_id,donor_id,technical_replicate_group_or_tissue_id,network_evaluable,group_evaluable,exact_evaluable,network_single_label_subset,group_single_label_subset,exact_single_label_subset,network_truth_label_count,group_truth_label_count,exact_truth_label_count,source_group_truth_label_count_in_candidate_beam,source_group_evaluation_status,source_group_truth_in_candidate_beam,reason_network_not_evaluable,reason_group_not_evaluable,reason_exact_not_evaluable,network_top1_hit,network_top3_hit,group_top1_hit,group_top3_hit,exact_top1_hit,exact_top3_hit
H0351_2001|S010150,H0351_2001,S010150,True,True,True,False,False,False,2,,3,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010152,H0351_2001,S010152,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010153,H0351_2001,S010153,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010156,H0351_2001,S010156,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010157,H0351_2001,S010157,True,True,True,False,False,False,2,,3,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,True
H0351_2001|S010160,H0351_2001,S010160,True,True,True,True,False,False,1,,6,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,False
H0351_2001|S010161,H0351_2001,S010161,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010165,H0351_2001,S010165,True,True,True,True,True,True,1,,1,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010173,H0351_2001,S010173,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010179,H0351_2001,S010179,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010186,H0351_2001,S010186,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010196,H0351_2001,S010196,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010207,H0351_2001,S010207,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010208,H0351_2001,S010208,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010210,H0351_2001,S010210,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010213,H0351_2001,S010213,True,True,True,True,False,False,1,,2,2,evaluated_in_candidate_beam,True,,,,False,True,False,False,False,False
H0351_2001|S010217,H0351_2001,S010217,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,False,False,False,False
H0351_2001|S010224,H0351_2001,S010224,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,True
H0351_2001|S010226,H0351_2001,S010226,True,True,True,False,False,False,2,,12,6,evaluated_in_candidate_beam,True,,,,False,True,False,True,True,True
H0351_2001|S010227,H0351_2001,S010227,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010233,H0351_2001,S010233,True,True,True,False,False,False,4,,7,0,outside_candidate_beam,False,,,,True,True,False,False,False,False
H0351_2001|S010235,H0351_2001,S010235,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010236,H0351_2001,S010236,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010237,H0351_2001,S010237,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010238,H0351_2001,S010238,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010239,H0351_2001,S010239,True,True,True,False,False,False,4,,7,0,outside_candidate_beam,False,,,,True,True,False,False,False,False
H0351_2001|S010241,H0351_2001,S010241,True,True,True,False,False,False,2,,3,3,evaluated_in_candidate_beam,True,,,,True,True,False,True,True,True
H0351_2001|S010243,H0351_2001,S010243,True,True,True,False,False,False,2,,3,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,True
H0351_2001|S010248,H0351_2001,S010248,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010250,H0351_2001,S010250,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010252,H0351_2001,S010252,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010254,H0351_2001,S010254,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010265,H0351_2001,S010265,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010273,H0351_2001,S010273,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010275,H0351_2001,S010275,True,True,True,False,False,False,2,,3,3,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,False
H0351_2001|S010281,H0351_2001,S010281,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010323,H0351_2001,S010323,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010338,H0351_2001,S010338,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010351,H0351_2001,S010351,True,True,True,True,False,False,1,,6,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,True
H0351_2001|S010354,H0351_2001,S010354,True,True,True,True,False,False,1,,2,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010355,H0351_2001,S010355,True,True,True,True,False,False,1,,2,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010361,H0351_2001,S010361,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010363,H0351_2001,S010363,True,True,True,True,False,False,1,,2,0,outside_candidate_beam,False,,,,False,False,False,False,False,False
H0351_2001|S010367,H0351_2001,S010367,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010368,H0351_2001,S010368,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010369,H0351_2001,S010369,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010373,H0351_2001,S010373,True,True,True,False,False,False,2,,12,6,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010384,H0351_2001,S010384,True,True,True,False,False,False,2,,3,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010392,H0351_2001,S010392,True,True,True,True,False,False,1,,6,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010402,H0351_2001,S010402,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010412,H0351_2001,S010412,True,True,True,True,False,False,1,,6,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010414,H0351_2001,S010414,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,True
H0351_2001|S010416,H0351_2001,S010416,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010417,H0351_2001,S010417,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010419,H0351_2001,S010419,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,True
H0351_2001|S010420,H0351_2001,S010420,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,True
H0351_2001|S010425,H0351_2001,S010425,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010431,H0351_2001,S010431,True,True,True,False,False,False,4,,7,0,outside_candidate_beam,False,,,,True,True,False,False,False,False
H0351_2001|S010435,H0351_2001,S010435,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010436,H0351_2001,S010436,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010437,H0351_2001,S010437,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2001|S010440,H0351_2001,S010440,True,True,True,False,False,False,4,,7,0,outside_candidate_beam,False,,,,True,True,False,False,False,False
H0351_2001|S010443,H0351_2001,S010443,True,True,True,False,False,False,2,,3,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010449,H0351_2001,S010449,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010450,H0351_2001,S010450,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010457,H0351_2001,S010457,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010465,H0351_2001,S010465,True,False,False,False,False,False,2,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,False,True,False,False,False,False
H0351_2001|S010476,H0351_2001,S010476,True,True,True,False,False,False,2,,12,6,evaluated_in_candidate_beam,True,,,,False,True,True,True,True,True
H0351_2001|S010477,H0351_2001,S010477,True,True,True,False,False,False,2,,12,6,evaluated_in_candidate_beam,True,,,,False,True,True,True,True,True
H0351_2001|S010492,H0351_2001,S010492,False,False,False,False,False,False,0,,0,0,not_exact_mapped,False,unsupported,unsupported,unsupported,False,False,False,False,False,False
H0351_2001|S010498,H0351_2001,S010498,False,False,False,False,False,False,0,,0,0,not_exact_mapped,False,unsupported,unsupported,unsupported,False,False,False,False,False,False
H0351_2001|S010504,H0351_2001,S010504,False,False,False,False,False,False,0,,0,0,not_exact_mapped,False,unsupported,unsupported,unsupported,False,False,False,False,False,False
H0351_2001|S010508,H0351_2001,S010508,False,False,False,False,False,False,0,,0,0,not_exact_mapped,False,unsupported,unsupported,unsupported,False,False,False,False,False,False
H0351_2001|S010535,H0351_2001,S010535,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,False
H0351_2001|S010536,H0351_2001,S010536,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,True
H0351_2001|S010543,H0351_2001,S010543,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010556,H0351_2001,S010556,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2001|S010557,H0351_2001,S010557,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,True,True,False,False
H0351_2002|S020008,H0351_2002,S020008,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020013,H0351_2002,S020013,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020019,H0351_2002,S020019,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020024,H0351_2002,S020024,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020027,H0351_2002,S020027,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020032,H0351_2002,S020032,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020033,H0351_2002,S020033,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020037,H0351_2002,S020037,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020038,H0351_2002,S020038,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020039,H0351_2002,S020039,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020040,H0351_2002,S020040,True,True,True,False,False,False,2,,12,6,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,True
H0351_2002|S020041,H0351_2002,S020041,True,False,False,False,False,False,4,,0,0,not_exact_mapped,False,,coarse_anatomy,coarse_anatomy,True,True,False,False,False,False
H0351_2002|S020046,H0351_2002,S020046,True,True,True,False,False,False,4,,7,0,outside_candidate_beam,False,,,,True,True,False,False,False,False
H0351_2002|S020055,H0351_2002,S020055,True,True,True,True,True,True,1,,1,1,evaluated_in_candidate_beam,True,,,,True,True,False,True,False,False
H0351_2002|S020057,H0351_2002,S020057,True,True,True,True,False,False,1,,6,2,evaluated_in_candidate_beam,True,,,,True,True,True,True,True,True
H0351_2002|S020059,H0351_2002,S020059,True,True,True,False,False,False,4,,7,0,outside_candidate_beam,False,,,,True,True,False,False,False,False
