"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000035778",2.47978812432262,-0.0802424531412516,0.185521184413113,15.0554238721074,0.0894247848599126,0.0930659206147571,"ENSMFAG00000035778","protein_coding"
"ENSMFAG00000020932",8.43109159807449,0.325564317014603,0.142825704239398,15.0482287901759,0.0896197047687312,0.0932638581560363,"ENSMFAG00000020932","protein_coding"
"ENSMFAG00000042760",3.51176481109616,0.124020316393797,0.182616349280061,15.03981047864,0.0898482394397314,0.0934967545947041,"ENSMFAG00000042760","pseudogene"
"ENSMFAG00000016333",11.9213608126239,-0.227488779336909,0.165183133865042,15.0352343973318,0.0899726837432831,0.0936213149618975,"ENSMFAG00000016333","miRNA"
"ENSMFAG00000000609",3.30216852735297,-0.285729707740139,0.178744279008352,15.0321574323748,0.09005644590997,0.0937035325192749,"ENSMFAG00000000609","protein_coding"
"ENSMFAG00000043952",337.657197069385,-0.166842428733616,0.103115434470724,15.0318427588045,0.090065015940761,0.09370750828068,"ENSMFAG00000043952","protein_coding"
"ENSMFAG00000001960",2.11779921166633,-0.503859282966727,0.229773396147321,15.0284190987481,0.0901583047662844,0.0937996240455723,"ENSMFAG00000001960","protein_coding"
"ENSMFAG00000033454",1284.42263651461,-0.0425972837892605,0.0376247578854734,15.0225578468453,0.0903182119303356,0.0939610353671841,"RIC8A","protein_coding"
"ENSMFAG00000022870",3.04113074387067,0.0992724138207924,0.220717635011032,15.0174760264877,0.0904570572814181,0.0941005195211378,"TWIST2","protein_coding"
"ENSMFAG00000011674",10.3457024534751,-0.0168439029866191,0.100994879744607,15.013491581748,0.090566051977736,0.0942089376153032,"ENSMFAG00000011674","miRNA"
"ENSMFAG00000020689",2.91327676895077,-0.0735121821923594,0.179982035658196,15.0093969977943,0.0906781803530599,0.0943206038337679,"RF00188","snoRNA"
"ENSMFAG00000002631",534.517218850919,-0.00679149641381664,0.0553881543908517,15.0073524083818,0.0907342164069331,0.0943739158790577,"TRAM1","protein_coding"
"ENSMFAG00000039976",5.29391245212755,0.105486134915235,0.136870525547828,14.9843343061902,0.0913671861278941,0.0950272673769558,"ENSMFAG00000039976","protein_coding"
"ENSMFAG00000034208",2.98988754453627,-0.103731610952833,0.20905241116468,14.9708362403421,0.0917401763753198,0.0954101702544569,"SDR9C7","protein_coding"
"ENSMFAG00000035036",4.27396375653271,0.0493777219121669,0.162276939484171,14.964265940072,0.0919222182196916,0.0955944560931251,"RF00334","snoRNA"
