"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000008235","Hippocampal formation",0.88151584972484,"AGT","protein_coding"
"ENSMFAG00000036591","Occipital/Temporal",0.348861472785791,"COG2","protein_coding"
"ENSMFAG00000001236","Hippocampal formation",0.700194359124446,"PGBD5","protein_coding"
"ENSMFAG00000043385","Frontal (agranular frontal motor areas)",0.128854323341062,"GALNT2","protein_coding"
"ENSMFAG00000046669","Subcortical",0.77534194862918,"ENSMFAG00000046669","lincRNA"
"ENSMFAG00000039905","Subcortical",0.163009865502072,"URB2","protein_coding"
"ENSMFAG00000037566","Subcortical",0.158819648707886,"TAF5L","protein_coding"
"ENSMFAG00000002787","Cingulate gyrus",0.0997653318297262,"ABCB10","protein_coding"
"ENSMFAG00000024161","Cingulate gyrus",0.485937260900722,"RF00015","snRNA"
"ENSMFAG00000044341","Hippocampal formation",0.154921071667156,"NUP133","protein_coding"
"ENSMFAG00000002280","Orbitomedial Prefrontal Cortex (OMPFC)",0.693712034442154,"ACTA1","protein_coding"
"ENSMFAG00000033596","Operculum/Insula",0.229113397601619,"CCSAP","protein_coding"
"ENSMFAG00000038822","Parietal, and Parieto-occipital region",0.0983003869960873,"RAB4A","protein_coding"
"ENSMFAG00000030341","Subcortical",0.201752067940383,"ENSMFAG00000030341","processed_pseudogene"
"ENSMFAG00000025363","Hippocampal formation",0.506063370706253,"ENSMFAG00000025363","protein_coding"
"ENSMFAG00000044318","Subcortical",0.5496976377763,"RHOU","protein_coding"
"ENSMFAG00000002602","Hippocampal formation",1.32664884020696,"CCDC190","protein_coding"
"ENSMFAG00000001269","Frontal (agranular frontal motor areas)",0.846132175587721,"RGS4","protein_coding"
"ENSMFAG00000042336","Frontal (agranular frontal motor areas)",0.432911271033508,"RGS5","protein_coding"
"ENSMFAG00000012290","Subcortical",0.239508716213074,"NUF2","protein_coding"
"ENSMFAG00000021668","Hippocampal formation",0.30273695016989,"ENSMFAG00000021668","protein_coding"
"ENSMFAG00000002296","Operculum/Insula",0.208038972777219,"PBX1","protein_coding"
"ENSMFAG00000033817","Occipital/Temporal",0.506189350213133,"RF00026","snRNA"
"ENSMFAG00000022091","Occipital/Temporal",0.448213075611914,"ENSMFAG00000022091","miRNA"
"ENSMFAG00000041101","Hippocampal formation",2.35493906739832,"LMX1A","protein_coding"
"ENSMFAG00000002126","Subcortical",2.49915719390333,"RXRG","protein_coding"
"ENSMFAG00000040545","Subcortical",0.164650812622943,"MGST3","protein_coding"
"ENSMFAG00000033280","Subcortical",0.331092953517922,"ENSMFAG00000033280","protein_coding"
"ENSMFAG00000002927","Subcortical",0.169683772485372,"TMCO1","protein_coding"
"ENSMFAG00000032681","Operculum/Insula",0.136178735658637,"UCK2","protein_coding"
"ENSMFAG00000032771","Occipital/Temporal",0.490357737207844,"FAM78B","protein_coding"
"ENSMFAG00000037391","Occipital/Temporal",0.174199060472619,"POGK","protein_coding"
"ENSMFAG00000032577","Orbitomedial Prefrontal Cortex (OMPFC)",0.131857237106702,"TADA1","protein_coding"
"ENSMFAG00000002585","Operculum/Insula",0.32525009839653,"ILDR2","protein_coding"
"ENSMFAG00000040593","Orbitomedial Prefrontal Cortex (OMPFC)",0.418600236491659,"MAEL","protein_coding"
"ENSMFAG00000005792","Cingulate gyrus",0.611579280168321,"DUSP27","protein_coding"
"ENSMFAG00000002865","Orbitomedial Prefrontal Cortex (OMPFC)",0.120518325620548,"POU2F1","protein_coding"
"ENSMFAG00000000076","Occipital/Temporal",0.772320701205342,"CD247","protein_coding"
"ENSMFAG00000045348","Subcortical",0.652193715733952,"CREG1","protein_coding"
"ENSMFAG00000039084","Subcortical",0.526000873876289,"RCSD1","protein_coding"
"ENSMFAG00000035513","Subcortical",0.266989152871836,"ENSMFAG00000035513","protein_coding"
"ENSMFAG00000045417","Orbitomedial Prefrontal Cortex (OMPFC)",0.108870568187067,"MPZL1","protein_coding"
"ENSMFAG00000032699","Occipital/Temporal",0.408299542050209,"ADCY10","protein_coding"
"ENSMFAG00000046294","Subcortical",0.353215716194768,"MPC2","protein_coding"
"ENSMFAG00000043317","Temporal",0.200167979672591,"ENSMFAG00000043317","protein_coding"
"ENSMFAG00000037639","Occipital/Temporal",0.817362450059965,"GPR161","protein_coding"
"ENSMFAG00000045557","Hippocampal formation",0.2822103626504,"TIPRL","protein_coding"
"ENSMFAG00000037122","Subcortical",1.03648152248218,"SFT2D2","protein_coding"
"ENSMFAG00000038069","Hippocampal formation",1.1287304516525,"TBX19","protein_coding"
"ENSMFAG00000044751","Lateral Prefrontal Cortex",0.656387131148916,"ENSMFAG00000044751","protein_coding"
"ENSMFAG00000045128","Cingulate gyrus",0.623986426152255,"DPT","protein_coding"
"ENSMFAG00000039661","Hippocampal formation",0.204900081743066,"ATP1B1","protein_coding"
"ENSMFAG00000037358","Occipital/Temporal",0.135348242966847,"NME7","protein_coding"
"ENSMFAG00000042415","Subcortical",0.123614084154027,"BLZF1","protein_coding"
"ENSMFAG00000041326","Occipital/Temporal",0.374703614654521,"CCDC181","protein_coding"
"ENSMFAG00000039988","Occipital/Temporal",0.248291909079804,"SLC19A2","protein_coding"
"ENSMFAG00000045747","Hippocampal formation",1.96685535810452,"F5","protein_coding"
"ENSMFAG00000036068","Lateral Prefrontal Cortex",0.567235959863781,"SELP","protein_coding"
"ENSMFAG00000042617","Frontal (agranular frontal motor areas)",0.669098146306231,"SELL","protein_coding"
"ENSMFAG00000001279","Frontal (agranular frontal motor areas)",0.260548657365129,"SELE","protein_coding"
"ENSMFAG00000022253","Occipital/Temporal",0.344889585952703,"METTL18","protein_coding"
"ENSMFAG00000039080","Occipital/Temporal",0.282998807331139,"C1orf112","protein_coding"
"ENSMFAG00000002890","Occipital/Temporal",0.150884502957628,"SCYL3","protein_coding"
"ENSMFAG00000014775","Subcortical",0.195990339123421,"RF00017","misc_RNA"
"ENSMFAG00000030675","Frontal (agranular frontal motor areas)",0.17230916549402,"KIFAP3","protein_coding"
"ENSMFAG00000019261","Occipital/Temporal",0.462094559402709,"RF00017","misc_RNA"
"ENSMFAG00000041576","Operculum/Insula",0.2911685330462,"ENSMFAG00000041576","protein_coding"
"ENSMFAG00000001853","Hippocampal formation",0.288468616858126,"GORAB","protein_coding"
"ENSMFAG00000032316","Hippocampal formation",1.18133737451072,"PRRX1","protein_coding"
