"gene_symbol","fisher_score","gene_index","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","highest_network","donor_centered_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05","effect_n_donors","effect_se","effect_ci95_low","effect_ci95_high"
"HTR2A",1.59984443329726,11571,"ENSMFAG00000004073",1296.14311704222,-0.00176206267219147,0.069824997851294,989.98673012675,2.48680650513151e-207,2.22034687598438e-205,"protein_coding","Occipital/Temporal",0.746924418665385,TRUE,TRUE,9,0.14518747539358,0.167618581575788,0.837224418850686
"OTOS",1.59711234870072,14930,"ENSMFAG00000038320",210.834479568486,0.494182865864425,0.0893669192602872,876.200110642749,8.29662188782577e-183,5.14807997140183e-181,"protein_coding","Lateral Prefrontal Cortex",0.865946592684793,TRUE,TRUE,6,0.0939707202088296,0.138870631831563,0.621989484732522
"VIP",1.585105059083,20705,"ENSMFAG00000040930",159.283297586578,0.285251036315944,0.0876157874288026,892.625309815334,2.40093930704323e-186,1.55839915811109e-184,"protein_coding","Parietal, and Parieto-occipital region",0.738056270627844,TRUE,TRUE,7,0.143898341408619,0.194595319473754,0.898808433379462
"ADGRL2",1.58022115476452,312,"ENSMFAG00000035421",3126.41787890248,0.0622469955019091,0.0439851991837967,1029.5340725642,7.3699937197852e-216,7.09388858920983e-214,"protein_coding","Temporal",0.364435328700623,TRUE,TRUE,8,0.0823187016146768,0.0507827279227036,0.440088324318093
"ENSMFAG00000031052",1.57859910837266,6607,"ENSMFAG00000031052",4617.27354916746,0.304546124933515,0.0883897126405118,965.352312658028,5.08995591594087e-202,4.09938816870797e-200,"protein_coding","Occipital/Temporal",0.881284359939223,TRUE,TRUE,9,0.135671359072573,0.304605879299157,0.930323309399404
"EPHA3",1.57441691923617,9727,"ENSMFAG00000031166",630.826528194908,1.25685857001147,0.0895300825452422,1103.03262544148,1.02820226254237e-231,1.21487946374168e-229,"protein_coding","Occipital/Temporal",1.29312686401477,TRUE,TRUE,9,0.15126500398382,0.621170541169086,1.31880599056581
"PTPRT",1.57418250301815,16265,"ENSMFAG00000002480",3360.52682896849,-0.269362299170033,0.0548011519605043,1058.26023286158,4.69257708450586e-222,4.87336479112998e-220,"protein_coding","Cingulate gyrus",0.669420727414137,TRUE,TRUE,8,0.120451232190398,0.114678695647722,0.684322505191017
"CD300E",1.56623514092817,2240,"ENSMFAG00000037856",89.3560189620795,0.233209378053321,0.0984918528099408,942.505086148089,4.28149373853296e-197,3.23687488309319e-195,"protein_coding","Occipital/Temporal",1.37771711160573,TRUE,TRUE,9,0.12676307922922,0.532532555431522,1.11716492521911
"ST8SIA5",1.55876522823777,18874,"ENSMFAG00000035970",2068.66087338821,-0.201595182186872,0.0804459583360018,889.462949258264,1.15264754505557e-185,7.40848252737343e-184,"protein_coding","Occipital/Temporal",0.699072233964412,TRUE,TRUE,9,0.118594657251949,0.315679656963845,0.862639197036074
"RF02160",1.55806309767949,16974,"ENSMFAG00000018171",63.6883736223939,-0.594999454281977,0.102011711134757,1096.71089072252,2.37741517543575e-230,2.65320848222763e-228,"misc_RNA","Frontal (agranular frontal motor areas)",1.39142349699426,TRUE,TRUE,8,0.102931850448886,0.839825197935137,1.32661549760065
